gene	assoc	centrality	meas	attribution	rwr	in_m1_core	in_rwr_top
RET	0.341	0.044	0.70	0.166	0.0512	1	1
ACVR2B	0.101	0.476	0.70	0.163	0.0934	1	1
MSTN	0.127	0.228	1.00	0.162	0.0693	1	1
GDF15	0.138	0.187	1.00	0.155	0.0975	1	1
FST	0.061	0.257	1.00	0.130	0.0265	1	1
INHBA	0.091	0.170	1.00	0.119	0.0160	1	0
GDF11	0.094	0.159	1.00	0.117	0.0152	1	0
ACVR1C	0.079	0.308	0.70	0.111	0.0818	1	1
ACVR2A	0.000	0.398	0.70	0.097	0.0415	1	1
NODAL	0.000	0.276	1.00	0.097	0.0268	1	1
SMAD3	0.071	0.200	0.80	0.093	0.0214	1	1
ACVR1B	0.000	0.354	0.70	0.087	0.0276	1	1
FSTL3	0.093	0.061	1.00	0.082	0.0070	1	0
TGFBR2	0.000	0.285	0.70	0.070	0.0295	1	1
SMAD2	0.000	0.241	0.80	0.068	0.0238	1	1
BMP8A	0.069	0.059	1.00	0.066	0.0055	1	0
BMP8B	0.067	0.059	1.00	0.064	0.0054	1	0
ACVR1	0.000	0.248	0.70	0.061	0.0196	1	1
INHA	0.048	0.077	1.00	0.058	0.0065	0	0
INHBB	0.000	0.162	1.00	0.057	0.0146	0	0
TGFBR1	0.000	0.195	0.70	0.048	0.0224	0	1
SMAD4	0.000	0.169	0.80	0.047	0.0183	0	1
GFRAL	0.060	0.078	0.70	0.047	0.0894	0	1
INHBC	0.000	0.094	1.00	0.033	0.0098	0	0
GPR75	0.071	0.000	0.70	0.032	0.0000	0	0
INHBE	0.000	0.074	1.00	0.026	0.0592	0	1
GDF2	0.062	0.107	0.30	0.023	0.0105	0	0
GDF1	0.000	0.135	0.30	0.014	0.0124	0	0
TDGF1	0.000	0.133	0.30	0.014	0.0135	0	0
LEFTY1	0.000	0.106	0.30	0.011	0.0081	0	0
CFC1	0.000	0.074	0.30	0.008	0.0065	0	0
GDF3	0.000	0.074	0.30	0.008	0.0088	0	0
WFIKKN1	0.000	0.045	0.30	0.005	0.0055	0	0
WFIKKN2	0.000	0.044	0.30	0.005	0.0061	0	0
GDF7	0.000	0.030	0.30	0.003	0.0036	0	0
PSPN	0.000	0.030	0.30	0.003	0.0299	0	1
TSPAN4	0.000	0.015	0.30	0.002	0.0159	0	0
