design_id	struct_conf	iptm	min_iface_pae
pres_QA51nDHUGbRSFvQXh6IT	0.644	0.828	3.67
pres_pN89TWs3m6ULslyiasgX	0.073	0.571	10.39
pres_HAZmViH40eNX4h0cPFiM	0.078	0.535	10.52
pres_WYTzlxDq0blcLm94AtWh	0.081	0.529	12.77
pres_QGNTtXkG9dxeeBjpQ5Hk	0.069	0.521	11.29
pres_kcPAsGDOfpXmGm14qdoT	0.06	0.474	13.19
pres_9kJMq2EhQlrzOqhXLUxN	0.026	0.381	15.18
pres_mkl9Nf8N79m3NNCH1nWc	0.027	0.344	17.91
pres_KQnvD3wAmkzcUQm3QyJx	0.011	0.279	17.88
pres_DPCTwMxev9s5QRb5vUhf	0.013	0.221	20.67
pres_12iIBy0FpIY2hlT63jBE	0.001	0.167	24.43
pres_kVbGdtjWzcx1Cgh4DETn	0.002	0.155	24.87
