design_id	struct_conf	iptm	min_iface_pae
pres_KP4fXFpvSLM69I3wRgT0	0.338	0.722	6.72
pres_iIXPKg5JeXKC7CGTIEDU	0.25	0.696	7.69
pres_TC93JQN8qND1y0SMXReF	0.305	0.673	6.87
pres_tMhcYfT1FY8MDdUXdDDd	0.196	0.629	9.48
pres_84vNWdcP5lvhU9b8QWZe	0.144	0.599	9.9
pres_LWEw1W2KBj6xll5KfUk2	0.094	0.511	13.02
pres_ieVPAAjOgqlon9uqOb5Q	0.056	0.499	12.94
pres_QwxqmxBgOc1OWGod50rG	0.07	0.493	13.2
pres_RBohpJ7hgVLrYdb6TrzV	0.089	0.491	12.67
pres_92kN5yXy2B42ZcmrS65R	0.038	0.475	13.2
pres_Kp7TDjgxlQ9kCHekUCtO	0.054	0.45	14.82
pres_WxfJh8MiVLaXP1Syrx5e	0.031	0.446	13.97
pres_X3hIrupln6EW2QRaJZfB	0.057	0.439	12.46
pres_C286yGrEOQE0beZY8xvJ	0.029	0.426	14.9
pres_IOCUq2Ulqw1FPxveO2By	0.049	0.397	15.23
pres_8RirKSUQ73o11fJoAHwh	0.035	0.396	16.18
pres_dz3I1wZWZ6Lhnm28X1iz	0.023	0.379	15.91
pres_mb9OmVNz5P7ASanq9lW7	0.024	0.376	15.57
pres_3OsRNW3SRLBN5tyLNAA0	0.025	0.362	17.35
pres_Vrfj0owK8byKrDeQCeJW	0.033	0.349	17.13
pres_ScwWBzw5UQP8GZi486eg	0.014	0.336	16.93
pres_4WQRKtao6DJROLWBVaD3	0.015	0.334	16.87
pres_b4FZAy0jehywYw849Ryd	0.011	0.308	19.63
pres_J1DqzkaeGYXW4bIaBjgQ	0.007	0.292	18.8
pres_VpuAb3ArnJWvlKVMXJqB	0.011	0.252	18.65
pres_imyyTIGsCLFT8qohYh2b	0.007	0.25	20.92
pres_FAWKfd5Rzxo07q2p7F3n	0.004	0.2	21.43
pres_wtTtNLw3MEfHhSAXAP0J	0.005	0.178	22.8
pres_5eItdxyEVOF9vM2NtNo5	0.001	0.141	25.33
pres_UgyMOVI1Mi5IhxJdkGs7	0.002	0.139	25.21
