design_id	struct_conf	iptm	min_iface_pae
pres_GWGXBjqYUPJvhn2w5Hah	0.501	0.85	3.52
pres_K1CqqdwEMMXB4SrYqeFb	0.25	0.813	4.45
pres_216QJLMNXsd5FdRKR2VU	0.183	0.781	5.69
pres_gQjWTo3fU2ALC8m3rQMV	0.188	0.776	5.72
pres_m7KFPHgPBmLHeUOv4lMI	0.08	0.695	8.18
pres_whbNNZkHC0fW1hnNSmSn	0.076	0.682	9.05
pres_rTM3mEw54aTMmRW9o1vr	0.064	0.674	8.33
pres_dPluwWLJeF00xI33vxH9	0.038	0.616	10.56
pres_4UIA9L26Gn80gIkvMDOe	0.031	0.611	9.95
pres_tKjvikIaaviWNbw7OTxC	0.05	0.59	10.95
pres_LB8jirxcS6avX7Q8Y2IF	0.03	0.587	10.85
pres_HkFBEvKsNG5WQDa3Pzwl	0.02	0.572	11.39
pres_4wvlR7ed1e6TvveBAifF	0.022	0.558	11.65
pres_cwQ18U2K8HPPukKGKZUK	0.016	0.554	11.88
pres_Y4R89ifoXbRpKndQ32Vx	0.019	0.543	12.4
pres_5sjMm9rgJJbu6CNpLMEn	0.004	0.531	12.57
pres_zyqlGjBSEo8wHtdBbf0R	0.002	0.508	13.21
pres_GrBunLOeAdXAC5L3lOGg	0.008	0.505	13.12
pres_rmVmxubabHxftYZEiSrs	0.006	0.448	15.34
pres_fsfw3UlHlR5ag3IvMZD3	0.001	0.435	14.5
pres_mmAUTtKrAXWWl04zgcYF	0.001	0.427	15.48
pres_K6Rz5qt477gmtJuY2CvC	0.002	0.374	16.71
pres_by0LgW5zNBkgzyme4RMf	0	0.292	19.81
pres_9Xf6iYOc3nQWrwK60yC7	0	0.291	20.67
pres_A3jhOHWJJG2Bc1Re6jUu	0	0.222	22.28
pres_vfFdKCtXB7aN952KlJ8h	0	0.198	23.35
pres_dlU7moViWkJFU4dL97xM	0	0.191	23.69
pres_1YZTVG6PogVmAwnKux1N	0	0.163	24.45
pres_RhtzKpPT43xx2jja6CWy	0	0.14	25.15
pres_rUSSahjNCSZBaxc6rVL0	0	0.132	26.07
