name,smiles,drug_class,formula,smiles_std,MW,cLogP,TPSA,HBD,HBA,RotB,AromaticRings,Rings,FractionCSP3,HeavyAtoms,MolarRefractivity,QED,Lipinski_violations,Lipinski_pass,Veber_pass,Ghose_pass,Egan_pass,alert_PAINS_A,alert_PAINS_B,alert_PAINS_C,alert_BRENK,alert_NIH,alert_total,PAINS_total,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,PAINS_alert_drugbank_approved_percentile,BRENK_alert_drugbank_approved_percentile,NIH_alert_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile
Aspirin,CC(=O)Oc1ccccc1C(=O)O,NSAID / antiplatelet,C9H8O4,CC(=O)Oc1ccccc1C(=O)O,180.15899999999996,1.3101,63.60000000000001,1,3,2,1,1,0.1111111111111111,13,44.71030000000002,0.5501217966938848,0,True,True,False,True,0,0,0,1,0,1,0,0.08012307,0.658192,0.88096064,0.01480177,0.01708078,0.28548273,0.014669341,0.03221454,0.007126978,0.13598122,0.0004668463,0.39841658,0.10952588,0.6746291,0.9597977,0.006596082,0.019670602,0.017683646,0.001667618,0.010860162,0.0625672,0.014176087,0.2107594,0.0045578023,0.049830507,0.005424732,0.0070283934,0.0072119012,0.010974852,0.4194135,0.020779807,-4.5639696,28.496815,0.14171334,-19.73,-9.417842,2.0690627,-0.9874226,63.297436,-1.6242988,-2.7047992,14.411247803163446,35.39543057996485,32.653778558875224,36.59050966608085,63.44463971880493,53.63796133567663,22.601054481546576,41.91564147627417,47.59226713532514,66.52021089630932,37.188049209138846,22.776801405975398,44.74516695957821,71.8804920913884,34.30579964850615,23.19859402460457,85.41300527240774,37.08260105448155,23.72583479789104,20.667838312829527,20.07029876977153,13.602811950790862,87.48681898066785,53.25131810193322,64.2530755711775,32.12653778558875,35.50087873462215,39.71880492091389,47.557117750439375,16.203866432337435,38.13708260105449,33.11072056239016,63.47978910369069,22.74165202108963,26.29173989455185,26.959578207381373,39.68365553602812,34.059753954305805,32.653778558875224,31.177504393673114,36.520210896309315,13.391915641476276,76.87170474516697,46.99472759226714,24.56942003514939,2.2144112478031635,74.20035149384887,26.713532513181022,17.715289982425308,39.40246045694201,75.99297012302286,11.493848857644993
Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,NSAID,C13H18O2,CC(C)Cc1ccc(C(C)C(=O)O)cc1,206.28499999999997,3.073200000000001,37.3,1,1,4,1,1,0.46153846153846156,15,61.03480000000004,0.8215995486924976,0,True,True,False,True,0,0,0,0,0,0,0,0.009256296,0.46091095,0.9004958,0.024648093,0.07909662,0.43983927,0.10603378,0.113577865,0.038696535,0.400702,0.011032977,0.26475137,0.059663992,0.4342889,0.98652536,0.0040328256,0.015312468,0.004630263,0.015241319,0.042686086,0.10417445,0.10767784,0.6247332,0.05922085,0.07968278,0.002630182,0.017962981,0.068835236,0.012941736,0.39617857,0.12716565,-4.5829687,29.085583,3.2445798,-13.296331,-7.565707,2.4361203,0.8412649,81.41496,-2.7969215,-2.467538,18.629173989455186,62.26713532513182,6.854130052724078,36.59050966608085,63.44463971880493,91.86291739894553,55.32513181019333,19.68365553602812,47.59226713532514,25.869947275922673,37.188049209138846,2.5659050966608086,30.158172231985944,79.19156414762742,39.08611599297013,47.873462214411255,96.73110720562391,66.46748681898067,51.21265377855888,45.30755711775044,46.010544815465735,35.32513181019333,71.84534270650265,36.27416520210897,51.95079086115994,37.85588752196837,22.88224956063269,31.177504393673114,26.01054481546573,46.432337434094904,72.091388400703,58.94551845342707,88.85764499121267,39.5079086115993,47.697715289982426,38.523725834797894,28.400702987697716,52.653778558875224,59.29701230228471,34.30579964850615,33.25131810193322,34.72759226713533,75.53602811950792,47.557117750439375,27.451669595782075,4.991212653778559,86.0456942003515,49.42003514938489,43.44463971880492,57.328646748681905,56.16871704745167,13.49736379613357
Acetaminophen,CC(=O)Nc1ccc(O)cc1,Analgesic / antipyretic,C8H9NO2,CC(=O)Nc1ccc(O)cc1,151.165,1.3505999999999998,49.33,2,2,1,1,1,0.125,11,42.41050000000002,0.5950261967780849,0,True,True,False,True,0,0,0,1,0,1,0,0.3020348,0.6474265,0.86064625,0.36785084,0.10834374,0.16674997,0.04220097,0.075256504,0.03473965,0.26342884,0.011711841,0.12038642,0.08517766,0.5796205,0.9983678,0.013981059,0.038130645,0.3231938,0.022031834,0.08829465,0.30438876,0.012982567,0.6670859,0.016085152,0.22370763,0.04769012,0.03763036,0.23205344,0.06078565,0.693297,0.09628295,-4.5232935,67.197586,9.812926,-3.932003,-11.477524,1.8226774,0.77809006,43.478,-1.0217282,-0.42244762,9.666080843585238,35.99297012302285,17.10017574692443,61.37082601054482,63.44463971880493,59.332161687170476,22.601054481546576,30.087873462214414,47.59226713532514,66.52021089630932,37.188049209138846,60.49209138840071,44.07732864674868,65.94024604569421,75.57117750439367,53.0755711775044,61.72231985940247,53.286467486818985,39.789103690685415,43.40949033391916,34.059753954305805,35.746924428822496,37.22319859402461,46.432337434094904,59.26186291739895,52.056239015817226,56.695957820738144,67.34622144112478,87.76801405975397,51.70474516695958,85.13181019332163,90.82601054481547,62.14411247803164,41.89806678383129,36.90685413005273,64.49912126537787,76.66080843585237,66.4323374340949,75.64147627416521,63.40949033391916,72.16168717047452,31.142355008787348,80.35149384885766,73.56766256590511,33.35676625659051,15.887521968365554,59.12126537785589,14.938488576449913,42.53075571177505,23.163444639718808,83.12829525483305,31.669595782073817
Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,CNS stimulant,C8H10N4O2,Cn1c(=O)c2c(ncn2C)n(C)c1=O,194.194,-1.0293,61.82,0,3,0,2,2,0.375,14,51.19600000000001,0.5384628262372215,0,True,True,False,False,0,0,0,0,0,0,0,0.11057254,0.9818985,0.96950036,0.4034174,0.0096191745,0.3463308,0.005483831,0.13866313,0.0013336545,0.3794641,0.0038296059,0.204313,0.06276818,0.9320737,0.999951,0.0018310245,0.011910431,0.02780382,0.0007175667,0.00035705668,0.028367842,0.0003208051,0.9445424,0.0012621266,0.010497758,0.0048496625,0.0012451353,0.00026001985,0.002699342,0.30085057,0.047540553,-4.398086,20.472067,-13.046028,5.193972,-12.424744,2.4201381,-0.17773934,21.092136,-0.90608895,-2.0640101,16.78383128295255,14.657293497363797,32.653778558875224,11.63444639718805,63.44463971880493,51.63444639718806,22.601054481546576,39.82425307557118,47.59226713532514,25.869947275922673,37.188049209138846,29.912126537785593,91.24780316344464,99.22671353251319,77.4340949033392,15.184534270650264,92.05623901581723,23.444639718804922,58.277680140597546,4.042179261862918,44.21792618629174,27.416520210896312,60.38664323374341,37.71528998242531,87.38137082601055,80.21089630931459,10.790861159929703,23.33919156414763,54.34094903339192,8.049209138840071,0.8084358523725835,5.377855887521969,9.630931458699473,76.66080843585237,16.063268892794376,3.9718804920913886,37.82073813708261,10.509666080843585,5.413005272407734,13.075571177504395,21.441124780316347,23.58523725834798,87.83831282952549,38.13708260105449,12.79437609841828,31.45869947275923,51.66959578207382,48.43585237258348,27.521968365553604,9.560632688927944,84.67486818980669,17.012302284710017
Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,Anticoagulant,C19H16O4,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,308.3330000000001,3.609600000000003,67.50999999999999,1,4,4,3,3,0.15789473684210525,23,87.73180000000005,0.7476258148419598,0,True,True,True,True,0,0,0,1,0,1,0,0.07660425,0.6570409,0.8175739,0.3552268,0.69774455,0.42943412,0.72306716,0.07310437,0.06215167,0.4793012,0.1881017,0.1931235,0.046539776,0.8629986,0.99964887,0.01768729,0.039829597,0.14244749,0.10333333,0.13700616,0.3712935,0.1871639,0.7865103,0.5033657,0.32886893,0.050888777,0.09074453,0.5630488,0.13009807,0.46899748,0.28471068,-4.524946,23.950792,8.054808,11.541922,-12.17236,3.4486377,2.5287423,94.26591,-4.2476163,-0.6682292,43.12829525483304,71.14235500878735,48.55887521968366,36.59050966608085,63.44463971880493,82.00351493848858,55.32513181019333,45.026362038664324,47.59226713532514,66.52021089630932,37.188049209138846,21.61687170474517,44.71001757469244,54.6572934973638,75.1493848857645,91.73989455184535,96.27416520210897,95.07908611599298,38.94551845342707,52.61862917398946,53.49736379613357,66.74868189806679,57.39894551845343,30.68541300527241,77.99648506151144,65.06151142355009,62.95254833040423,69.10369068541301,76.66080843585237,75.81722319859404,90.29876977152901,93.28646748681899,94.02460456942005,50.72056239015818,77.89103690685414,72.65377855887523,77.85588752196837,82.10896309314587,90.08787346221442,77.3286467486819,42.91739894551846,49.3145869947276,80.17574692442884,42.56590509666081,31.77504393673111,42.70650263620387,53.63796133567663,93.67311072056239,71.70474516695958,77.08260105448156,27.205623901581724,28.892794376098422
Atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,Statin / lipid-lowering,C33H35FN2O5,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,558.6500000000003,6.313600000000008,111.79,4,4,12,4,4,0.2727272727272727,41,157.24659999999975,0.16276043934928294,2,False,False,False,False,0,0,0,0,0,0,0,0.08716503,0.23506598,0.8154085,0.08771351,0.5809326,0.48965797,0.676559,0.07183541,0.15182002,0.70123786,0.32844275,0.49307713,0.18615128,0.900935,0.9804239,0.01071776,0.016748939,0.10488311,0.30285043,0.13295342,0.2699085,0.54043967,0.52145386,0.8919035,0.523052,0.058357887,0.15367997,0.69229996,0.2654299,0.27213985,0.7662732,-5.3777947,8.600612,10.690419,48.410877,-17.93758,3.0618637,1.9473641,100.40184,-5.002646,-1.5577831,87.1353251318102,95.46572934973639,48.55887521968366,86.90685413005274,8.927943760984183,8.787346221441126,69.84182776801407,74.58699472759227,47.59226713532514,25.869947275922673,37.188049209138846,24.393673110720563,15.184534270650264,54.20035149384886,53.63796133567663,88.11950790861161,98.13708260105449,94.30579964850617,38.277680140597546,67.66256590509667,80.84358523725835,75.60632688927944,93.42706502636204,67.94376098418279,82.91739894551846,36.13356766256591,48.99824253075572,34.44639718804921,71.77504393673111,92.26713532513182,89.59578207381372,88.99824253075572,99.33216168717048,35.04393673110721,93.32161687170475,84.88576449912128,79.22671353251319,89.42003514938489,93.63796133567664,88.78734622144113,17.785588752196837,76.30931458699473,27.451669595782075,23.936731107205627,34.481546572934974,80.66783831282953,21.827768014059757,84.42882249560634,61.511423550087876,89.77152899824254,14.305799648506152,21.195079086115996
Metformin,CN(C)C(=N)NC(=N)N,Antidiabetic (biguanide),C4H11N5,CN(C)C(=N)NC(=N)N,129.167,-1.034159999999999,88.99000000000001,4,2,0,0,0,0.5,9,36.46349999999999,0.24878483893146577,0,True,True,False,False,0,0,0,2,0,2,0,0.10945569,0.3969786,0.37313202,0.0058895694,0.0042160098,0.0015471156,0.00051236997,0.23714523,0.03443437,0.016086763,5.1258154e-05,0.12364582,0.001784826,0.0018643402,0.2894292,0.0026939907,0.012242809,0.0044269795,0.0008966279,0.007851553,0.024839237,3.333049e-05,0.15567195,9.947761e-05,0.03710399,0.00013861344,0.00043449883,0.0037762492,0.00060741475,0.85171306,0.042868815,-6.7213936,-7.345912,-6.114837,-5.4214373,-24.779024,2.0814424,-1.9057655,-3.5784028,-0.5531934,-1.4963744,6.151142355008788,14.622144112478033,17.10017574692443,86.90685413005274,63.44463971880493,15.114235500878737,22.601054481546576,60.597539543058005,47.59226713532514,87.9261862917399,37.188049209138846,29.595782073813712,25.483304042179263,11.56414762741652,25.940246045694202,7.275922671353252,5.799648506151143,4.991212653778559,71.8804920913884,43.2688927943761,3.4094903339191567,3.3743409490333924,38.17223198594025,2.9876977152899826,1.898066783831283,11.880492091388401,15.782073813708262,24.04217926186292,25.30755711775044,9.736379613356767,28.892794376098422,3.0228471001757473,3.9718804920913886,20.0,2.81195079086116,20.492091388400706,3.268892794376099,5.905096660808437,25.623901581722322,3.760984182776802,89.9121265377856,22.460456942003518,7.557117750439368,10.439367311072058,18.031634446397188,13.216168717047452,9.455184534270652,27.521968365553604,9.314586994727593,2.1089630931458703,89.10369068541301,21.968365553602816
Omeprazole,COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,Proton-pump inhibitor,C17H19N3O3S,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,345.4240000000001,2.8997400000000013,83.09,1,5,5,3,3,0.29411764705882354,24,93.02110000000005,0.7189882148938236,0,True,True,True,True,0,0,0,1,0,1,0,0.742625,0.7474226,0.9036872,0.88866365,0.8497589,0.17554295,0.5276365,0.22934055,0.17518671,0.79586613,0.89982766,0.13049433,0.16997978,0.92481506,0.99995106,0.018452505,0.024375675,0.82900447,0.463739,0.0481136,0.17494428,0.019677933,0.9708875,0.4202231,0.5541504,0.21666828,0.13833302,0.51592827,0.17700228,0.44112426,0.76415086,-5.2200885,57.113823,47.284855,-18.168991,-14.021835,2.2899184,1.7797477,89.010666,-3.389791,-1.3607123,52.7768014059754,59.89455184534271,61.880492091388405,36.59050966608085,63.44463971880493,77.68014059753955,55.32513181019333,56.13356766256591,47.59226713532514,66.52021089630932,37.188049209138846,92.93497363796135,52.86467486818981,80.28119507908612,94.44639718804922,95.99297012302286,64.04217926186293,90.65026362038665,71.35325131810194,69.8066783831283,92.40773286467487,94.76274165202109,40.38664323374341,65.62390158172232,86.29173989455185,80.21089630931459,63.971880492091394,48.43585237258348,98.48857644991213,97.29349736379615,74.48154657293497,80.03514938488577,67.69771528998243,88.08435852372584,74.69244288224957,86.95957820738138,94.23550087873463,88.33040421792619,88.68189806678384,82.39015817223199,39.36731107205624,76.2390158172232,34.76274165202109,68.64674868189807,66.81898066783832,2.4253075571177507,41.23022847100176,40.14059753954306,58.17223198594025,67.80316344463972,44.32337434094904,22.95254833040422
Simvastatin,CCC(C)(C)C(=O)O[C@H]1C[C@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,Statin / lipid-lowering,C25H38O5,CCC(C)(C)C(=O)O[C@H]1C[C@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,418.57400000000024,4.585600000000005,72.83,1,5,6,0,3,0.76,30,115.45480000000006,0.6390622750209786,0,True,True,True,True,0,0,0,0,0,0,0,0.5387371,0.8443904,0.6670317,0.004994997,0.1361159,0.103973106,0.11282583,0.18959892,0.0682633,0.81871253,0.7891173,0.045700345,0.1841464,0.22957201,0.9994799,0.11281476,0.11697767,0.018988097,0.20052528,0.09955563,0.13155544,0.06672032,0.9302805,0.76552296,0.5609123,0.05059936,0.1984523,0.4398985,0.16781974,0.4699564,0.7332877,-4.602831,129.12231,104.04409,11.79008,-9.304634,2.0568795,3.7595685,103.16441,-5.578265,4.290574,69.9121265377856,84.78031634446398,61.880492091388405,36.59050966608085,63.44463971880493,65.09666080843586,90.68541300527241,48.66432337434095,47.59226713532514,25.869947275922673,37.188049209138846,81.96836555360282,61.75746924428823,28.787346221441126,24.56942003514939,57.53954305799649,38.62917398945519,67.41652021089631,66.4323374340949,53.98945518453428,94.83304042179263,90.82601054481547,15.606326889279439,67.59226713532514,37.39894551845343,61.44112478031635,90.54481546572936,92.33743409490334,48.68189806678384,86.36203866432338,86.6432337434095,69.87697715289983,83.44463971880492,72.47803163444641,87.87346221441126,87.31107205623903,77.82073813708261,91.91564147627417,85.16695957820738,81.65202108963094,43.057996485061516,74.13005272407733,73.81370826010546,94.86818980667839,90.7908611599297,43.33919156414763,75.11423550087873,26.22144112478032,91.84534270650265,93.98945518453428,7.486818980667839,70.896309314587
Diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,Benzodiazepine,C16H13ClN2O,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,284.74600000000004,3.153800000000002,32.67,0,2,1,2,3,0.125,20,81.81000000000004,0.79164533623487,0,True,True,True,True,0,0,0,0,0,0,0,0.059125733,0.9835144,0.9208248,0.9301726,0.82970774,0.35452938,0.5099113,0.24583395,0.09023985,0.5736448,0.10595224,0.10444935,0.043745983,0.8091981,0.9999973,0.0021581438,0.01891172,0.20669083,0.033000205,0.011260995,0.14886412,0.01637378,0.9818497,0.28315645,0.094891,0.01934435,0.012288708,0.13301013,0.014668448,0.37793797,0.4229516,-4.4294715,60.826843,27.089008,29.142933,-9.608536,2.2708251,2.5972304,90.78731,-4.0630198,1.9271256,35.975395430579965,63.514938488576455,17.10017574692443,11.63444639718805,63.44463971880493,87.80316344463972,22.601054481546576,16.485061511423552,47.59226713532514,25.869947275922673,37.188049209138846,16.063268892794376,92.02108963093147,86.22144112478033,96.20386643233745,95.46572934973639,92.61862917398946,90.22847100175748,72.58347978910369,58.523725834797894,64.04217926186293,59.015817223198596,31.599297012302287,28.717047451669597,73.21616871704745,95.64147627416521,12.478031634446399,38.20738137082601,81.51142355008788,57.04745166959579,39.12126537785589,74.0597539543058,65.16695957820738,93.63796133567664,67.90861159929702,42.7768014059754,63.690685413005276,45.026362038664324,67.94376098418279,35.99297012302285,31.142355008787348,58.59402460456943,86.11599297012303,70.36906854130054,51.493848857645,67.97891036906854,73.04042179261863,39.29701230228471,72.86467486818981,70.896309314587,31.07205623901582,54.516695957820744
