name,drug_class,MW,cLogP,TPSA,HBD,HBA,RotB,FractionCSP3,QED,Lipinski_violations,Lipinski_pass,Veber_pass,Ghose_pass,Egan_pass,alert_total
Aspirin,NSAID / antiplatelet,180.15899999999996,1.3101,63.60000000000001,1,3,2,0.1111111111111111,0.5501217966938848,0,True,True,False,True,1
Ibuprofen,NSAID,206.28499999999997,3.073200000000001,37.3,1,1,4,0.46153846153846156,0.8215995486924976,0,True,True,False,True,0
Acetaminophen,Analgesic / antipyretic,151.165,1.3505999999999998,49.33,2,2,1,0.125,0.5950261967780849,0,True,True,False,True,1
Caffeine,CNS stimulant,194.194,-1.0293,61.82,0,3,0,0.375,0.5384628262372215,0,True,True,False,False,0
Warfarin,Anticoagulant,308.3330000000001,3.609600000000003,67.50999999999999,1,4,4,0.15789473684210525,0.7476258148419598,0,True,True,True,True,1
Atorvastatin,Statin / lipid-lowering,558.6500000000003,6.313600000000008,111.79,4,4,12,0.2727272727272727,0.16276043934928294,2,False,False,False,False,0
Metformin,Antidiabetic (biguanide),129.167,-1.034159999999999,88.99000000000001,4,2,0,0.5,0.24878483893146577,0,True,True,False,False,2
Omeprazole,Proton-pump inhibitor,345.4240000000001,2.8997400000000013,83.09,1,5,5,0.29411764705882354,0.7189882148938236,0,True,True,True,True,1
Simvastatin,Statin / lipid-lowering,418.57400000000024,4.585600000000005,72.83,1,5,6,0.76,0.6390622750209786,0,True,True,True,True,0
Diazepam,Benzodiazepine,284.74600000000004,3.153800000000002,32.67,0,2,1,0.125,0.79164533623487,0,True,True,True,True,0
Fluoxetine,SSRI antidepressant,309.33099999999996,4.435000000000003,21.259999999999998,1,2,6,0.29411764705882354,0.8517964099245682,0,True,True,True,True,0
Sertraline,SSRI antidepressant,306.236,5.179600000000004,12.03,1,1,2,0.29411764705882354,0.8058613927728192,1,True,True,True,True,0
Haloperidol,Typical antipsychotic,375.87100000000015,4.425600000000004,40.540000000000006,1,3,6,0.38095238095238093,0.759345285057915,0,True,True,True,True,0
Risperidone,Atypical antipsychotic,410.4930000000003,3.5904200000000026,64.16,0,5,4,0.5217391304347826,0.6577452185749303,0,True,True,True,True,0
Amiodarone,Class III antiarrhythmic,645.3190000000002,6.936200000000007,42.68,0,4,11,0.4,0.1676472462674973,2,False,False,False,False,1
Terfenadine,Antihistamine (withdrawn),471.6850000000001,6.445800000000008,43.7,2,3,8,0.4375,0.39694894051294805,1,True,True,False,False,0
Cisapride,Prokinetic (withdrawn),465.9530000000001,3.358100000000001,86.05,2,6,9,0.43478260869565216,0.4360349382366311,0,True,True,True,True,2
Verapamil,Calcium-channel blocker,454.6110000000002,5.093080000000005,63.95,0,6,13,0.5185185185185185,0.41990487617646394,1,True,False,False,True,0
Propranolol,Beta-blocker,259.34900000000005,2.5775000000000006,41.489999999999995,2,3,6,0.375,0.8375057924076362,0,True,True,False,True,0
Ketoconazole,Azole antifungal,531.4399999999999,4.205800000000003,69.06,0,6,7,0.38461538461538464,0.45541449702144693,1,True,True,False,True,1
Ciprofloxacin,Fluoroquinolone antibiotic,331.34700000000004,1.5833,74.57,2,4,3,0.4117647058823529,0.8932298763507216,0,True,True,True,True,0
Imatinib,BCR-ABL kinase inhibitor,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,0.2413793103448276,0.38941616262964607,0,True,True,False,True,0
Gefitinib,EGFR kinase inhibitor,446.9100000000004,4.275600000000003,68.74,1,7,8,0.36363636363636365,0.517854527865434,0,True,True,True,True,1
Sildenafil,PDE5 inhibitor,474.5870000000004,1.6109,113.41999999999999,1,7,7,0.5,0.5534046105187581,0,True,True,True,True,0
Tamoxifen,SERM / antineoplastic,371.524,5.9961000000000055,12.47,0,2,8,0.23076923076923078,0.4505726789966775,1,True,True,False,False,1
Rosiglitazone,PPAR-gamma agonist (TZD),357.435,2.490900000000001,71.53,1,6,7,0.2777777777777778,0.8208547527827771,0,True,True,True,True,1
Anastrozole,Aromatase inhibitor,293.374,2.9287600000000014,78.28999999999999,0,4,4,0.4117647058823529,0.8678513137549794,0,True,True,True,True,0
Bicalutamide,Androgen-receptor antagonist,430.3790000000001,2.8795800000000007,107.25999999999999,2,5,5,0.2222222222222222,0.5604120760868545,0,True,True,True,True,0
Quinidine,Class Ia antiarrhythmic,324.4240000000001,3.1732000000000014,45.59,1,4,4,0.45,0.8776016184783941,0,True,True,True,True,1
Loratadine,Second-generation antihistamine,382.89100000000025,4.887800000000005,42.43,0,3,1,0.36363636363636365,0.7048857984659846,0,True,True,True,True,0
