name,drug_class,hERG,DILI,AMES,ClinTox,LD50_Zhu,Lipinski_violations,alert_total,QED
Aspirin,NSAID / antiplatelet,0.020779807,0.6746291,0.08012307,0.10952588,2.0690627,0,1,0.5501217966938848
Acetaminophen,Analgesic / antipyretic,0.09628295,0.5796205,0.3020348,0.08517766,1.8226774,0,1,0.5950261967780849
Caffeine,CNS stimulant,0.047540553,0.9320737,0.11057254,0.06276818,2.4201381,0,0,0.5384628262372215
Warfarin,Anticoagulant,0.28471068,0.8629986,0.07660425,0.046539776,3.4486377,0,1,0.7476258148419598
Atorvastatin,Statin / lipid-lowering,0.7662732,0.900935,0.08716503,0.18615128,3.0618637,2,0,0.16276043934928294
Metformin,Antidiabetic (biguanide),0.042868815,0.0018643402,0.10945569,0.001784826,2.0814424,0,2,0.24878483893146577
Omeprazole,Proton-pump inhibitor,0.76415086,0.92481506,0.742625,0.16997978,2.2899184,0,1,0.7189882148938236
Simvastatin,Statin / lipid-lowering,0.7332877,0.22957201,0.5387371,0.1841464,2.0568795,0,0,0.6390622750209786
Diazepam,Benzodiazepine,0.4229516,0.8091981,0.059125733,0.043745983,2.2708251,0,0,0.79164533623487
Fluoxetine,SSRI antidepressant,0.89215624,0.21753454,0.051520564,0.14305905,2.4529052,0,0,0.8517964099245682
Sertraline,SSRI antidepressant,0.92664605,0.40922314,0.40028518,0.30714417,3.266356,1,0,0.8058613927728192
Haloperidol,Typical antipsychotic,0.94635046,0.14748093,0.11288265,0.49704117,3.1360936,0,0,0.759345285057915
Risperidone,Atypical antipsychotic,0.9284811,0.36569768,0.38660428,0.69026875,3.7517037,0,0,0.6577452185749303
Amiodarone,Class III antiarrhythmic,0.95172435,0.5924032,0.39203244,0.45698032,4.174235,2,1,0.1676472462674973
Terfenadine,Antihistamine (withdrawn),0.9696952,0.06217904,0.007381088,0.17896608,3.0415428,1,0,0.39694894051294805
Cisapride,Prokinetic (withdrawn),0.97700244,0.660797,0.461235,0.63114554,2.711125,0,2,0.4360349382366311
Verapamil,Calcium-channel blocker,0.96880263,0.343644,0.12139414,0.35185242,3.3499389,1,0,0.41990487617646394
Propranolol,Beta-blocker,0.78288776,0.19482635,0.17633633,0.17711787,2.502889,0,0,0.8375057924076362
Ketoconazole,Azole antifungal,0.96652377,0.91323775,0.50412136,0.29545018,2.7973027,1,1,0.45541449702144693
Ciprofloxacin,Fluoroquinolone antibiotic,0.090573,0.7824693,0.5330749,0.31041422,2.4301326,0,0,0.8932298763507216
Imatinib,BCR-ABL kinase inhibitor,0.9844693,0.9122345,0.18316591,0.8686568,2.2530098,0,0,0.38941616262964607
Gefitinib,EGFR kinase inhibitor,0.9644039,0.89041805,0.60937345,0.763157,3.0922532,0,1,0.517854527865434
Sildenafil,PDE5 inhibitor,0.7714841,0.93117476,0.5306442,0.4194669,2.1712213,0,0,0.5534046105187581
Tamoxifen,SERM / antineoplastic,0.94696677,0.4697439,0.22079484,0.3791748,2.8290825,1,1,0.4505726789966775
Rosiglitazone,PPAR-gamma agonist (TZD),0.6080178,0.7836965,0.19812794,0.27693367,2.5199683,0,1,0.8208547527827771
Anastrozole,Aromatase inhibitor,0.51823103,0.6097896,0.023779592,0.11952275,3.5716686,0,0,0.8678513137549794
Bicalutamide,Androgen-receptor antagonist,0.39872977,0.8899574,0.10132523,0.07360249,2.8052108,0,0,0.5604120760868545
Quinidine,Class Ia antiarrhythmic,0.8731667,0.2956515,0.39915293,0.5119916,2.9335172,0,1,0.8776016184783941
Loratadine,Second-generation antihistamine,0.6844331,0.7473248,0.07985804,0.089027606,2.8954573,0,0,0.7048857984659846
