smiles,pchembl,n_meas,spread,molecule_chembl_id,scaffold
C[C@@]1(O)CCC[C@H]1n1c(=O)c(C(F)F)cc2cnc(NC3CCN(S(C)(=O)=O)CC3)nc21,10.05,1,0.0,CHEMBL4446357,O=c1ccc2cnc(NC3CCNCC3)nc2n1C1CCCC1
O=[N+]([O-])c1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,9.52,1,0.0,CHEMBL526110,c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1
NS(=O)(=O)c1ccc(Nc2cc(-c3ccc([N+](=O)[O-])cc3)[nH]n2)cc1,9.48,1,0.0,CHEMBL317703,c1ccc(Nc2cc(-c3ccccc3)[nH]n2)cc1
Nc1ccc(-c2cc(Nc3ccc(S(N)(=O)=O)cc3)[nH]n2)cc1,9.47,1,0.0,CHEMBL321517,c1ccc(Nc2cc(-c3ccccc3)n[nH]2)cc1
CC(=O)NC1CN(c2ccc(Nc3ncc(F)c(-c4cnc(C)n4C(C)C)n3)cc2)C1,9.3,1,0.0,CHEMBL476577,c1cc(-c2cnc[nH]2)nc(Nc2ccc(N3CCC3)cc2)n1
CC[C@@H](C)Oc1nc(Nc2ccc(S(N)(=O)=O)cc2)nc(N)c1C=O,9.1,1,0.0,CHEMBL4088242,c1ccc(Nc2ncccn2)cc1
Fc1cc(F)cc(Nc2nccc(-c3cnn4ncccc34)n2)c1,9.0,1,0.0,CHEMBL184510,c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1
CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,9.0,22,1.2999999999999998,CHEMBL2103840,c1c[nH+]cc(CNc2cc(N3CCCCC3)nc3ccnn23)c1
CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@@H]3CCO)nc12,9.0,1,0.0,CHEMBL5266005,c1c[nH+]cc(CNc2cc(N3CCCCC3)nc3ccnn23)c1
NCCCn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3)ncc1CC2,9.0,1,0.0,CHEMBL1171950,c1ccc(Nc2ncc3c(n2)-c2[nH]ncc2CC3)cc1
CN1CCN(c2cccc(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)c2)CC1,9.0,1,0.0,CHEMBL559513,c1cc(Nc2ncc3c(n2)-c2[nH]ncc2CC3)cc(N2CCNCC2)c1
Clc1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1Cl,9.0,1,0.0,CHEMBL186890,c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1
CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn4c3CC(C)(C)C4)c(Cl)cn2)C1,9.0,1,0.0,CHEMBL4462530,O=C(Nc1cc(-c2cnn3c2CCC3)ccn1)C1CCCCC1
COCCOCCOCCOCCN(C)S(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccc4ncsc4c32)cc1,9.0,1,0.0,CHEMBL1964249,O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccccc1
COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc(C)n3C(C)C)n2)cc1,9.0,1,0.0,CHEMBL478409,c1ccc(Nc2nccc(-c3cnc[nH]3)n2)cc1
Cc1ncc(-c2nc(Nc3ccc(C(=O)NC4CCN(C)CC4)c(F)c3)ncc2F)n1C(C)C,9.0,1,0.0,CHEMBL509406,O=C(NC1CCNCC1)c1ccc(Nc2nccc(-c3cnc[nH]3)n2)cc1
CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(C3CCCC[C@H]3CCO)nc12,9.0,1,0.0,CHEMBL5171657,c1c[nH+]cc(CNc2cc(C3CCCCC3)nc3ccnn23)c1
Cc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@@H]3CCO)nc12,9.0,1,0.0,CHEMBL4292930,c1c[nH+]cc(CNc2cc(N3CCCCC3)nc3ccnn23)c1
Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nc(OCC2CCCCC2)c1N=O,8.96,1,0.0,CHEMBL318999,c1ccc(Nc2nccc(OCC3CCCCC3)n2)cc1
COCc1cc(C(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)NC(C)C)C3)[nH]n2)n(C)n1,8.96,1,0.0,CHEMBL5201870,O=C(Nc1cc(C2CCCC2)[nH]n1)c1ccn[nH]1
CC(C)Cc1cccc2c1/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,8.92,3,0.0,CHEMBL411224,O=C1Nc2ccccc2/C1=N/Nc1ccccc1
NS(=O)(=O)c1ccc(Nc2nccc(-c3cnc4ccccn34)n2)cc1,8.85,2,0.3000000000000007,CHEMBL73303,c1ccc(Nc2nccc(-c3cnc4ccccn34)n2)cc1
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,8.85,5,1.58,CHEMBL388978,O=C1NCc2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CCC[C@H]3O1
N#Cc1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,8.85,2,0.3000000000000007,CHEMBL359794,c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1
NS(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccc4ncccc4c32)cc1,8.82,2,0.0,CHEMBL445945,O=C1Nc2ccc3ncccc3c2/C1=C/Nc1ccccc1
CC(C)=Cc1cccc2c1/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,8.82,3,0.0,CHEMBL270544,O=C1Nc2ccccc2/C1=N/Nc1ccccc1
NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc4ncccc4c32)cc1,8.8,2,0.0,CHEMBL409892,O=C1Nc2ccc3ncccc3c2/C1=N/Nc1ccccc1
COc1cccc(OC)c1CNC(=O)c1ccc2c(c1)/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,8.77,2,0.0,CHEMBL271136,O=C1Nc2ccc(C(=O)NCc3ccccc3)cc2/C1=N/Nc1ccccc1
CC(C)CC(=O)c1ccc2c(c1)/C(=C/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,8.72,2,0.0,CHEMBL429142,O=C1Nc2ccccc2/C1=C/Nc1ccccc1
CC[C@@H](NC(=O)N1CCc2cnc(NC3CCOCC3)nc2C1)c1ccc(C#N)c(Cl)c1,8.7,1,0.0,CHEMBL3298985,O=C(NCc1ccccc1)N1CCc2cnc(NC3CCOCC3)nc2C1
N#Cc1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,8.7,1,0.0,CHEMBL495696,c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1
O=C(Nc1n[nH]c2nc(-c3ccc(O)c(Br)c3)ccc12)C1CC1,8.7,2,0.0,CHEMBL260416,O=C(Nc1n[nH]c2nc(-c3ccccc3)ccc12)C1CC1
Fc1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1F,8.7,1,0.0,CHEMBL364370,c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1
CN1CCN(c2ccc(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)cc2)CC1,8.7,1,0.0,CHEMBL560817,c1cc(N2CCNCC2)ccc1Nc1ncc2c(n1)-c1[nH]ncc1CC2
CNC(=O)c1ccc(Nc2nccc(-c3cnc(C)n3C3CCCC3)n2)cc1,8.7,1,0.0,CHEMBL488257,c1ccc(Nc2nccc(-c3cncn3C3CCCC3)n2)cc1
Cc1ncc(-c2ccnc(Nc3ccc(C(=O)NCCO)cc3)n2)n1C(C)C,8.7,1,0.0,CHEMBL487067,c1ccc(Nc2nccc(-c3cnc[nH]3)n2)cc1
Cc1ncc(-c2nc(Nc3ccc(C(=O)N(C)C)c(F)c3)ncc2F)n1C(C)C,8.7,1,0.0,CHEMBL454648,c1ccc(Nc2nccc(-c3cnc[nH]3)n2)cc1
Cc1ncc(-c2nc(Nc3ccc(C(=O)NCCN(C)C)c(F)c3)ncc2F)n1C(C)C,8.7,1,0.0,CHEMBL462385,c1ccc(Nc2nccc(-c3cnc[nH]3)n2)cc1
Cc1ncc(-c2nc(Nc3ccc(C(=O)N4CCCN(C)CC4)cc3)ncc2F)n1C(C)C,8.7,1,0.0,CHEMBL462192,O=C(c1ccc(Nc2nccc(-c3cnc[nH]3)n2)cc1)N1CCCNCC1
Cc1ncc(-c2nc(Nc3ccc(C(=O)N(C)C)cc3)ncc2F)n1C(C)C,8.7,1,0.0,CHEMBL453862,c1ccc(Nc2nccc(-c3cnc[nH]3)n2)cc1
C[C@H](C(=O)Nc1cc(C2CC2)[nH]n1)c1ccc(N2Cc3ccccc3C2=O)cc1,8.7,2,0.0,CHEMBL190446,O=C(Cc1ccc(N2Cc3ccccc3C2=O)cc1)Nc1cc(C2CC2)[nH]n1
C[C@H](C(=O)Nc1cc(C2CC2)[nH]n1)c1ccc(N2CCNC2=O)cc1,8.7,2,0.0,CHEMBL192602,O=C(Cc1ccc(N2CCNC2=O)cc1)Nc1cc(C2CC2)[nH]n1
FC(F)(F)c1cnc(Nc2ccc3[nH]cnc3c2)nc1Nc1ccccc1Cl,8.7,1,0.0,CHEMBL194721,c1ccc(Nc2ccnc(Nc3ccc4[nH]cnc4c3)n2)cc1
Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3)ncc1CC2,8.7,1,0.0,CHEMBL559845,c1ccc(Nc2ncc3c(n2)-c2[nH]ncc2CC3)cc1
CN(C)S(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3c(Br)cnn23)cc1Cl,8.7,1,0.0,CHEMBL178769,c1ccc(Nc2cc(NC3CCCCC3)nc3ccnn23)cc1
C[C@H](O)[C@@H](C)Nc1nc(Nc2ccc(S(C)(=N)=O)cc2)ncc1Br,8.7,1,0.0,CHEMBL3648117,c1ccc(Nc2ncccn2)cc1
O=C(Nc1n[nH]c2nc(-c3ccc(O)c(Cl)c3)ccc12)C1CC1,8.7,1,0.0,CHEMBL259838,O=C(Nc1n[nH]c2nc(-c3ccccc3)ccc12)C1CC1
CN[C@H]1CCN(C(=O)c2ccc(Nc3nccc(-c4cnc(C)n4C(C)C)n3)cc2)C1,8.7,1,0.0,CHEMBL460087,O=C(c1ccc(Nc2nccc(-c3cnc[nH]3)n2)cc1)N1CCCC1
CN[C@H]1CCN(C(=O)c2ccc(Nc3ncc(F)c(-c4cnc(C)n4C(C)C)n3)cc2)C1,8.7,1,0.0,CHEMBL455657,O=C(c1ccc(Nc2nccc(-c3cnc[nH]3)n2)cc1)N1CCCC1
COc1cc(F)c(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,8.7,1,0.0,CHEMBL213713,O=C(c1ccccc1)c1cnc(NC2CCNCC2)nc1
COc1cc[nH]c1/C=C1\C(=O)Nc2ccc(F)c(C#C[C@@H]3CCCN3)c21,8.7,1,0.0,CHEMBL355631,O=C1Nc2cccc(C#C[C@@H]3CCCN3)c2/C1=C/c1ccc[nH]1
Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,8.7,4,0.29999999999999893,CHEMBL191003,O=C(c1ccccc1)n1cnc(Nc2ccccc2)n1
O=C1Nc2ccc([N+](=O)[O-])cc2/C1=C1/Nc2ccc(O)cc2/C1=N\O,8.7,1,0.0,CHEMBL4457608,N=C1/C(=C2/C(=O)Nc3ccccc32)Nc2ccccc21
C[C@@H](NC(=O)N1CCc2cnc(N[C@H]3CCO[C@@H](CO)C3)nc2C1)c1ccc(Cl)c(Cl)c1,8.7,1,0.0,CHEMBL3298199,O=C(NCc1ccccc1)N1CCc2cnc(NC3CCOCC3)nc2C1
C/C(Nc1ccc(S(N)(=O)=O)cc1)=C1/C(=O)Nc2ccc(-c3cnco3)cc21,8.7,2,0.0,CHEMBL411887,O=C1Nc2ccc(-c3cnco3)cc2C1=CNc1ccccc1
Cc1ncc(-c2nc(Nc3ccc(C(=O)N4CC[C@H](N(C)C)C4)cc3)ncc2F)n1C(C)C,8.7,1,0.0,CHEMBL460102,O=C(c1ccc(Nc2nccc(-c3cnc[nH]3)n2)cc1)N1CCCC1
COc1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,8.7,1,0.0,CHEMBL187081,c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1
C[C@H](Nc1nc(Nc2ccc(S(C)(=N)=O)cc2)ncc1Br)C(C)(C)O,8.7,1,0.0,CHEMBL3648116,c1ccc(Nc2ncccn2)cc1
NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc(C(=O)NCc4cccnc4)cc32)cc1,8.68,3,0.0,CHEMBL271953,O=C1Nc2ccc(C(=O)NCc3cccnc3)cc2/C1=N/Nc1ccccc1
COC(=O)c1ccc2c(c1)/C(=C/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,8.68,3,0.0,CHEMBL409731,O=C1Nc2ccccc2/C1=C/Nc1ccccc1
NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc4[nH]nc(Cl)c4c32)cc1,8.66,2,0.0,CHEMBL269882,O=C1Nc2ccc3[nH]ncc3c2/C1=N/Nc1ccccc1
Cn1cc(-c2cnc3c(-c4csc(C(=O)N[C@@H]5CCCC[C@@H]5N)c4)cnn3c2)cn1,8.66,1,0.0,CHEMBL4568087,O=C(NC1CCCCC1)c1cc(-c2cnn3cc(-c4cn[nH]c4)cnc23)cs1
NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc(-c4cnco4)cc32)cc1,8.64,3,0.0,CHEMBL269827,O=C1Nc2ccc(-c3cnco3)cc2/C1=N/Nc1ccccc1
CC(C)c1c2cc(-c3nc(Nc4ccc(N5CCNCC5)cn4)ncc3F)ccc2nn1C,8.62,1,0.0,CHEMBL5095094,c1cc(-c2ccc3n[nH]cc3c2)nc(Nc2ccc(N3CCNCC3)cn2)n1
CN1CCN(Cc2ccc(NC(=O)c3n[nH]cc3Nc3ncnc4[nH]ccc34)cc2)CC1,8.61,1,0.0,CHEMBL4077071,O=C(Nc1ccc(CN2CCNCC2)cc1)c1n[nH]cc1Nc1ncnc2[nH]ccc12
