ligand_id,molecule_chembl_id,smiles,pchembl,scaffold,n_meas,sdf,pdbqt
L0000,CHEMBL1081830,N[C@H](CNc1ncc(-c2ccc3nnn(N)c3c2)s1)Cc1ccc(C(F)(F)F)cc1,7.26,c1ccc(CCCNc2ncc(-c3ccc4nn[nH]c4c3)s2)cc1,1,L0000.sdf,L0000.pdbqt
L0001,CHEMBL461140,CN(C)CCOc1ccc(/C=C/c2cc(-c3cc4c(=O)[nH]cnc4[nH]3)ccn2)cc1,5.09,O=c1[nH]cnc2[nH]c(-c3ccnc(/C=C/c4ccccc4)c3)cc12,1,L0001.sdf,L0001.pdbqt
L0002,CHEMBL317703,NS(=O)(=O)c1ccc(Nc2cc(-c3ccc([N+](=O)[O-])cc3)[nH]n2)cc1,9.48,c1ccc(Nc2cc(-c3ccccc3)[nH]n2)cc1,1,L0002.sdf,L0002.pdbqt
L0003,CHEMBL319903,NS(=O)(=O)c1ccc(Nc2cc(-c3ccc(Br)cc3)[nH]n2)cc1,8.0,c1ccc(Nc2cc(-c3ccccc3)[nH]n2)cc1,1,L0003.sdf,L0003.pdbqt
L0004,CHEMBL103382,NS(=O)(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1,7.76,c1ccc(Nc2cc(-c3ccccc3)[nH]n2)cc1,1,L0004.sdf,L0004.pdbqt
L0005,CHEMBL103285,NS(=O)(=O)c1ccc(Nc2cc(-c3cccc(Br)c3)[nH]n2)cc1,7.63,c1ccc(Nc2cc(-c3ccccc3)[nH]n2)cc1,1,L0005.sdf,L0005.pdbqt
L0006,CHEMBL418985,CS(=O)(=O)Nc1ccc(Nc2cc(-c3cccc(Br)c3)[nH]n2)cc1,6.22,c1ccc(Nc2cc(-c3ccccc3)[nH]n2)cc1,1,L0006.sdf,L0006.pdbqt
L0007,CHEMBL488646,COc1cc(C2=C(c3cn(COC(C)(C)C)c4ccccc34)CNC2=O)cc(OC)c1OC,4.64,O=C1NCC(c2c[nH]c3ccccc23)=C1c1ccccc1,1,L0007.sdf,L0007.pdbqt
L0008,CHEMBL23293,CC(C)=CCC/C(C)=C/CC/C(C)=C/CSc1ccccc1C(=O)O,5.51,c1ccccc1,2,L0008.sdf,L0008.pdbqt
L0009,CHEMBL3894204,CN(C)C1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nn2)CC1,5.85,O=C1NCC2(CCCCC2)n2c1cc1cnc(Nc3ccc(N4CCCCC4)nn3)nc12,2,L0009.sdf,L0009.pdbqt
L0010,CHEMBL360530,Cc1[nH]c(C#N)c(C)c1-c1ccnc(Nc2cccc(O)c2)n1,7.52,c1ccc(Nc2nccc(-c3cc[nH]c3)n2)cc1,1,L0010.sdf,L0010.pdbqt
