ligand_id,1AQ1,1FIN,1HCK,1KE5,2VTA,3PXF
L0000,-10.3,-9.2,-10.1,-10.3,-9.5,-10.5
L0001,-9.2,-8.3,-8.2,-8.4,-8.4,-8.9
L0002,-9.9,-9.3,-8.5,-8.5,-8.2,-8.9
L0003,-10.1,-8.3,-8.3,-8.3,-8.7,-8.8
L0004,-10.1,-9.9,-9.4,-9.7,-9.3,-8.7
L0005,-9.7,-10.0,-9.7,-8.9,-9.2,-8.5
L0006,-9.4,-9.2,-9.0,-8.2,-9.0,-8.3
L0007,-9.2,-8.9,-7.9,-7.4,-8.1,-6.3
L0008,-8.3,-7.9,-6.8,-8.3,-8.5,-8.5
L0009,-10.5,-9.7,-10.1,-10.3,-10.3,-10.5
L0010,-8.9,-8.7,-8.2,-8.6,-8.1,-9.1
L0011,-9.5,-8.7,-9.2,-9.3,-9.8,-8.7
L0012,-9.0,-8.4,-9.1,-8.4,-9.1,-9.0
L0013,-9.4,-8.8,-9.3,-9.0,-9.3,-7.5
L0014,-9.6,-9.0,-9.0,-9.1,-9.9,-7.8
L0015,-9.2,-8.8,-8.7,-8.3,-8.2,-9.2
L0016,-9.2,-8.7,-9.0,-9.1,-8.5,-9.5
L0017,-9.8,-8.5,-9.1,-9.1,-9.7,-7.1
L0018,-9.2,-8.9,-8.5,-8.3,-9.1,-9.3
L0019,-8.9,-8.5,-8.7,-8.3,-8.6,-9.2
L0020,-8.9,-8.1,-8.4,-8.1,-8.5,-9.0
L0021,-9.0,-8.1,-8.3,-8.2,-8.3,-9.0
L0022,-8.0,-8.1,-8.0,-8.5,-8.2,-6.4
L0023,-9.2,-8.7,-8.6,-8.8,-8.4,-7.1
L0024,-8.8,-8.4,-8.0,-8.4,-8.2,-8.8
L0025,-9.6,-9.1,-9.1,-9.3,-9.3,-8.6
L0026,-9.1,-8.0,-7.6,-7.8,-7.9,-8.3
L0027,-10.2,-9.9,-8.9,-9.9,-9.8,-6.2
L0028,-10.8,-9.7,-9.5,-8.6,-9.3,-10.5
L0029,-11.1,-10.7,-10.2,-10.0,-9.2,-9.5
L0030,-10.6,-10.1,-8.6,-8.4,-8.5,-9.1
L0031,-11.0,-9.9,-8.9,-8.0,-9.1,-8.9
L0032,-10.4,-9.5,-9.1,-9.3,-9.1,-8.6
L0033,-8.7,-8.5,-7.6,-7.7,-8.3,-8.9
L0034,-9.1,-8.8,-8.4,-8.3,-8.2,-8.6
L0035,-8.7,-8.2,-8.5,-8.7,-8.0,-8.7
L0036,-8.9,-8.8,-8.4,-8.5,-8.9,-9.4
L0037,-10.9,-10.5,-10.2,-10.5,-10.7,-10.4
L0038,-9.9,-10.1,-9.4,-8.4,-9.8,-9.7
L0039,-10.7,-10.3,-9.0,-10.3,-10.9,-9.4
L0040,-10.7,-9.9,-8.9,-9.2,-10.1,-10.8
L0041,-12.2,-11.2,-10.5,-11.0,-10.4,-7.9
L0042,-8.2,-8.3,-7.9,-7.8,-7.9,-5.9
L0043,-11.4,-10.2,-10.1,-10.7,-10.4,-8.4
L0044,-8.5,-8.2,-8.6,-8.5,-8.6,-8.8
L0045,-8.6,-7.9,-8.5,-8.8,-8.5,-9.4
L0046,-8.5,-7.9,-8.6,-9.3,-9.2,-9.6
L0047,-8.5,-7.9,-8.2,-8.2,-8.2,-9.0
L0048,-8.7,-8.3,-8.5,-8.2,-8.5,-9.4
L0049,-8.2,-8.0,-8.3,-8.4,-8.2,-9.3
L0050,-9.3,-8.8,-9.2,-9.2,-9.3,-9.7
L0051,-8.2,-7.7,-8.1,-8.7,-8.7,-9.4
L0052,-8.5,-7.8,-8.4,-9.1,-8.9,-9.5
L0053,-5.0,-4.8,-4.9,-5.1,-4.9,-5.8
L0054,-5.5,-6.0,-5.9,-5.8,-5.8,-6.4
L0055,-5.4,-5.3,-5.2,-5.6,-5.3,-6.1
L0056,-10.9,-10.2,-10.0,-9.3,-10.4,-10.3
L0057,-10.2,-9.2,-9.7,-9.8,-9.5,-8.3
L0058,-9.7,-9.5,-8.8,-9.5,-9.3,-10.1
L0059,-10.9,-10.2,-9.8,-9.9,-10.2,-10.2
