organ	n	profile_r	peak_conserved	omega
Liver	155	0.9342369685622073	0.8387096774193549	0.1860346084063493
Kidney	34	0.9336624124343003	0.8823529411764706	0.15047421643872014
Brain	25	0.9335711975381378	0.64	0.0816314510470424
Cerebellum	204	0.9073460553805247	0.5980392156862745	0.0612513522283313
Skeletal_muscle	101	0.808428119858881	0.4752475247524752	0.0927570904153586
Spinal_cord	49	0.7634621136984466	0.22448979591836735	0.1057772266543592
Nerve_tibial	37	0.7314271667656589	0.32432432432432434	0.1446700800678006
Testis	889	0.604314677415387	0.2542182227221597	0.21627750902696963
Pituitary	46	0.5900451931127392	0.45652173913043476	0.1299125174070798
Blood	53	0.5738665966206707	0.4528301886792453	0.2214702721559019
Spleen	47	0.4309775111568277	0.3617021276595745	0.2540704692159083
Skin	63	0.3728206993264074	0.15873015873015872	0.1927713481229836
Small_intestine	25	0.20880932601324476	0.44	0.1741077852150093
