organ	n	median_log2	gini	top10pct_share	frac_above_genome
Adrenal	43	0.5860824429688358	0.3691455228760322	0.24524648087004505	0.6976744186046512
Blood	118	0.9873734751236322	0.3295113687524466	0.20170422795465914	0.7627118644067796
Brain	205	-0.7869890018152131	0.44048361072261183	0.2809682986680494	0.3170731707317073
Cerebellum	408	-0.7163468385782333	0.4443073728209407	0.2867310723468151	0.3137254901960784
Cervix	47	0.5787614052393703	0.3784161201594539	0.2722838665440098	0.723404255319149
Colon	67	0.5667067283325761	0.4034657748582337	0.279389935053986	0.7761194029850746
Heart	91	0.023343442526968655	0.46221032611913654	0.295400634675052	0.5274725274725275
Kidney	109	0.4013664104458696	0.4424724880407204	0.2920065181927538	0.6788990825688074
Liver	214	0.6338526421016744	0.3659486646598535	0.22537882032834533	0.7897196261682243
Lung	79	0.9860427843747991	0.3719705065815559	0.23207549210562947	0.8354430379746836
Nerve_tibial	69	0.28034928202993586	0.43684028297688016	0.3075973692119556	0.5797101449275363
Pancreas	65	0.5165400092061024	0.38944572200744126	0.23570298252410507	0.7692307692307693
Pituitary	178	-0.11835554215038875	0.4315595561592445	0.29330488885645467	0.4550561797752809
Salivary_gland	51	1.0965854441110847	0.2814043978873655	0.18953364215695687	0.7254901960784313
Skeletal_muscle	176	-0.2627136992501168	0.42588326137127314	0.27508152352935866	0.4090909090909091
Skin	148	0.5523235419587728	0.40686379088028046	0.27132003437215635	0.6959459459459459
Small_intestine	126	0.6717207620567303	0.37103234767884197	0.2299031907771137	0.7777777777777778
Spinal_cord	140	-0.22043491036368024	0.47891380850693216	0.3314432482217489	0.4142857142857143
Spleen	139	0.9992709481553836	0.3303924937828243	0.20786898554356117	0.7841726618705036
Stomach	51	0.49988413221727174	0.4390784304547802	0.28773500610854974	0.6666666666666666
Testis	1221	0.829676496802318	0.3570188299182898	0.2242974246146514	0.7796887796887797
Thyroid	44	0.32431390540078897	0.4121735190184274	0.23893655399629687	0.6136363636363636
Vagina	64	0.5806273536882138	0.3802593489506904	0.24659091834212093	0.71875
