organ	n	omega_full	omega_trim5	omega_trim10	omega_trim25	rank_trim5	rank_trim10	rank_trim25	rank_full
Salivary_gland	51	0.2544980726614677	0.25267003429552876	0.2466556546913519	0.19502885510293477	1.0	1.0	1.0	1.0
Spleen	139	0.2378975204084056	0.23118747154723968	0.2260722763299404	0.18867127459872335	2.0	2.0	2.0	2.0
Blood	118	0.2359555739643261	0.22670004331388985	0.22211919376560518	0.18107775378668825	4.0	4.0	4.0	3.0
Lung	79	0.2357261924516225	0.2270312717804879	0.2247537186054422	0.185476988160272	3.0	3.0	3.0	4.0
Testis	1221	0.2115129188447522	0.20227723793008995	0.1931918650614175	0.1680052627055307	5.0	5.0	5.0	5.0
Small_intestine	126	0.18958727104040551	0.1836492877249834	0.1742229735968147	0.16637870882010314	6.0	8.0	6.0	6.0
Liver	214	0.18466649642438854	0.1773104983932386	0.1731247440033279	0.1588529365813085	7.0	9.0	7.0	7.0
Adrenal	43	0.1786519584692067	0.1684318105520331	0.1643933917528837	0.13875178257290993	12.0	12.0	13.0	8.0
Vagina	64	0.17797786767741786	0.175283331638858	0.1745204564460813	0.149625647687829	8.5	6.5	11.0	9.0
Cervix	47	0.1777476753418731	0.175283331638858	0.1745204564460813	0.1512068430250147	8.5	6.5	10.0	10.0
Colon	67	0.1762686629283797	0.173198306519749	0.17131610942000305	0.15628618472594363	10.0	10.0	8.0	11.0
Skin	148	0.1745204564460813	0.1637777114786462	0.1572725656843371	0.1411694694570713	13.0	13.0	12.0	12.0
Pancreas	65	0.1702446304153083	0.16876264714412065	0.1650654198272071	0.1547281944849146	11.0	11.0	9.0	13.0
Stomach	51	0.1682904626671867	0.1537799721721255	0.1507911559151349	0.1374120284040363	14.0	14.0	14.0	14.0
Kidney	109	0.15718196545825	0.1524119361667495	0.14785052552585234	0.13563165871790284	15.0	15.0	15.0	15.0
Thyroid	44	0.14900754024886034	0.1477982242157646	0.14405035175433278	0.1123400529986434	16.0	16.0	16.0	16.0
Nerve_tibial	69	0.1445349675878432	0.1325309942189917	0.126756857897005	0.10279259172376454	17.0	17.0	17.0	17.0
Heart	91	0.1209501642997894	0.1186655648887051	0.1140457232614903	0.09250505622411215	18.0	18.0	18.0	18.0
Pituitary	178	0.10964196734474385	0.1050624431840462	0.09913146763899319	0.0776315653534404	19.0	19.0	19.0	19.0
Spinal_cord	140	0.10214616413418864	0.1002078922920518	0.0974132336249071	0.0725047224389282	20.0	20.0	21.0	20.0
Skeletal_muscle	176	0.09919612695466795	0.0929630430830582	0.0898986722215323	0.07686077056384465	21.0	21.0	20.0	21.0
Cerebellum	408	0.07243320201556955	0.06871379851505395	0.0626254302982594	0.0518604380194167	22.0	22.0	22.0	22.0
Brain	205	0.0689718842110087	0.0657453062452918	0.05964094566105225	0.0506378201227331	23.0	23.0	23.0	23.0
