organ	n	median_het	median_het_rest	rank_biserial	p	q
Liver	32	0.965951144695282	0.8738534450531006	0.1734025478363037	0.09060324728488922	0.48803260922431946
Kidney	32	0.9365774393081665	0.8738534450531006	0.10470211505889893	0.306898295879364	0.920694887638092
Small_intestine	25	0.9228397607803345	0.8739736080169678	0.004738569259643555	0.967433512210846	0.9928874969482422
Cerebellum	111	0.9096935987472534	0.8738654851913452	0.047736287117004395	0.3901412785053253	0.9363390684127808
Pituitary	52	0.8885149955749512	0.8740230798721313	0.038164496421813965	0.6357877254486084	0.9573385119438171
Spleen	36	0.8874043822288513	0.8740230798721313	-0.0008682608604431152	0.9928874969482422	0.9928874969482422
Testis	218	0.8668132424354553	0.8744814395904541	-0.018886089324951172	0.6382256746292114	0.9573385119438171
Skin	39	0.8627298474311829	0.8741376399993896	0.02522146701812744	0.7860509157180786	0.9928874969482422
Blood	29	0.8621924519538879	0.8741376399993896	-0.01041269302368164	0.9229658842086792	0.9928874969482422
Brain	59	0.8286958336830139	0.8749227523803711	-0.11707866191864014	0.12200815230607986	0.48803260922431946
Skeletal_muscle	47	0.8257051706314087	0.8743245601654053	-0.047323524951934814	0.576399564743042	0.9573385119438171
Spinal_cord	36	0.7421669960021973	0.8750001788139343	-0.18590205907821655	0.05443673953413963	0.48803260922431946
