organ	raw	intrinsic_tau_expr	intrinsic_plus_compartment	absorbed_by_compartment	frac_absorbed	n_matched	n_dropped	p	q
Brain	-0.7839787925839606	-1.2709541300642244	-1.324041553017808	0.053087422953583596	-0.0417697395191603	203	2	2.315671731801061e-15	1.775348327714147e-14
Cerebellum	-0.7156905137360463	-1.1980841880000788	-1.2556695564997635	0.057585368499684764	-0.04806454260598336	405	2	4.873406302394016e-31	5.604417247753118e-30
Skeletal_muscle	-0.24618428016233865	-0.722036095152097	-0.44684317281766656	-0.27519292233443043	0.3811345778723999	166	10	0.10379666893106326	0.21702939867404136
Pituitary	-0.13643146544635495	-0.5879178828538403	-0.6148300655860118	0.026912182732171552	-0.045775411017497714	174	2	8.302723392649853e-06	3.8192527606189325e-05
Spinal_cord	-0.21732229349791882	-0.5751394100457389	-0.6119154829742224	0.036776072928483505	-0.06394288460524522	138	2	4.463772724785569e-05	0.00017111128778344683
Heart	0.04218642370583627	-0.21559105488226663	0.14133255954184634	-0.35692361442411297	1.6555585509752593	87	4	0.5921226716752628	0.7165153118157382
Nerve_tibial	0.1597444816160529	-0.1574104437801857	-0.3396233287187123	0.1822128849385266	-1.1575654102911752	66	2	0.16303798459996754	0.2884518189076349
Kidney	0.40585038515957483	-0.13960895748193994	-0.2244382724777353	0.08482931499579535		109	0	0.134995205062701	0.25874080970351027
Thyroid	0.32880002557995236	-0.11139295159886131	-0.0861285254670283	-0.02526442613183301		44	0	0.4303267438696652	0.5822067711177823
Stomach	0.4450321837316865	-0.07496604397847484	-0.5495695152432263	0.47460347126475144		49	1	0.02385497703514985	0.06858305897605582
Pancreas	0.5331760572974555	-0.07133642912663754	-0.09648310476780357	0.02514667564116603		61	4	0.6858335751875225	0.7285832338927584
Cervix	0.5832453799530751	0.04465789204638152	0.22102911531866618	-0.17637122327228466		46	1	0.428007407950614	0.5822067711177823
Small_intestine	0.676276792559971	0.04831961412711606	0.15775080713193151	-0.10943119300481546		125	1	0.026914209468976026	0.06878075753182762
Liver	0.6375455459122824	0.07723642612277298	-0.01694695806821519	0.09418338419098818		205	6	0.9680859957458623	0.9680859957458623
Colon	0.571190703046281	0.10045344093558481	0.11811234127725133	-0.01765890034166652		67	0	0.2261372802723023	0.37151124616163944
Vagina	0.5851125350888983	0.10321883899672923	0.1485261937915038	-0.045307354794774574		63	1	0.5069651936352009	0.6477888585338678
Skin	0.5568108402518431	0.23359659866623783	0.21015636122484502	0.023440237441392814	0.10034494327070298	145	2	0.396834129472016	0.5822067711177823
Adrenal	0.5905664176825407	0.42171419534385013	-0.016838133425315274	0.4385523287691654	1.0399278317192668	41	2	0.6230567928832507	0.7165153118157382
Blood	0.9919299407270525	0.4934499425366157	0.4726383671535448	0.020811575383070935	0.042175656716236465	115	3	0.0005009331810019153	0.0016459233090062933
Spleen	1.0037549228690885	0.510469352179277	0.5986330188898167	-0.08816366671053966	-0.17271098908123395	138	1	4.1725298600806205e-07	2.3992046695463567e-06
Salivary_gland	1.097744601021818	0.5595714705940701	0.2411322614065805	0.3184392091874896	0.5690769203251517	50	1	0.6969057019843775	0.7285832338927584
Testis	0.8327268557520737	0.6483979257273198	0.7320599241101702	-0.08366199838285038	-0.12902878782193072	1036	174	8.088731452450906e-40	1.8604082340637084e-38
Lung	0.9881097553607694	0.6638964071312762	0.21187770002810288	0.45201870710317327	0.6808572877451842	78	0	0.030474061508584872	0.07009034146974522
