organ	n	frac_interface	median_omega	frac_Secreted	frac_Secretory	frac_Membrane	frac_Intracellular	frac_interface_vs_genome
Pancreas	65	0.8	0.1702446304153083	0.4	0.06153846153846154	0.3384615384615385	0.2	0.44507205352547613
Stomach	50	0.78	0.16150932857605066	0.36	0.06	0.36	0.22	0.4250720535254761
Lung	78	0.7307692307692307	0.23533160172179945	0.32051282051282054	0.0	0.41025641025641024	0.2692307692307692	0.3758412842947068
Liver	211	0.6966824644549763	0.1845652385193448	0.3886255924170616	0.023696682464454975	0.2843601895734597	0.3033175355450237	0.34175451798045237
Small_intestine	126	0.6904761904761905	0.18958727104040551	0.15873015873015872	0.023809523809523808	0.5079365079365079	0.30952380952380953	0.33554824400166655
Salivary_gland	51	0.6862745098039216	0.2544980726614677	0.43137254901960786	0.0	0.2549019607843137	0.3137254901960784	0.33134656332939766
Blood	118	0.6779661016949152	0.2359555739643261	0.17796610169491525	0.0423728813559322	0.4576271186440678	0.3220338983050847	0.3230381552203913
Spleen	139	0.6762589928057554	0.2378975204084056	0.17266187050359713	0.02158273381294964	0.48201438848920863	0.3237410071942446	0.3213310463312315
Kidney	109	0.6697247706422018	0.15718196545825	0.13761467889908258	0.009174311926605505	0.5229357798165137	0.3302752293577982	0.3147968241676779
Pituitary	176	0.6022727272727273	0.1079343329597307	0.17045454545454544	0.022727272727272728	0.4090909090909091	0.3977272727272727	0.24734478079820338
Cervix	47	0.574468085106383	0.1777476753418731	0.19148936170212766	0.0425531914893617	0.3404255319148936	0.425531914893617	0.21954013863185912
Nerve_tibial	68	0.5735294117647058	0.13990581359593351	0.17647058823529413	0.029411764705882353	0.36764705882352944	0.4264705882352941	0.21860146529018193
Spinal_cord	140	0.5714285714285714	0.10214616413418864	0.10714285714285714	0.0	0.4642857142857143	0.42857142857142855	0.21650062495404748
Colon	67	0.5671641791044776	0.1762686629283797	0.16417910447761194	0.0	0.40298507462686567	0.43283582089552236	0.21223623262995367
Brain	205	0.5560975609756098	0.0689718842110087	0.09268292682926829	0.004878048780487805	0.4585365853658537	0.44390243902439025	0.2011696145010859
Thyroid	44	0.5454545454545454	0.14900754024886034	0.1590909090909091	0.022727272727272728	0.36363636363636365	0.45454545454545453	0.1905265989800215
Skin	147	0.54421768707483	0.1741458488364094	0.2585034013605442	0.034013605442176874	0.25170068027210885	0.4557823129251701	0.18928974060030607
Cerebellum	407	0.5356265356265356	0.0723665779895463	0.08108108108108109	0.019656019656019656	0.4348894348894349	0.4643734643734644	0.1806985891520117
Adrenal	43	0.5348837209302325	0.1786519584692067	0.16279069767441862	0.023255813953488372	0.3488372093023256	0.46511627906976744	0.1799557744557086
Vagina	64	0.53125	0.17797786767741786	0.21875	0.03125	0.28125	0.46875	0.17632205352547609
Testis	1210	0.2768595041322314	0.2116737775049709	0.07190082644628099	0.015702479338842976	0.18925619834710744	0.7231404958677686	-0.07806844234229249
Skeletal_muscle	176	0.23295454545454544	0.09919612695466795	0.005681818181818182	0.03977272727272727	0.1875	0.7670454545454546	-0.12197340101997847
Heart	91	0.21978021978021978	0.1209501642997894	0.04395604395604396	0.04395604395604396	0.13186813186813187	0.7802197802197802	-0.13514772669430414
