organ	n_base	intrinsic_base	intrinsic_log_degree	n_log_degree	intrinsic_log_pathways	n_log_pathways	intrinsic_n_ortholog_species	n_n_ortholog_species	intrinsic_all	n_all	p_all	q_all
Brain	204	-1.2709541300642244	-1.0949522983435482	201	-1.2403423785446508	204	-0.9782579926697147	203	-1.0106826772821542	186.0	2.7457538524190884e-08	1.7389774398654227e-07
Cerebellum	407	-1.2117268551386766	-1.1022808032029152	401	-1.1703101431173464	406	-1.0295357659553102	405	-1.0295357659553102	369.0	1.1816511934608798e-18	2.2451372675756718e-17
Skeletal_muscle	174	-0.722036095152097	-0.6656380562120289	165	-0.7636604585957876	164	-0.5255982061372387	170	-0.2720866994861539	134.0	0.2661360415608809	0.3844081996992356
Spinal_cord	139	-0.5751394100457389	-0.4114734304248486	135	-0.5446307757741842	139	-0.5463420396799163	138	-0.5659546955734246	123.0	0.004928937221270123	0.011706225900516542
Pituitary	178	-0.5471924513793031	-0.5106801880439669	174	-0.4928945168065575	176	-0.45822230281791515	176	-0.49416294708562397	161.0	0.0028395173266425526	0.008991804867701417
Heart	90	-0.21559105488226663	-0.42076706484984916	86	-0.20440524134995874	85	0.012998461182954064	88	0.01614127113839925	75.0	0.522833509341821	0.5518798154163667
Kidney	109	-0.13960895748193994	0.08320261261560699	108	-0.006329132803594193	109	-0.038011810830391325	109	0.1374375243843089	95.0	0.3034801576572913	0.3844081996992356
Nerve_tibial	67	-0.13390995394369035	0.012455211896974622	65	-0.14070727577247621	67	0.04919140216909997	67	-0.14682249274082063	61.0	0.46091258883916386	0.5473336992465071
Thyroid	44	-0.11139295159886131	-0.10241701856212077	43	-0.42477586733256945	43	-0.0861285254670283	44				
Pancreas	64	-0.07133642912663754	0.03729905316374065	58	0.04950579590609633	56	0.06065230721086609	59	0.38250980854701216	46.0	0.06824521225717087	0.12966590328862465
Stomach	51	-0.023147749992431323	-0.0025823303493452848	49	-0.3338381477352551	50	-0.18244349024765516	51	0.09460367227704419	41.0	0.9113878431871412	0.9113878431871413
Cervix	47	0.04465789204638152	0.08466091456996708	43	0.14010138139243458	46	-0.1568479501657458	46				
Small_intestine	126	0.04831961412711606	0.16358721635546045	126	0.19198297836086947	126	0.2793313264463188	126	0.15901118508311207	107.0	0.02128541197838662	0.04493586973214953
Liver	214	0.07324049622553139	0.42322978821777013	207	0.27249507400087297	202	0.1939677714998704	210	0.5223890511138713	173.0	4.128926260285748e-07	1.9612399736357304e-06
Colon	67	0.10045344093558481	0.38683913642831663	67	0.35173566905172005	67	0.3030440737912133	67	0.1375904567314673	61.0	0.2556469219181692	0.3844081996992356
Vagina	64	0.10321883899672923	0.1649269620485659	60	0.3811151904829701	63	0.022474013981491955	63	0.0445243038678319	50.0	0.5103069616303375	0.5518798154163667
Skin	147	0.22985423371917968	0.04534283068441063	143	0.3936711859747255	144	-0.19954001901545657	146	-0.12489200253833944	125.0	0.29232780236082845	0.3844081996992356
Adrenal	43	0.42171419534385013	0.5135702999772059	42	0.7546418975812801	41	0.1170743768692999	43				
Blood	118	0.4934499425366157	0.627904971095772	116	0.7321383225460832	113	0.22034925144048786	118	0.5543906818374303	90.0	0.0003702332602550844	0.0014068863889693207
Spleen	139	0.5323266694905555	0.7316705902261728	136	0.7610941235799928	137	0.40122805190285404	139	0.4521551383499869	110.0	0.004426802586306049	0.011706225900516542
Salivary_gland	50	0.5595714705940701	0.45392595525606183	46	0.6596929170190461	47	0.522741977048332	48				
Testis	1166	0.6160265777871143	0.5733888269070923	1069	0.5427447485223291	1060	0.44993924658931406	1093	0.4805349174316388	872.0	8.815227476699034e-18	8.374466102864082e-17
Lung	79	0.6397753550271315	0.5752413121023411	78	0.6025352500453247	76	0.35391338527252325	79	0.276487850928984	61.0	0.21340033940541925	0.36860058624572417
