organ	n	median_omega	log_degree	log_pathways	n_ortholog_species
Adrenal	43	0.1786519584692067	1.146128035678238	0.6989700043360189	4.0
Blood	118	0.2359555739643261	1.1611096473669598	0.8450980400142568	3.0
Brain	205	0.0689718842110087	0.8450980400142568	0.47712125471966244	4.0
Cerebellum	408	0.07243320201556955	0.8116246451989502	0.0	4.0
Cervix	47	0.1777476753418731	0.6989700043360189	0.6020599913279624	3.0
Colon	67	0.1762686629283797	0.8450980400142568	0.0	4.0
Heart	91	0.1209501642997894	1.1139433523068367	0.47712125471966244	4.0
Kidney	109	0.15718196545825	1.0413926851582251	0.6989700043360189	4.0
Liver	214	0.18466649642438854	1.3010299956639813	0.7781512503836436	4.0
Lung	79	0.2357261924516225	1.0791812460476249	0.7781512503836436	3.0
Nerve_tibial	69	0.1445349675878432	0.8450980400142568	0.6020599913279624	4.0
Pancreas	65	0.1702446304153083	1.1760912590556813	0.7781512503836436	4.0
Pituitary	178	0.10964196734474385	0.9030899869919435	0.47712125471966244	4.0
Salivary_gland	51	0.2544980726614677	0.7781512503836436	0.47712125471966244	3.0
Skeletal_muscle	176	0.09919612695466795	1.0791812460476249	0.47712125471966244	4.0
Skin	148	0.1745204564460813	0.7781512503836436	0.6020599913279624	3.0
Small_intestine	126	0.18958727104040551	1.0	0.6020599913279624	4.0
Spinal_cord	140	0.10214616413418864	0.8450980400142568	0.0	4.0
Spleen	139	0.2378975204084056	1.146128035678238	0.7781512503836436	3.0
Stomach	51	0.1682904626671867	0.9030899869919435	0.6020599913279624	4.0
Testis	1221	0.2115129188447522	0.6020599913279624	0.0	3.0
Thyroid	44	0.14900754024886034	0.9771212547196624	0.6020599913279624	4.0
Vagina	64	0.17797786767741786	0.7781512503836436	0.6020599913279624	3.0
