	n_pathways
ENSG00000121410	7
ENSG00000156006	6
ENSG00000196839	11
ENSG00000170558	13
ENSG00000117020	83
ENSG00000275199	83
ENSG00000133997	20
ENSG00000278570	4
ENSG00000077616	3
ENSG00000285516	3
ENSG00000282757	3
ENSG00000254415	4
ENSG00000101473	14
ENSG00000136754	23
ENSG00000113552	4
ENSG00000175538	4
ENSG00000177485	9
ENSG00000062038	9
ENSG00000136560	13
ENSG00000228474	29
ENSG00000183850	3
ENSG00000205442	3
ENSG00000237440	3
ENSG00000094631	35
ENSG00000215845	5
ENSG00000291922	3
ENSG00000204345	3
ENSG00000229833	4
ENSG00000227124	3
ENSG00000232263	2
ENSG00000285286	3
ENSG00000215356	3
ENSG00000292386	3
ENSG00000274195	3
ENSG00000215372	3
ENSG00000276425	5
ENSG00000275452	5
ENSG00000278152	5
ENSG00000276139	5
ENSG00000275253	5
ENSG00000275737	5
ENSG00000274518	5
ENSG00000274438	5
ENSG00000278300	5
ENSG00000276258	5
ENSG00000284033	5
ENSG00000277885	5
ENSG00000275735	5
ENSG00000212722	2
ENSG00000292052	2
ENSG00000262121	2
ENSG00000292053	2
ENSG00000240871	2
ENSG00000285249	5
ENSG00000233050	5
ENSG00000272398	9
ENSG00000257949	7
ENSG00000243789	4
ENSG00000243708	15
ENSG00000108840	22
ENSG00000170248	16
ENSG00000273604	3
ENSG00000277303	3
ENSG00000153094	29
ENSG00000214736	7
ENSG00000111252	10
ENSG00000179242	6
ENSG00000280641	6
ENSG00000159921	11
ENSG00000138622	3
ENSG00000172410	8
ENSG00000165879	6
ENSG00000175221	20
ENSG00000282092	20
ENSG00000142892	4
ENSG00000214694	8
ENSG00000213999	7
ENSG00000182712	2
ENSG00000231396	4
ENSG00000233136	4
ENSG00000227551	4
ENSG00000279552	3
ENSG00000196350	3
ENSG00000232399	4
ENSG00000249104	4
ENSG00000250844	4
ENSG00000248920	4
ENSG00000250745	4
ENSG00000249811	4
ENSG00000248933	4
