	degree
ARF5	27
M6PR	7
FKBP4	32
CYP26B1	27
NDUFAF7	22
FUCA2	2
HS3ST1	7
SEMA3F	7
CFTR	72
CYP51A1	39
USP28	20
SLC7A2	2
HSPB6	13
PDK4	19
USH1C	27
RALA	55
BAIAP2L1	9
CACNG3	55
TMEM132A	1
DVL2	84
RPAP3	48
SKAP2	10
HOXA11	5
CX3CL1	76
TRAPPC6A	18
WDR54	1
SPATA20	2
TSR3	7
OSBPL7	1
YBX2	4
KRT33A	3
TFAP2D	2
CRY1	40
PGLYRP1	10
STARD3NL	7
CAMK1G	10
CD74	283
CPA1	21
SYPL1	1
RANBP9	18
CD4	325
TSPAN9	2
QPCTL	1
PPP5C	31
UBR7	3
MAP4K5	3
INMT	7
ERCC1	100
GPRC5A	1
HEBP1	2
COX15	48
MS4A12	6
RGPD5	6
XYLT2	8
SCTR	14
SYT13	1
SNAI2	43
SLC7A9	4
RTF2	2
RB1CC1	61
AKAP11	11
PIGQ	23
CDH17	57
B4GALT7	7
CHPF2	5
GABARAPL2	93
MYOC	13
OTC	29
HOXC8	6
MRI1	11
BOD1L1	8
TARBP1	14
RTN4R	16
PSMA4	79
RIPOR3	1
ZPBP	4
LCP2	74
DCN	84
TNFRSF17	17
MRPS10	288
GUCA1A	11
GRN	20
THAP3	2
VAMP3	60
UTS2	7
RCN1	2
RFC2	66
PPP1R3F	10
NEXMIF	2
ARHGEF5	5
NFE2L3	7
TLL1	2
CLDN11	21
FAM168A	1
RELT	4
PKP2	23
YIPF1	6
ADCK2	3
INPP4A	35
SLC2A3	9
STYK1	1
GNA11	86
CREB3L3	37
HDAC7	56
MRPS35	144
APPBP2	20
ISOC2	4
CD22	47
GSC2	4
ZFY	18
KCNQ1	56
TRPM5	16
TRIB2	8
OTUD5	12
GPKOW	60
AQR	83
ST6GALNAC1	29
LMCD1	1
PSMC4	82
ACAP1	4
DERL2	34
NOX3	17
KDM4B	28
ICAM3	11
CTTNBP2	27
ACTL6B	57
KIF22	38
CEACAM1	10
YTHDC2	30
FOXJ2	1
TNFRSF1A	123
GOLGA5	21
CELSR3	5
PPP2R5B	37
PYGM	63
BCL3	19
PIGB	20
PRLH	6
FSTL3	5
EPHA8	12
TRIP13	58
VASH1	4
KRT14	19
KRT20	21
SPP2	4
HSD17B10	40
FGF4	65
