pathway	name	n_enriched	n_broad	omega_enriched	omega_broad	log2_diff	tau_enriched	tau_broad
R-HSA-202040	G-protein activation	3	7	0.2429988573916932	0.0217558149876977	3.481476562785023	0.9698059420103726	0.460760021725809
R-HSA-2172127	DAP12 interactions	3	28	0.4353182850257301	0.040269218803535595	3.4343212297551733	0.8922867075986026	0.29916305547730593
R-HSA-983695	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	4	26	0.3266539645744517	0.04109169025679635	2.9908445693779355	0.8686882082084155	0.3915275720838688
R-HSA-983705	Signaling by the B Cell Receptor (BCR)	5	86	0.3210880910271945	0.0458430488930921	2.8081942553114274	0.8464601294414165	0.21999840550961924
R-HSA-5654706	FRS-mediated FGFR3 signaling	3	17	0.1357364563997289	0.0223444112512605	2.6028223180054644	0.9639550263653988	0.4204290842368988
R-HSA-5654704	SHC-mediated cascade:FGFR3	3	15	0.1357364563997289	0.0223444112512605	2.6028223180054644	0.9639550263653988	0.5991875559036031
R-HSA-373753	Nephrin family interactions	5	18	0.1290844818398301	0.022458620743384852	2.522974339478309	0.9387137874522992	0.25654718581158253
R-HSA-5655332	Signaling by FGFR3 in disease	3	19	0.1357364563997289	0.0255607849307323	2.4088042101183853	0.9639550263653988	0.402442872360911
R-HSA-68616	Assembly of the ORC complex at the origin of replication	4	15	0.13811973403140856	0.0260313051159813	2.407599910991728	0.8860322876904578	0.2868251133867262
R-HSA-9013508	NOTCH3 Intracellular Domain Regulates Transcription	3	21	0.3140543451983253	0.0593661078913875	2.4033027937253912	0.9106565163334134	0.2896646291841366
R-HSA-9918481	Dengue Virus-Host Interactions	12	196	0.19939038527457026	0.0381237430747776	2.386834165426497	0.9328879037927532	0.18077109626456717
R-HSA-9012852	Signaling by NOTCH3	3	43	0.3140543451983253	0.061775623367492	2.3459046616054335	0.9106565163334134	0.2896646291841366
R-HSA-69052	Switching of origins to a post-replicative state	3	69	0.2578713396436743	0.0522316619974674	2.303654922191206	0.7770098249375081	0.1815374675734337
R-HSA-68949	Orc1 removal from chromatin	3	51	0.2578713396436743	0.0522316619974674	2.303654922191206	0.7770098249375081	0.1525746807072923
R-HSA-8963898	Plasma lipoprotein assembly	5	10	0.3829776317754506	0.0775891085131385	2.303334077452169	0.9729545868934084	0.3176745017996536
R-HSA-451927	Interleukin-2 family signaling	3	38	0.3674431425983967	0.07500421069432706	2.292477532449041	0.9899081327911944	0.4714027062832964
R-HSA-5654708	Downstream signaling of activated FGFR3	3	22	0.1357364563997289	0.0286249906811644	2.245461126393859	0.9639550263653988	0.3544808372236729
R-HSA-5621481	C-type lectin receptors (CLRs)	6	104	0.31133235503000956	0.06595774301703045	2.2388415781245925	0.9503789409760584	0.21354580702643328
R-HSA-9920588	Dengue virus activates/modulates innate and adaptive immune responses	4	22	0.39459335408365037	0.08373670508074241	2.2364346014292815	0.8962381445824239	0.2038232956941455
R-HSA-264876	Insulin processing	3	21	0.1527041430304487	0.0328520793825554	2.2166826101799875	0.8426806047922085	0.2685783221163997
R-HSA-111885	Opioid Signalling	8	63	0.17875735193166453	0.0385902823371137	2.211693074083254	0.8606916563581345	0.3977100838545319
R-HSA-977225	Amyloid fiber formation	11	38	0.2568363430195348	0.0562936964645006	2.1898040726228842	0.913196279111463	0.2788826934153845
R-HSA-9839923	Dengue Virus Infection	13	283	0.2214702721559019	0.0487719393185923	2.1829898150317795	0.930646002640262	0.1838825006654432
R-HSA-5654741	Signaling by FGFR3	3	34	0.1357364563997289	0.03138411203326885	2.112701959345792	0.9639550263653988	0.27234954812264534
R-HSA-389960	Formation of tubulin folding intermediates by CCT/TriC	3	15	0.1063782203481732	0.0248915192501205	2.095476613948028	0.7393886402753054	0.2663620029972898
R-HSA-5654738	Signaling by FGFR2	6	60	0.1335411719380699	0.032260996463049946	2.049421700677218	0.9775687108019373	0.25137358196645165
R-HSA-9020702	Interleukin-1 signaling	3	90	0.3022426425568728	0.07306710838614894	2.048413201348782	0.7557633084894809	0.183418335422053
R-HSA-9664433	Leishmania parasite growth and survival	4	54	0.17908251989023216	0.04596778071392265	1.9619296029842133	0.7755625222086958	0.36924565650472485
