pathway	name	n	n_organs	frac_enriched	omega_median	omega_iqr_log2
R-HSA-114608	Platelet degranulation	114	12	0.14912280701754385	0.1424846633858497	1.785952140252792
R-HSA-76002	Platelet activation, signaling and aggregation	228	14	0.10964912280701754	0.09057303289441596	2.3960287186661007
R-HSA-76005	Response to elevated platelet cytosolic Ca2+	119	12	0.15126050420168066	0.1393485762989292	1.8035297578681222
R-HSA-156580	Phase II - Conjugation of compounds	63	11	0.20634920634920634	0.1352767577745325	1.3238707481522032
R-HSA-211859	Biological oxidations	141	14	0.2198581560283688	0.1453638328329297	1.2323843597367032
R-HSA-9748784	Drug ADME	58	7	0.27586206896551724	0.14658076285353583	1.521729022761487
R-HSA-9753281	Paracetamol ADME	14	1	0.21428571428571427	0.16667162262944163	1.5013890753385124
R-HSA-15869	Metabolism of nucleotides	92	6	0.11956521739130435	0.10230062804958365	1.3897061630874705
R-HSA-5668914	Diseases of metabolism	248	21	0.16532258064516128	0.12053072560112585	1.29911408501269
R-HSA-74217	Purine salvage	12	1	0.08333333333333333	0.0945703992142633	1.6682821933921814
R-HSA-8956321	Nucleotide salvage	22	2	0.09090909090909091	0.0975621867695744	1.5452344912673812
R-HSA-9755088	Ribavirin ADME	9	0	0.0	0.0999133760105936	1.5661352347741206
R-HSA-1500931	Cell-Cell communication	281	21	0.09252669039145907	0.0685267908775472	2.4573622770992487
R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	111	15	0.2702702702702703	0.1583677276824892	1.4958191452289806
R-HSA-418990	Adherens junctions interactions	194	11	0.06701030927835051	0.06407313070801546	2.6376154802620477
R-HSA-421270	Cell-cell junction organization	225	15	0.07555555555555556	0.0685267908775472	2.3283641037242595
R-HSA-446728	Cell junction organization	250	20	0.08	0.07107087750079155	2.350285273956628
R-HSA-525793	Myogenesis	29	6	0.20689655172413793	0.055994440027673	2.0638688729951338
R-HSA-8957275	Post-translational protein phosphorylation	100	14	0.27	0.15291270608167826	1.5156046061311514
R-HSA-9730414	MITF-M-regulated melanocyte development	146	5	0.0821917808219178	0.07674375677484835	1.9480086864430048
R-HSA-9856651	MITF-M-dependent gene expression	96	3	0.09375	0.07228801856104211	2.0598865374712045
R-HSA-9926550	Regulation of MITF-M-dependent genes involved in extracellular matrix, focal adhesion and epithelial-to-mesenchymal transition	12	0	0.0	0.0734085750730884	1.5096727117731419
R-HSA-109581	Apoptosis	148	8	0.02702702702702703	0.0772181530923267	2.5578209418486315
R-HSA-109606	Intrinsic Pathway for Apoptosis	46	0	0.0	0.09794679758086419	2.348366369148833
R-HSA-111447	Activation of BAD and translocation to mitochondria	14	0	0.0	0.0880191732087804	3.9365316177195266
R-HSA-114452	Activation of BH3-only proteins	26	0	0.0	0.08399365932232256	2.4294864932444113
R-HSA-1227986	Signaling by ERBB2	49	0	0.0	0.0549013304763371	2.830547468044976
R-HSA-1257604	PIP3 activates AKT signaling	248	15	0.06451612903225806	0.0665738219013602	1.9684144302014968
R-HSA-1358803	Downregulation of ERBB2:ERBB3 signaling	12	0	0.0	0.07266854204548975	3.965720510202249
R-HSA-165159	MTOR signalling	46	1	0.021739130434782608	0.0638469598984151	2.580615426967817
R-HSA-186712	Regulation of beta-cell development	39	11	0.358974358974359	0.0664846541266823	1.5450988257360394
R-HSA-194138	Signaling by VEGF	103	3	0.02912621359223301	0.0470067381913288	2.3861725899358075
R-HSA-198323	AKT phosphorylates targets in the cytosol	14	0	0.0	0.0915247603917916	1.546932517368989
R-HSA-198693	AKT phosphorylates targets in the nucleus	9	0	0.0	0.0644582055969388	0.5131442352727351
R-HSA-199418	Negative regulation of the PI3K/AKT network	115	14	0.11304347826086956	0.0836210055326789	1.9231522767238243
R-HSA-210745	Regulation of gene expression in beta cells	19	11	0.5263157894736842	0.0644582055969388	1.5067434806933262
R-HSA-2219528	PI3K/AKT Signaling in Cancer	109	13	0.10091743119266056	0.0801753732095199	1.7498761696950007
R-HSA-388841	Regulation of T cell activation by CD28 family	188	6	0.031914893617021274	0.0513993992655338	2.5087420691313733
R-HSA-389356	Co-stimulation by CD28	45	2	0.022222222222222223	0.0481621799323752	2.2891206487617826
R-HSA-389357	CD28 dependent PI3K/Akt signaling	27	2	0.037037037037037035	0.0656084204167807	2.5362851221504012
R-HSA-389513	Co-inhibition by CTLA4	19	2	0.05263157894736842	0.0418844115200969	3.1705162096509723
R-HSA-392451	G beta:gamma signalling through PI3Kgamma	12	0	0.0	0.051152560040469496	3.967694897356404
R-HSA-397795	G-protein beta:gamma signalling	19	0	0.0	0.0733601727889178	2.834667431055716
R-HSA-4420097	VEGFA-VEGFR2 Pathway	94	3	0.031914893617021274	0.04294864109078595	2.1901564345819633
R-HSA-453279	Mitotic G1 phase and G1/S transition	128	2	0.078125	0.07747272157365576	1.7672762201623073
