organ	n_genes	Dn	Ds	Pn	Ps	DnDs	PnPs	alpha	NI	DoS	fisher_p	alpha_lo	alpha_hi	n_gene_dos	median_DoS_gene	median_DoS_rest	dos_p	dos_q
Pancreas	74	4237.166666666667	2832.833333333333	17201.0	7692.0	1.4957345413896572	2.236219448777951	-0.49506438936706254	1.4950643893670625	-0.09168110896058979	1.96757043310532e-46	-1.2083363355540098	-0.17779804571123667	67	-0.14239055084519803	-0.24520940906483074	0.0002585380483071622	0.0007432968888830913
Stomach	52	3756.9999999999995	2577.0000000000005	14078.0	6289.0	1.4578967792006206	2.2385116870726667	-0.5354390784099718	1.5354390784099718	-0.09806809336642319	1.8901904055561536e-46	-1.8020962460034426	-0.1792840570025427	46	-0.2113663960074258	-0.24424572449766466	0.12172871201155999	0.23331336468882333
Colon	68	4236.833333333333	3188.166666666667	22843.0	10585.0	1.328924669350201	2.158053849787435	-0.6239098419646691	1.6239098419646691	-0.11273200407140016	5.783746039376538e-75	-1.2157508787097933	-0.24605129645480123	62	-0.19923666021066616	-0.24452324432825998	0.029345995465753383	0.06749578957123278
Salivary_gland	60	2727.1666666666665	2170.8333333333335	15979.0	7464.0	1.2562763915547024	2.1408092175777065	-0.7040909404723845	1.7040909404723845	-0.12481882750675166	2.9902758846854174e-61	-1.1649406676659446	-0.5108094615893946	51	-0.14942907334211686	-0.24455309658603536	0.00024373240070314442	0.0007432968888830913
Blood	145	4955.333333333333	3993.666666666666	29794.0	13658.0	1.240797930055922	2.181432127690731	-0.7580881421944465	1.7580881421944465	-0.1319457502113376	1.041763418044267e-123	-0.9364770826253718	-0.5971964857987552	129	-0.15255107208081364	-0.2456689342403628	5.558175518004053e-09	6.391901845704661e-08
Small_intestine	141	6325.5	4956.5	39874.0	17425.0	1.2762029658024816	2.28832137733142	-0.7930700982915477	1.7930700982915477	-0.1352216043999428	4.2442397278387587e-166	-1.1418291079573986	-0.48255148483517085	128	-0.1888124017057977	-0.24525761462530019	0.00013929946801052772	0.0005339812940403563
Lung	92	3276.1666666666665	2702.833333333333	22794.0	9979.0	1.2121230807177654	2.284196813307947	-0.8844594659111242	1.8844594659111242	-0.1475659618076165	1.9203410248974522e-106	-1.126948976747983	-0.6678120866683566	84	-0.16892235340038858	-0.24522696364564772	9.371255186900383e-06	4.3107773859741755e-05
Spleen	159	5940.166666666666	5083.833333333332	38938.0	17415.0	1.1684424482837756	2.2358886017800748	-0.9135633124799418	1.9135633124799418	-0.1521263741252259	1.1504065581629975e-202	-1.143255254408988	-0.7051788165850631	147	-0.1575870937573065	-0.2457264957264958	4.1591370074664504e-07	3.1886717057242786e-06
Liver	228	9292.166666666666	8097.833333333333	63663.0	27462.0	1.1474880111964105	2.3182215424950843	-1.020257745506227	2.020257745506227	-0.16429408604822315	0.0	-1.1833923120919498	-0.8667508488927603	220	-0.17985841312548295	-0.24633750638732754	6.29263580153985e-07	3.6182655858854134e-06
Testis	1231	46870.33333333333	40061.666666666664	339484.0	143495.0	1.169954653242917	2.3658245931914004	-1.0221506762110253	2.0221506762110253	-0.16373510842508454	0.0	-1.1139484558216097	-0.9411653091753561	1132	-0.17442791337205338	-0.2523096113445378	4.830165631909726e-35	1.1109380953392371e-33
Cervix	51	1623.0	1459.0	12043.0	5025.0	1.1124057573680604	2.3966169154228854	-1.1544449042526126	2.1544449042526126	-0.17898330714246502	2.5861252099762236e-81	-1.6910256720230765	-0.7943834425265466	45	-0.20708722741433017	-0.24443929564411493	0.2225420318981095	0.36560476668975134
