pathway	name	n_cat	n_acc	omega_catalytic	omega_accessory	log2_acc_over_cat	tau_catalytic	tau_accessory
R-HSA-9670095	Inhibition of DNA recombination at telomere	3	24	0.0016848496779983	0.06547465149701126	5.280244690284711	0.211961575702658	0.27712849129777295
R-HSA-1839126	FGFR2 mutant receptor activation	3	27	0.0016848496779983	0.063154353887698	5.228190412188492	0.211961575702658	0.5667590454662452
R-HSA-8851708	Signaling by FGFR2 IIIa TM	3	13	0.0016848496779983	0.0554966382240364	5.041708595857763	0.211961575702658	0.183219441238661
R-HSA-9913351	Formation of the dystrophin-glycoprotein complex (DGC)	5	29	0.003564219772383	0.1002029872152074	4.813195410823757	0.5821266028622057	0.4432840988099376
R-HSA-167242	Abortive elongation of HIV-1 transcript in the absence of Tat	3	16	0.0016848496779983	0.03684309074058245	4.45070230790777	0.211961575702658	0.1900268050267088
R-HSA-3000171	Non-integrin membrane-ECM interactions	9	68	0.0054246675012894	0.10304757697066405	4.247632060013242	0.3650155243224525	0.4240105237029609
R-HSA-180292	GAB1 signalosome	5	12	0.0100796391944022	0.1431470215683265	3.8279817498775452	0.2659327405943415	0.508799771849398
R-HSA-5621480	Dectin-2 family	4	15	0.031376488353537096	0.4185495337919424	3.737642570021192	0.5306504628268185	0.9209557154746923
R-HSA-389359	CD28 dependent Vav1 pathway	6	5	0.022726888579990702	0.2934089483512609	3.690440779904963	0.30104884142192734	0.6813049169356507
R-HSA-72165	mRNA Splicing - Minor Pathway	5	36	0.00449072963394	0.053679957712138904	3.579361763166644	0.1211029406153022	0.1599533219034708
R-HSA-390522	Striated Muscle Contraction	3	32	0.0054246675012894	0.0617611350077896	3.5090926487448844	0.8472198599915197	0.8301201585147602
R-HSA-112411	MAPK1 (ERK2) activation	6	3	0.04406373515027455	0.4041815275009028	3.1973396887984755	0.1840361668762142	0.3928897816730215
R-HSA-110056	MAPK3 (ERK1) activation	7	3	0.0446524127153975	0.4041815275009028	3.178193350971471	0.2094333725383967	0.3928897816730215
R-HSA-8934593	Regulation of RUNX1 Expression and Activity	7	9	0.0128739878147931	0.1159955488457842	3.1715385316038147	0.2591147727290939	0.2638835146834575
R-HSA-9768759	Regulation of NPAS4 gene expression	3	9	0.0128739878147931	0.1159955488457842	3.1715385316038147	0.2591147727290939	0.2527734676115515
R-HSA-9909620	Regulation of PD-L1(CD274) translation	3	5	0.0128739878147931	0.1159955488457842	3.1715385316038147	0.2591147727290939	0.2527734676115515
R-HSA-9732724	IFNG signaling activates MAPKs	5	3	0.0473004951808453	0.4221842961049245	3.157945723991959	0.1586389612140317	0.2574957955246048
R-HSA-9764562	Regulation of CDH1 mRNA translation by microRNAs	3	7	0.0128739878147931	0.1143930610143382	3.1514686285526454	0.2591147727290939	0.3648374923520982
R-HSA-5578749	Transcriptional regulation by small RNAs	4	19	0.0053781487568326505	0.0446588580430563	3.053764795873293	0.1783888290993253	0.310479013889881
R-HSA-76046	RNA Polymerase III Transcription Initiation	3	28	0.0141930537961316	0.1154932525663704	3.0245516278153555	0.2995674411469101	0.23225420892225612
R-HSA-202430	Translocation of ZAP-70 to Immunological synapse	3	5	0.05370450997174	0.4261414519835276	2.9882172409991927	0.6844203031831653	0.6955833795964375
R-HSA-203927	MicroRNA (miRNA) biogenesis	7	12	0.0128739878147931	0.10180559573387205	2.98328594760909	0.211961575702658	0.22184529547070797
R-HSA-2029481	FCGR activation	7	3	0.0418844115200969	0.3232869377758568	2.9483299086015293	0.5173146854506132	0.7961649460341416
R-HSA-749476	RNA Polymerase III Abortive And Retractive Initiation	3	33	0.0141930537961316	0.1088605772212565	2.939224650854258	0.2995674411469101	0.2461829601593107
R-HSA-74158	RNA Polymerase III Transcription	3	33	0.0141930537961316	0.1088605772212565	2.939224650854258	0.2995674411469101	0.2461829601593107
R-HSA-76061	RNA Polymerase III Transcription Initiation From Type 1 Promoter	3	21	0.0141930537961316	0.106387814609017	2.9060759775898695	0.2995674411469101	0.193886867290521
R-HSA-2172127	DAP12 interactions	11	20	0.0223444112512605	0.16615728073553554	2.894563573868037	0.2616480821674737	0.5988247454010942
R-HSA-167287	HIV elongation arrest and recovery	4	24	0.00763732583064835	0.0561754857755695	2.8788012153815354	0.1972965190734539	0.19835641709422056
R-HSA-167243	Tat-mediated HIV elongation arrest and recovery	4	22	0.00763732583064835	0.0561754857755695	2.8788012153815354	0.1972965190734539	0.19835641709422056
R-HSA-167238	Pausing and recovery of Tat-mediated HIV elongation	4	22	0.00763732583064835	0.0561754857755695	2.8788012153815354	0.1972965190734539	0.19835641709422056
R-HSA-167290	Pausing and recovery of HIV elongation	4	24	0.00763732583064835	0.0561754857755695	2.8788012153815354	0.1972965190734539	0.19835641709422056
R-HSA-179812	GRB2 events in EGFR signaling	4	9	0.019646802762214352	0.1441699132212498	2.875403661772591	0.2600447449383773	0.6152522653320223
R-HSA-180336	SHC1 events in EGFR signaling	4	10	0.019646802762214352	0.1431470215683265	2.86513119418604	0.2600447449383773	0.5665671263004926
R-HSA-76066	RNA Polymerase III Transcription Initiation From Type 2 Promoter	3	20	0.0141930537961316	0.09889002531253896	2.8006399738103234	0.2995674411469101	0.19598547293064214
R-HSA-9768778	Regulation of NPAS4 mRNA translation	3	5	0.0128739878147931	0.0852217927046331	2.726763391560162	0.2591147727290939	0.2527734676115515
R-HSA-9759811	Regulation of CDH11 mRNA translation by microRNAs	3	5	0.0128739878147931	0.0852217927046331	2.726763391560162	0.2591147727290939	0.2527734676115515
R-HSA-4839744	Signaling by APC mutants	3	9	0.0114470892778539	0.0756319256728616	2.724014550035385	0.1604658109498184	0.1875053521648738
R-HSA-4839748	Signaling by AMER1 mutants	3	9	0.0114470892778539	0.0756319256728616	2.724014550035385	0.1604658109498184	0.1875053521648738
R-HSA-4839735	Signaling by AXIN mutants	3	9	0.0114470892778539	0.0756319256728616	2.724014550035385	0.1604658109498184	0.1875053521648738
R-HSA-5467337	APC truncation mutants have impaired AXIN binding	3	9	0.0114470892778539	0.0756319256728616	2.724014550035385	0.1604658109498184	0.1875053521648738
R-HSA-5467348	Truncations of AMER1 destabilize the destruction complex	3	9	0.0114470892778539	0.0756319256728616	2.724014550035385	0.1604658109498184	0.1875053521648738
R-HSA-5467340	AXIN missense mutants destabilize the destruction complex	3	9	0.0114470892778539	0.0756319256728616	2.724014550035385	0.1604658109498184	0.1875053521648738
R-HSA-196299	Beta-catenin phosphorylation cascade	3	11	0.0114470892778539	0.0756319256728616	2.724014550035385	0.1604658109498184	0.1875053521648738
R-HSA-5358752	CTNNB1 T41 mutants aren't phosphorylated	3	10	0.0114470892778539	0.0754000454502731	2.7195845911654786	0.1604658109498184	0.17223479215479276
R-HSA-5358747	CTNNB1 S33 mutants aren't phosphorylated	3	10	0.0114470892778539	0.0754000454502731	2.7195845911654786	0.1604658109498184	0.17223479215479276
R-HSA-5358749	CTNNB1 S37 mutants aren't phosphorylated	3	10	0.0114470892778539	0.0754000454502731	2.7195845911654786	0.1604658109498184	0.17223479215479276
R-HSA-5358751	CTNNB1 S45 mutants aren't phosphorylated	3	10	0.0114470892778539	0.0754000454502731	2.7195845911654786	0.1604658109498184	0.17223479215479276
R-HSA-5339716	Signaling by GSK3beta mutants	3	10	0.0114470892778539	0.0754000454502731	2.7195845911654786	0.1604658109498184	0.17223479215479276
R-HSA-4839743	Signaling by CTNNB1 phospho-site mutants	3	10	0.0114470892778539	0.0754000454502731	2.7195845911654786	0.1604658109498184	0.17223479215479276
R-HSA-75892	Platelet Adhesion to exposed collagen	3	12	0.0244868659261893	0.15829594845483025	2.6925442902279295	0.4760293993607861	0.5300619815521832
R-HSA-9975924	Assembly of the 9+2 motile cilia	3	22	0.0128739878147931	0.0831465558670061	2.691197496352813	0.2591147727290939	0.507357103200608
R-HSA-9945556	Transcriptional regulation of multiciliogenesis	3	22	0.0128739878147931	0.0831465558670061	2.691197496352813	0.2591147727290939	0.507357103200608
R-HSA-391160	Signal regulatory protein family interactions	5	6	0.0270424071425709	0.16965117360239124	2.6492759283121914	0.2659327405943415	0.41110662866238507
R-HSA-112409	RAF-independent MAPK1/3 activation	19	4	0.0446709006267692	0.2686549220124272	2.588347023063245	0.2901879806005659	0.3719695461181338
R-HSA-5635838	Activation of SMO	6	11	0.02129038597919665	0.1263547423048486	2.569205801906466	0.6699942560748416	0.4636914792878263
R-HSA-193648	NRAGE signals death through JNK	3	52	0.0193639022215725	0.11081641340318935	2.5167299602538376	0.3013064372215771	0.4073642934620931
R-HSA-5654695	PI-3K cascade:FGFR2	3	20	0.0091681509695484	0.05216991958452015	2.5085155036904228	0.2546714598270054	0.76165336662472
R-HSA-9020558	Interleukin-2 signaling	5	7	0.0422723268261863	0.2384982510195312	2.4961932555754514	0.5173146854506132	0.6725653411953674
R-HSA-5620924	Intraflagellar transport	3	38	0.0134790089421911	0.07589063712855329	2.4932074818998857	0.3544440671202717	0.35328336064094357
R-HSA-202733	Cell surface interactions at the vascular wall	19	82	0.0268356713712597	0.14801117829549199	2.463482250259295	0.2659327405943415	0.45227004902866375
R-HSA-9662834	CD163 mediating an anti-inflammatory response	4	5	0.04000747864320545	0.2164326677325083	2.4355766569576653	0.28499677080853036	0.4575630748487405
