pathway	name	n	rho	p
R-HSA-114608	Platelet degranulation	109	-0.19015446813101014	0.04764821236148597
R-HSA-76002	Platelet activation, signaling and aggregation	223	-0.20132207083575931	0.002523818864039766
R-HSA-76005	Response to elevated platelet cytosolic Ca2+	114	-0.14996217265382653	0.11126531278666003
R-HSA-156580	Phase II - Conjugation of compounds	55	-0.24906537950987634	0.06669748580091299
R-HSA-211859	Biological oxidations	130	-0.1868918901589024	0.03324502228359438
R-HSA-9748784	Drug ADME	52	-0.18756683473956362	0.18301238102469294
R-HSA-15869	Metabolism of nucleotides	92	-0.24275676373460614	0.019721863924970533
R-HSA-5668914	Diseases of metabolism	238	0.008787066221734986	0.8927311402764054
R-HSA-8956321	Nucleotide salvage	22	0.06515618384376651	0.7732881303448537
R-HSA-1500931	Cell-Cell communication	272	-0.13874940890777507	0.022087647319235477
R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	105	-0.13765457151305935	0.16141431000745626
R-HSA-418990	Adherens junctions interactions	188	-0.2202937035092629	0.002383295678209789
R-HSA-421270	Cell-cell junction organization	218	-0.19094915681102556	0.0046664398319010815
R-HSA-446728	Cell junction organization	241	-0.17837875006890103	0.005484749783068756
R-HSA-525793	Myogenesis	29	-0.2542542006825822	0.18319916849390175
R-HSA-8957275	Post-translational protein phosphorylation	95	-0.13124181535203494	0.20488930088093632
R-HSA-9730414	MITF-M-regulated melanocyte development	146	-0.13207613507576543	0.11203006723395664
R-HSA-9856651	MITF-M-dependent gene expression	96	-0.2673898470299996	0.008446140494499559
R-HSA-109581	Apoptosis	144	-0.1827271461582247	0.02837188143182675
R-HSA-109606	Intrinsic Pathway for Apoptosis	46	-0.08281107740379484	0.584285091913558
R-HSA-114452	Activation of BH3-only proteins	26	0.07735757733431854	0.7072053117191809
R-HSA-1227986	Signaling by ERBB2	48	-0.10946331818519993	0.4589219437327457
R-HSA-1257604	PIP3 activates AKT signaling	246	-0.16696329459880357	0.008694911724068036
R-HSA-165159	MTOR signalling	46	0.07666669953134257	0.6125652310998756
R-HSA-186712	Regulation of beta-cell development	39	-0.08784199037436671	0.5948958756896862
R-HSA-194138	Signaling by VEGF	102	-0.18290705667376875	0.06575951868701148
R-HSA-199418	Negative regulation of the PI3K/AKT network	114	-0.15143241052310302	0.10776366930972331
R-HSA-210745	Regulation of gene expression in beta cells	19	0.28609041806347474	0.23507012698574398
R-HSA-2219528	PI3K/AKT Signaling in Cancer	108	-0.11667993085107448	0.2291403621012052
R-HSA-388841	Regulation of T cell activation by CD28 family	183	-0.18775911417755367	0.010920528548750877
R-HSA-389356	Co-stimulation by CD28	45	-0.27942253291677693	0.06304208831472244
R-HSA-389357	CD28 dependent PI3K/Akt signaling	27	-0.26411719052664095	0.18311117090312243
R-HSA-389513	Co-inhibition by CTLA4	19	-0.3047872649743675	0.20451442712468224
R-HSA-397795	G-protein beta:gamma signalling	19	-0.09841842967266852	0.6885324339844974
R-HSA-4420097	VEGFA-VEGFR2 Pathway	93	-0.14824632781460426	0.15614710758321848
R-HSA-453279	Mitotic G1 phase and G1/S transition	128	-0.18753796991756969	0.03402446082541085
R-HSA-5218920	VEGFR2 mediated vascular permeability	28	0.014258320752770056	0.9425926948255728
R-HSA-5357801	Programmed Cell Death	168	-0.16752899763669182	0.029963234225078964
R-HSA-5628897	TP53 Regulates Metabolic Genes	59	0.19101267516693854	0.1472859175802595
R-HSA-5633007	Regulation of TP53 Activity	148	0.021161653814966496	0.7985003765019312
R-HSA-5674400	Constitutive Signaling by AKT1 E17K in Cancer	25	-0.11280082221691304	0.5913728232417421
R-HSA-6804757	Regulation of TP53 Degradation	32	-0.07959653175860826	0.6649857414820219
R-HSA-6804758	Regulation of TP53 Activity through Acetylation	28	-0.06417125872629746	0.7456234366093767
R-HSA-6806003	Regulation of TP53 Expression and Degradation	33	-0.08613483526975706	0.6336359566718287
R-HSA-6807070	PTEN Regulation	116	-0.14602165310645643	0.1178022238553047
R-HSA-69202	Cyclin E associated events during G1/S transition	68	-0.08745670557805117	0.47821503849512415
R-HSA-69206	G1/S Transition	111	-0.1375512410584352	0.1499692701614596
R-HSA-69242	S Phase	141	-0.14243166209765312	0.092021709753955
R-HSA-69656	Cyclin A:Cdk2-associated events at S phase entry	70	-0.06631405985175869	0.585454906472462
R-HSA-8863795	Downregulation of ERBB2 signaling	28	0.1528768041294652	0.4373663530397681
R-HSA-8876198	RAB GEFs exchange GTP for GDP on RABs	84	-0.11363053841560646	0.3033978239070001
R-HSA-8878166	Transcriptional regulation by RUNX2	98	-0.08379273957607059	0.41204126684029735
R-HSA-8939211	ESR-mediated signaling	147	-0.21974389495274738	0.007489038339973318
R-HSA-8948751	Regulation of PTEN stability and activity	50	0.008176034996736626	0.9550614452441423
R-HSA-9006925	Intracellular signaling by second messengers	284	-0.11108816506822161	0.06153589303410757
R-HSA-9006931	Signaling by Nuclear Receptors	208	-0.24855441183736385	0.0002945154963554579
R-HSA-9007101	Rab regulation of trafficking	112	0.005697495823166899	0.9524577538723589
R-HSA-9009391	Extra-nuclear estrogen signaling	62	-0.1664504228806461	0.19601082684145674
R-HSA-9607240	FLT3 Signaling	35	-0.04232063445132585	0.809254860429712
R-HSA-9614085	FOXO-mediated transcription	59	-0.18691135533279202	0.15633626897836972
R-HSA-9634638	Estrogen-dependent nuclear events downstream of ESR-membrane signaling	24	-0.057018532124114764	0.7912899722386658
R-HSA-9694516	SARS-CoV-2 Infection	237	-0.10649763762613566	0.10194501876100377
R-HSA-9705683	SARS-CoV-2-host interactions	147	-0.11091930145542313	0.18106749551542428
R-HSA-9711123	Cellular response to chemical stress	153	-0.04591632652994621	0.5730309499433525
R-HSA-9755511	KEAP1-NFE2L2 pathway	100	-0.1129339570511345	0.2632577749136921
R-HSA-9856649	Transcriptional and post-translational regulation of MITF-M expression and activity	60	0.08362537378964537	0.5252671596897592
R-HSA-1989781	PPARA activates gene expression	111	-0.17788272878487466	0.06178698070683136
R-HSA-212165	Epigenetic regulation of gene expression	214	-0.23708146744984812	0.00046894980805199383
R-HSA-381340	Transcriptional regulation of white adipocyte differentiation	79	-0.1664941513808232	0.14251153289589585
R-HSA-400206	Regulation of lipid metabolism by PPARalpha	113	-0.1807418254498257	0.05539580252605045
