name	n	median_omega	frac_pm	frac_nuc	frac_cat	retention
Death Receptor Signaling	142	0.09890759395154594	0.07042253521126761	0.2605633802816901	0.34507042253521125	482.0
p75NTR signals via NF-kB	15	0.0969010647845039	0.06666666666666667	0.5333333333333333	0.3333333333333333	478.0
p130Cas linkage to MAPK signaling for integrins	13	0.0927515329939398	0.15384615384615385	0.07692307692307693	0.23076923076923078	484.0
GRB2:SOS provides linkage to MAPK signaling for Inte	13	0.0927515329939398	0.15384615384615385	0.07692307692307693	0.23076923076923078	484.0
NF-kB is activated and signals survival	12	0.08480204871059865	0.08333333333333333	0.5833333333333334	0.25	477.5
mTORC1-mediated signalling	19	0.0841097350970869	0.0	0.15789473684210525	0.3684210526315789	486.0
Negative regulation of the PI3K/AKT network	115	0.0836210055326789	0.12173913043478261	0.1826086956521739	0.4	482.0
PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	109	0.0830222851707655	0.12844036697247707	0.1559633027522936	0.3761467889908257	482.5
Signaling by Hippo	20	0.08275308299208514	0.0	0.6	0.25	480.5
PI3K events in ERBB2 signaling	16	0.0814209387189852	0.125	0.0	0.3125	483.0
TGFBR3 expression	23	0.0788345603793088	0.0	0.6956521739130435	0.21739130434782608	479.0
RAF-independent MAPK1/3 activation	23	0.0767090159858561	0.0	0.5217391304347826	0.8260869565217391	483.0
MAPK1/MAPK3 signaling	257	0.0756208102169803	0.0703125	0.20703125	0.31906614785992216	484.0
NOTCH3 Intracellular Domain Regulates Transcription	24	0.0718025300136863	0.16666666666666666	0.7916666666666666	0.16666666666666666	474.0
PI3K Cascade	44	0.07167193860385099	0.045454545454545456	0.11363636363636363	0.3409090909090909	481.0
MAPK family signaling cascades	292	0.07158025525373354	0.061855670103092786	0.2542955326460481	0.3356164383561644	483.0
Signaling by NOTCH3	46	0.06958255612513001	0.21739130434782608	0.45652173913043476	0.2826086956521739	477.5
Signaling by TGFB family members	148	0.06483635392200579	0.12837837837837837	0.42567567567567566	0.30405405405405406	480.5
Signaling by TGF-beta Receptor Complex	88	0.06483635392200579	0.10227272727272728	0.5	0.3181818181818182	482.5
Signaling by NOTCH2	30	0.0645000086056329	0.23333333333333334	0.3333333333333333	0.26666666666666666	478.5
MTOR signalling	46	0.0638469598984151	0.0	0.1956521739130435	0.391304347826087	485.0
Signaling by Hedgehog	123	0.0631402336941158	0.13114754098360656	0.30327868852459017	0.2845528455284553	485.0
NOTCH3 Activation and Transmission of Signal to the 	23	0.061775623367492	0.30434782608695654	0.08695652173913043	0.391304347826087	479.0
Signaling by NOTCH	165	0.0593661078913875	0.08074534161490683	0.5279503105590062	0.3393939393939394	482.0
Hedgehog 'off' state	89	0.0589587265227241	0.12359550561797752	0.34831460674157305	0.24719101123595505	486.0
TGF-beta receptor signaling activates SMADs	41	0.058686612216552	0.1951219512195122	0.21951219512195122	0.3170731707317073	484.0
Pre-NOTCH Processing in Golgi	17	0.0579240550819909	0.17647058823529413	0.0	0.7058823529411765	481.0
Signaling by NOTCH1	71	0.0576448999030344	0.1267605633802817	0.6056338028169014	0.4084507042253521	481.0
Signaling by TGFBR3	43	0.0576448999030344	0.11627906976744186	0.4186046511627907	0.27906976744186046	480.0
Pre-NOTCH Expression and Processing	58	0.0573099882433872	0.05555555555555555	0.48148148148148145	0.41379310344827586	481.0
