pathway	name	cls	n	median_omega	frac_catalytic	frac_interface	frac_nuclear	median_tau	median_retention
R-HSA-114608	Platelet degranulation	other	114	0.1424846633858497	0.13157894736842105	0.6052631578947368	0.05263157894736842	0.35735439755729026	483.0
R-HSA-76002	Platelet activation, signaling and aggregation	other	228	0.09057303289441596	0.2894736842105263	0.40789473684210525	0.10526315789473684	0.3705203782739932	482.0
R-HSA-76005	Response to elevated platelet cytosolic Ca2+	other	119	0.1393485762989292	0.15126050420168066	0.5882352941176471	0.058823529411764705	0.3602647279943088	483.0
R-HSA-156580	Phase II - Conjugation of compounds	metabolic	63	0.1352767577745325	0.8888888888888888	0.015873015873015872	0.031746031746031744	0.3400500355999771	482.0
R-HSA-211859	Biological oxidations	metabolic	141	0.1453638328329297	0.8581560283687943	0.03546099290780142	0.07801418439716312	0.4723854232598984	480.0
R-HSA-9748784	Drug ADME	other	58	0.14658076285353583	0.7068965517241379	0.41379310344827586	0.08620689655172414	0.5455816924941008	483.5
R-HSA-9753281	Paracetamol ADME	other	14	0.16667162262944163	1.0	0.42857142857142855	0.0	0.5455816924941008	487.0
R-HSA-15869	Metabolism of nucleotides	metabolic	92	0.10230062804958365	0.9782608695652174	0.07608695652173914	0.18478260869565216	0.3021550032733903	484.0
R-HSA-5668914	Diseases of metabolism	other	248	0.12053072560112585	0.6411290322580645	0.3709677419354839	0.016129032258064516	0.3902515402508754	481.0
R-HSA-74217	Purine salvage	metabolic	12	0.0945703992142633	0.9166666666666666	0.0	0.16666666666666666	0.34902175969992066	483.5
R-HSA-8956321	Nucleotide salvage	metabolic	22	0.0975621867695744	0.9545454545454546	0.0	0.13636363636363635	0.35971804365804855	480.0
R-HSA-9755088	Ribavirin ADME	other	9	0.0999133760105936	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.2697932469081405	491.0
R-HSA-1500931	Cell-Cell communication	other	281	0.0685267908775472	0.22419928825622776	0.2597864768683274	0.39501779359430605	0.310479013889881	481.0
R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	protein_metabolism	111	0.1583677276824892	0.18018018018018017	0.8378378378378378	0.009009009009009009	0.4619163865826347	478.0
R-HSA-418990	Adherens junctions interactions	other	194	0.06407313070801546	0.27835051546391754	0.17525773195876287	0.5	0.2504891270575313	481.0
R-HSA-421270	Cell-cell junction organization	other	225	0.0685267908775472	0.24444444444444444	0.2577777777777778	0.4311111111111111	0.3013135904942459	480.5
R-HSA-446728	Cell junction organization	other	250	0.07107087750079155	0.224	0.264	0.404	0.3107178912533295	480.0
R-HSA-525793	Myogenesis	other	29	0.055994440027673	0.20689655172413793	0.2413793103448276	0.5862068965517241	0.368181178161604	483.0
R-HSA-8957275	Post-translational protein phosphorylation	protein_metabolism	100	0.15291270608167826	0.14	0.82	0.01	0.4218782030434096	478.0
R-HSA-9730414	MITF-M-regulated melanocyte development	other	146	0.07674375677484835	0.3356164383561644	0.17123287671232876	0.4794520547945205	0.28595551284496745	482.0
R-HSA-9856651	MITF-M-dependent gene expression	other	96	0.07228801856104211	0.3229166666666667	0.10416666666666667	0.4895833333333333	0.28595551284496745	482.0
R-HSA-9926550	Regulation of MITF-M-dependent genes involved in extracellular matrix, focal adhesion and epithelial-to-mesenchymal transition	other	12	0.0734085750730884	0.25	0.4166666666666667	0.16666666666666666	0.5264518997770423	477.5
R-HSA-109581	Apoptosis	other	148	0.0772181530923267	0.25	0.13513513513513514	0.4189189189189189	0.23212984948872012	483.0
R-HSA-109606	Intrinsic Pathway for Apoptosis	other	46	0.09794679758086419	0.30434782608695654	0.08695652173913043	0.32608695652173914	0.26429783365420956	482.0
R-HSA-111447	Activation of BAD and translocation to mitochondria	other	14	0.0880191732087804	0.2857142857142857	0.07142857142857142	0.14285714285714285	0.21875148035612405	482.0
R-HSA-114452	Activation of BH3-only proteins	other	26	0.08399365932232256	0.19230769230769232	0.038461538461538464	0.34615384615384615	0.28747383174871155	482.5
R-HSA-1227986	Signaling by ERBB2	signalling	49	0.0549013304763371	0.5510204081632653	0.22448979591836735	0.1836734693877551	0.2603020017663881	482.0
R-HSA-1257604	PIP3 activates AKT signaling	signalling	248	0.0665738219013602	0.375	0.23387096774193547	0.4153225806451613	0.26104168171050746	483.0
R-HSA-1358803	Downregulation of ERBB2:ERBB3 signaling	signalling	12	0.07266854204548975	0.5833333333333334	0.3333333333333333	0.16666666666666666	0.21767135387402514	485.0
R-HSA-165159	MTOR signalling	signalling	46	0.0638469598984151	0.391304347826087	0.0	0.1956521739130435	0.21730913806985142	485.0
R-HSA-186712	Regulation of beta-cell development	other	39	0.0664846541266823	0.23076923076923078	0.07692307692307693	0.8205128205128205	0.8350774300805076	467.0
R-HSA-194138	Signaling by VEGF	signalling	103	0.0470067381913288	0.4368932038834951	0.17475728155339806	0.2524271844660194	0.289651016991511	482.0
R-HSA-198323	AKT phosphorylates targets in the cytosol	signalling	14	0.0915247603917916	0.6428571428571429	0.0	0.35714285714285715	0.2076472373147463	482.0
