	p5	median	p95	P(top)
OX	0.5377224131614892	0.7266281146224859	0.8382726143218108	0.9933333333333333
CS	0.08232090754689668	0.14277294088596254	0.22487647569696134	0.0
CI	0.03298916460451728	0.08694186843473815	0.2435807237171062	0.006666666666666667
IDH3	0.005820074565301915	0.014854225585683166	0.04155111695933065	0.0
OGDH	0.004301607305986818	0.012378665690550053	0.03161420436951041	0.0
SDH	0.0005214198177192642	0.0012372244086883216	0.0028124895323071424	0.0
ACO2	0.00038470830048749425	0.0008803364131568028	0.0019850923109877624	0.0
MDH2	0.00034891857887448376	0.000789694338755804	0.0016133517025900513	0.0
FH	0.00017808021086792295	0.00037458092429323966	0.0010162924385697407	0.0
SUCL	4.563899887909307e-05	9.694912831420739e-05	0.00022440484218543805	0.0
