enzyme	gene	frac	C	J_rel
CS	CS	1.0	0.14813504556617157	1.0
CS	CS	0.7	0.18114558601758265	0.943008964707414
CS	CS	0.5	0.21311221172059888	0.8825005934586346
CS	CS	0.3	0.26155000285095614	0.7817151246107726
CS	CS	0.2	0.298980492585931	0.6977167735339266
CS	CS	0.1	0.359767958698892	0.5551652185082172
CS	CS	0.05	0.4166508908452413	0.4241088914213042
CS	CS	0.03	0.4570085774276244	0.3392771981939254
CS	CS	0.02	0.4888921429718982	0.28007631456967946
CS	CS	0.01	0.5451036517252125	0.19576318632887874
CS	CS	0.005	0.6063167713869615	0.131397971425434
CS	CS	0.002	0.6981786493781652	0.07235142611231357
ACO2	ACO2	1.0	0.0008828238601356597	1.0
ACO2	ACO2	0.7	0.0012660910456870219	0.99962100793762
ACO2	ACO2	0.5	0.0017817536122777462	0.9991136108324021
ACO2	ACO2	0.3	0.0030058660080780225	0.9979203932822615
ACO2	ACO2	0.2	0.004578006254312148	0.9964103623182919
ACO2	ACO2	0.1	0.009587569495855377	0.9917535785261421
ACO2	ACO2	0.05	0.021056917198297553	0.9818380736116304
ACO2	ACO2	0.03	0.039863471534887625	0.9672524524917839
ACO2	ACO2	0.02	0.07028719256515245	0.9465568425869334
ACO2	ACO2	0.01	0.22258845184482537	0.8652478232161385
ACO2	ACO2	0.005	0.6511207431154264	0.6467163541973184
ACO2	ACO2	0.002	0.9409035861012662	0.2998990700975899
IDH3	IDH3A	1.0	0.015087996647105225	1.0
IDH3	IDH3A	0.7	0.021488244163367982	0.9935652687936177
IDH3	IDH3A	0.5	0.029995093330930204	0.985075753345201
IDH3	IDH3A	0.3	0.04985720570154079	0.9656088122082307
IDH3	IDH3A	0.2	0.07498913442591366	0.9418156804957027
IDH3	IDH3A	0.1	0.15434055424234663	0.872936116095867
IDH3	IDH3A	0.05	0.3277404182443152	0.7441890893192347
IDH3	IDH3A	0.03	0.5393020403357992	0.5977275730179794
IDH3	IDH3A	0.02	0.7115067525496512	0.4633625638597761
IDH3	IDH3A	0.01	0.8906491331415111	0.26353147886589257
IDH3	IDH3A	0.005	0.9571089925122547	0.13836008447696718
IDH3	IDH3A	0.002	0.9856540594987107	0.05666638502949183
OGDH	OGDH	1.0	0.013086703410694848	1.0
OGDH	OGDH	0.7	0.018268570652411074	0.9944723745644342
OGDH	OGDH	0.5	0.024880841513787597	0.9873327763656305
OGDH	OGDH	0.3	0.039336904302139424	0.9715281196911811
OGDH	OGDH	0.2	0.056180151221437546	0.953083680151918
OGDH	OGDH	0.1	0.10363023902054017	0.9033207479657703
OGDH	OGDH	0.05	0.2007789071424222	0.8164209853775101
OGDH	OGDH	0.03	0.343616099224944	0.7129801914251406
OGDH	OGDH	0.02	0.5176628820661047	0.5996728546827632
OGDH	OGDH	0.01	0.8047747307647293	0.37622581395062504
OGDH	OGDH	0.005	0.9296443158083899	0.2046529801578416
OGDH	OGDH	0.002	0.9781970874183837	0.08497723749763078
SUCL	SUCLA2	1.0	0.00010309327831629994	1.0
SUCL	SUCLA2	0.7	0.0001485332107993898	0.9999556330483207
SUCL	SUCLA2	0.5	0.00021032800328461154	0.9998958891329034
SUCL	SUCLA2	0.3	0.0003600748102306954	0.9997538126234687
SUCL	SUCLA2	0.2	0.0005588032164182085	0.9995707619174976
SUCL	SUCLA2	0.1	0.0012420297754650634	0.998982139841162
SUCL	SUCLA2	0.05	0.0031224734546968507	0.997592036010833
SUCL	SUCLA2	0.03	0.007384035715648678	0.9951211857230216
SUCL	SUCLA2	0.02	0.01894735454167555	0.9903238247105741
SUCL	SUCLA2	0.01	0.5194912159339692	0.9078156823100095
SUCL	SUCLA2	0.005	0.9956535584377323	0.48363038145209625
SUCL	SUCLA2	0.002	0.9997316847376314	0.19368419696345907
SDH	SDHA	1.0	0.001215085585964198	1.0
SDH	SDHA	0.7	0.0017656387361464924	0.9994749718972914
SDH	SDHA	0.5	0.0025290980509962745	0.9987612705294884
SDH	SDHA	0.3	0.004449916412190127	0.9970326230339607
SDH	SDHA	0.2	0.007154471178667331	0.9947386843450106
SDH	SDHA	0.1	0.017822675076283323	0.986824043592609
SDH	SDHA	0.05	0.05832119724845543	0.9644903715265207
SDH	SDHA	0.03	0.20027163383438132	0.9110337343568657
SDH	SDHA	0.02	0.551719855309011	0.7879740363102622
SDH	SDHA	0.01	0.9201807413185871	0.4559506394299963
SDH	SDHA	0.005	0.9766189695346683	0.23508407175095392
SDH	SDHA	0.002	0.9929292793416619	0.09518847768217377
FH	FH	1.0	0.0004023729727297848	1.0
FH	FH	0.7	0.0005761439192491352	0.9998273822661511
FH	FH	0.5	0.000809085241370133	0.9995966522085206
