organ	n_enriched	omega_enriched	dN_enriched	omega_expr_weighted	omega_logexpr_weighted	omega_breadth	n_breadth	median_tau_enriched	n_expressed_coding	frac_genes_with_ortholog	frac_expression_with_ortholog	frac_expression_mitochondrial
Adipose	1			0.21839952745877222	0.2160872593356422	0.1602909755864593	11704	0.8480678370365512	13249	0.8839157672277153	0.7816776206172021	0.32440738244431633
Adrenal	24			0.22883617317839877	0.21712855270606954	0.1586907689368778	11208	0.7462121809508135	12655	0.8862109838008693	0.7997560686574476	0.4635952215525103
Artery	20			0.20299613221622437	0.21276014940363125	0.15812317417498611	11500	0.6628968369617059	13020	0.8837173579109063	0.811509284489138	0.1837798523535144
Bladder	5			0.20642591667198035	0.21468102839289835	0.15979810514335566	11942	0.943483833056842	13499	0.8851026001926069	0.7977861375751983	0.3129589260669256
Blood	67	0.3159423280129958	0.0304395729673522	0.28685707387075743	0.22711481142246176	0.1590315813960071	8872	0.8434901565345397	10085	0.880019831432821	0.46005248365670054	0.047294574139405104
Brain	26	0.1128895590016038	0.0099245194141656	0.22226903932044234	0.21079406573354423	0.14958004972455263	11704	0.9494189837330602	13139	0.891163711089124	0.7935049820461233	0.5424290639134082
Breast	1			0.21743395661666678	0.21632011642667343	0.1609827112712836	11925	0.8110366413087156	13489	0.8845726147231077	0.7817337357752238	0.3293215291190833
Cerebellum	200	0.09568205318957435	0.007265969547315201	0.20528836564175248	0.20764828626726348	0.1535172914702959	11808	0.8765712323472837	13395	0.8819708846584546	0.8461343646855777	0.36297272728974556
Cervix	0			0.21475969344371865	0.21538301509729682	0.16173276289557004	12322		13973	0.8822729549846132	0.7746949728301272	0.19323863562050264
Colon	9			0.20969448833791424	0.21597279111263498	0.1603243969718843	12127	0.9235689477313044	13691	0.886202614856475	0.8030702452357033	0.3718249556881923
Esophagus	1			0.20294538935042442	0.212459571022671	0.1568101028604505	11496	0.9525867133601956	12989	0.8855955038879052	0.8129478759288679	0.35118785474289355
Fallopian_tube	1			0.20872444175266958	0.21584844027849287	0.1634792313536042	12284	0.9416108062092324	13936	0.8819603903559128	0.8051105688619703	0.21498195539530934
Heart	19			0.24931615080061434	0.21525612048150156	0.1535450858069086	10711	0.9234444314572644	12030	0.8907730673316708	0.7990713963205555	0.5808196509591286
Kidney	37	0.2351845225254585	0.0215068499824997	0.23068443589535514	0.220355934721222	0.1613115736751642	11717	0.964201220816943	13226	0.8864358082564645	0.7623542837906442	0.5238232222044623
Liver	169	0.3068315522503368	0.0303071537534075	0.30692417691055907	0.22750270510432935	0.1616069719593388	10171	0.9330795249113596	11506	0.8844950460629237	0.7517850394597778	0.46590820334577737
Lung	20			0.22501369626401604	0.2197955800870288	0.1659274650301556	12326	0.9121846631486217	13986	0.8817388817388817	0.7744675525499581	0.21221197888106874
Nerve_tibial	41	0.1750180158614269	0.0134940571722104	0.23081378300733463	0.21455839509359934	0.16004489928242893	12172	0.8092377676019671	13783	0.883624755133135	0.8022324173505232	0.21031328660287513
Ovary	16			0.20618255023382293	0.2131009385242932	0.15991916373191	11650	0.8466913075451161	13218	0.88197911938266	0.7659579623463292	0.1643421209772998
Pancreas	34	0.30348902666950955	0.02843692998664645	0.2975120220309475	0.21835726369746655	0.1568060248938886	10417	0.9292513573332575	11768	0.8855370496261047	0.7098843384815253	0.1248527382430032
Pituitary	50	0.1915548521018662	0.0167198758100684	0.23177644627097418	0.216263858700874	0.1604407960167993	12489	0.9510542312031024	14132	0.8841636003396547	0.7579726547954405	0.23050006904498266
Prostate	15			0.2224847294868621	0.21708079476592576	0.16153272742684466	12334	0.9442888955756344	13974	0.883068555889509	0.8000846783169221	0.3346173404708158
Salivary_gland	29	0.4429378182888093	0.0389440756513506	0.3386164998595753	0.21927243815778857	0.1623103096034822	11925	0.9344717240178144	13506	0.8833851621501555	0.777749173668653	0.26162473329874586
Skeletal_muscle	98	0.16049164123427875	0.011624180408281	0.19357938616392123	0.21150116895966625	0.1505846478244048	9903	0.8979614211553388	11109	0.8918894589972095	0.8362575838458448	0.41678338478864807
Skin	103	0.2358411787989843	0.0203901551921682	0.21337850068153774	0.215577872419812	0.1610035536069539	11922	0.9520599508940668	13521	0.8822572294948599	0.7709277609688024	0.2728555078961531
Small_intestine	38	0.29234822055933907	0.0247122334875541	0.2406997959237703	0.2213086394832041	0.16489735117589235	12234	0.9685920080805639	13820	0.8857452966714906	0.777415574533469	0.3870029146782561
Spinal_cord	48	0.18589927448751858	0.0139187215557845	0.2524034227931707	0.21529457431327315	0.1540369594504492	11714	0.7788091698806989	13189	0.8886951247251498	0.8059029527771946	0.42881803170543514
Spleen	53	0.3450318983338684	0.0324012403109428	0.2354669552213067	0.22292834569845552	0.16438317064623115	11810	0.8906502437848967	13392	0.8823924731182796	0.7688870578519524	0.21449501483873698
