organ	n_enriched	omega_enriched	dN_enriched	omega_expr_weighted	omega_logexpr_weighted	omega_breadth	n_breadth	median_tau_enriched	n_expressed_coding	frac_genes_with_ortholog	frac_expression_with_ortholog	frac_expression_mitochondrial
Adipose	1			0.11963723978289541	0.12757663719717482	0.1069849221905995	11783	0.8480678370365512	13249	0.8901803909729036	0.8112164353312779	0.32440738244431633
Adrenal	22			0.12759915003622435	0.1271786460508177	0.10583421186466946	11276	0.6851319524349015	12655	0.8919004346108258	0.827863436567041	0.4635952215525103
Artery	22			0.11446026708574734	0.12567481809893746	0.1058790624451722	11573	0.6938825621654605	13020	0.8897081413210446	0.8385316266005768	0.1837798523535144
Bladder	5			0.11309747682968796	0.12705909855708533	0.1067316834382024	12013	0.943483833056842	13499	0.8908067264241796	0.8337814752959153	0.3129589260669256
Blood	55	0.2218380783229483	0.1572191765471197	0.14170713402935628	0.13251308414136637	0.1067034841483667	8997	0.8525688582697442	10085	0.8927119484382746	0.40730218599672213	0.047294574139405104
Brain	25	0.0816314510470424	0.0418105937218803	0.11641168319903115	0.1223360225939064	0.10079838295319979	11832	0.9489510166176656	13139	0.9014384656366542	0.8384226446849978	0.5424290639134082
Breast	1			0.11743046758213423	0.1277545221910814	0.1077548008162309	11999	0.8110366413087156	13489	0.8904292386388909	0.8162681273804192	0.3293215291190833
Cerebellum	205	0.0620365511491959	0.0345817878921244	0.10998593491120909	0.12197268069284822	0.10284010507343146	11926	0.8753138131162795	13395	0.8913027248973497	0.8887730923969147	0.36297272728974556
Cervix	0			0.11607600664316531	0.12806143504643036	0.108622994630441	12401		13973	0.8883561153653474	0.8025252184473674	0.19323863562050264
Colon	8			0.11357175883094102	0.1275538340989049	0.10745890604578745	12186	0.9258774592396937	13691	0.8908772186107662	0.842213304349353	0.3718249556881923
Esophagus	1			0.11025309284104977	0.1250873726456481	0.104977999737423	11582	0.9525867133601956	12989	0.8926014319809069	0.8521909317625832	0.35118785474289355
Fallopian_tube	1			0.11491846758617018	0.12846225534591876	0.10886297665504185	12360	0.9416108062092324	13936	0.8878444316877153	0.8409854362014921	0.21498195539530934
Heart	21			0.12641690253755403	0.12566906674989514	0.1028823871411606	10826	0.9234444314572644	12030	0.9009143807148795	0.8603780935490656	0.5808196509591286
Kidney	34	0.15047421643872014	0.08403813452965544	0.12626415009687478	0.13003972781429854	0.1078409073523349	11787	0.9659645027655239	13226	0.8921064569786784	0.8071632135325663	0.5238232222044623
Liver	160	0.18625933072749917	0.13828021516440442	0.17008668935087762	0.13265194735340663	0.1070677332448875	10273	0.9327220825259772	11506	0.8936207196245437	0.7329727359926176	0.46590820334577737
Lung	19			0.12571801065874924	0.13085243579043712	0.1107213312655704	12392	0.928829892898294	13986	0.8868153868153869	0.7978229593936221	0.21221197888106874
Nerve_tibial	39	0.1446700800678006	0.0867255820986387	0.12213495518129305	0.12720824180885476	0.1068567327379394	12229	0.8092377676019671	13783	0.8881230501342233	0.8315854147001824	0.21031328660287513
Ovary	15			0.10895785026968174	0.12629235223888943	0.1068567327379394	11705	0.8403117217877362	13218	0.8865183840217885	0.8121638484903453	0.1643421209772998
Pancreas	26	0.16804140378954674	0.1240088609613742	0.15899015162859728	0.12777787207139502	0.1043402842175997	10532	0.9212525085577967	11768	0.8958191706322229	0.4903515839542016	0.1248527382430032
Pituitary	49	0.1294044979069908	0.0771662448843279	0.13095508605870576	0.12766976388779808	0.106319532938632	12561	0.9364141459357972	14132	0.889753750353807	0.7092157462978984	0.23050006904498266
Prostate	11			0.11948295743003638	0.1287688097603115	0.10812057661111955	12388	0.9435786019285576	13974	0.887433805639044	0.8288253699386188	0.3346173404708158
Salivary_gland	23			0.15599386270204	0.12941516344184367	0.1087554014433894	11983	0.9450483475387952	13506	0.8880497556641492	0.7554957325038705	0.26162473329874586
Skeletal_muscle	104	0.09269334135450474	0.054147437813462596	0.09951618432781444	0.12233519956681159	0.10079838295319979	10042	0.8987914643033246	11109	0.9047619047619048	0.8657198479162012	0.41678338478864807
Skin	87	0.1912812531801438	0.1210292527907453	0.11956864257577018	0.12789062403074894	0.10812057661111955	12002	0.9384506009716512	13521	0.8884697877375933	0.8073339995962262	0.2728555078961531
Small_intestine	31	0.1788961449054995	0.1355025215666112	0.12308390522274298	0.13117625292128093	0.10976236572373145	12262	0.9686636550322	13820	0.8880607814761216	0.7869138428292939	0.3870029146782561
Spinal_cord	49	0.1057772266543592	0.0743181769831731	0.11837452970740815	0.12510653925337517	0.1027487621788041	11797	0.7933895312853384	13189	0.8953673515808629	0.8407782405956198	0.42881803170543514
Spleen	49	0.2540704692159083	0.1715627205565842	0.12951396729888046	0.13265520028232278	0.1095631771332647	11827	0.8739374643264028	13392	0.8839605734767025	0.7830761888587071	0.21449501483873698
Stomach	21			0.14209526044328386	0.12839850157478655	0.1070677332448875	11641	0.9542707058104204	13049	0.8929419878917925	0.8402248583206684	0.4270378885565386
Testis	1011	0.2251060700510753	0.160699116765607	0.14731490255574814	0.13930777991326002	0.114020715584137	13795	0.9374718662061764	15919	0.8674539858031284	0.818778083305007	0.25646200239438843
Thyroid	19			0.12198062130407633	0.12887429292933184	0.1081822314816865	12221	0.8947135598328549	13789	0.8871564290376387	0.8300958627881069	0.2703702868645658
Uterus	5			0.11170651974874742	0.12619108487983804	0.1065344677846159	11907	0.6721878573075705	13404	0.889212175470009	0.846156309910591	0.19900160784796814
Vagina	5			0.12077310902266805	0.1280738290091249	0.10861798730118355	12248	0.8967633247984401	13806	0.8880197015790237	0.7627313820349646	0.18461395757263685
