organ	n_matched	n_dropped	median_omega_organ	median_omega_matched	median_tau_organ	median_tau_matched	log2_raw_vs_genome	log2_intrinsic_vs_matched	log2_composition	rank_biserial	p	q_BH
Salivary_gland	50	1	0.25391223475212205	0.17228038375180244	0.9242653975336748	0.9203303983958668	1.0932606263081128	0.5595714705940701	0.5336891557140427	0.1896	0.10301943463760882	0.2154042724240912
Spleen	139	0	0.2378975204084056	0.1644915603998189	0.8689611314530173	0.8698760310415752	0.9992709481553836	0.5323266694905555	0.4669442786648281	0.3045908596863516	1.1360452361574893e-05	5.225808086324451e-05
Blood	118	0	0.2359555739643261	0.16760501415189286	0.8472267885768412	0.8447751101561465	0.9874459660133476	0.4934499425366157	0.4939960234767318	0.27420281528296475	0.00027330234521385556	0.0007857442424898347
Lung	79	0	0.2357261924516225	0.151292106230037	0.9088505668957606	0.911591327711642	0.9860427843747991	0.6397753550271315	0.34626742934766763	0.3424130748277521	0.0002040479561784191	0.0006704432845862343
Testis	1166	55	0.210349229960772	0.13724560578442455	0.9274938147502183	0.919561569557964	0.8217172501858715	0.6160265777871143	0.20569067239875716	0.3054732574458132	2.337036885259726e-37	5.37518483609737e-36
Small_intestine	126	0	0.18958727104040551	0.18334265750923628	0.9240119238799878	0.9262614501832374	0.6717928178462661	0.04831961412711606	0.62347320371915	0.14247921390778528	0.05069811801345401	0.11660567143094422
Liver	214	0	0.18466649642438854	0.17552562308401715	0.925776686477918	0.9258834988167459	0.6338528589850504	0.07324049622553139	0.560612362759519	0.07799807843479778	0.16288620743125237	0.2881832900706773
Adrenal	43	0	0.1786519584692067	0.1333703095353703	0.8367794493007124	0.8375130423100188	0.5860824429688358	0.42171419534385013	0.1643682476249857	0.18766901027582472	0.1351234315605287	0.25898657715768
Vagina	64	0	0.17797786767741786	0.16568913573968505	0.9052761444031532	0.9062986327981581	0.5806285603751933	0.10321883899672923	0.47740972137846405	0.0625	0.5434451776356353	0.6578546887168216
Cervix	47	0	0.1777476753418731	0.172329871630949	0.9002568638970313	0.9044502825112818	0.5787614052393703	0.04465789204638152	0.5341035131929888	0.030330466274332224	0.8029410010224983	0.8394383192507937
Colon	67	0	0.1762686629283797	0.1644127946085469	0.9193981762847372	0.9228116825609878	0.5667067283325761	0.10045344093558481	0.46625328739699123	0.13210069057696594	0.18778285027622876	0.30850039688237585
Skin	147	1	0.1748950640557532	0.1491367016482062	0.9224482471765992	0.9199195741043428	0.555420287072694	0.22985423371917968	0.3255660533535143	0.06659262344393535	0.32389440958583193	0.438210083557302
Pancreas	64	1	0.1716846872093181	0.18038730346418236	0.9244864698451438	0.9306787213278178	0.5286920825837506	-0.07133642912663754	0.6000285117103881	0.03759765625	0.7154347306097097	0.8227499402011663
Stomach	51	0	0.1682904626671867	0.1710124273785642	0.9263782823256924	0.9267232816442316	0.49988413221727174	-0.023147749992431323	0.5230318822097031	-0.030372933487120335	0.7940804876576971	0.8394383192507937
Kidney	109	0	0.15718196545825	0.173152672465672	0.9432449090810512	0.9431960274192652	0.4013664104458696	-0.13960895748193994	0.5409753679278095	-0.05193165558454671	0.5083279065608388	0.6495301028277385
Thyroid	44	0	0.14900754024886034	0.16096848825395482	0.9048648297711925	0.9114263298572144	0.3243160508662472	-0.11139295159886131	0.4357090024651085	0.012396694214876103	0.9235434708749013	0.9235434708749013
Nerve_tibial	67	2	0.1352766596040238	0.148434134161676	0.8575729309237587	0.8524782462485668	0.184843654169153	-0.13390995394369035	0.31875360811284337	-0.10536867899309421	0.29363847995483616	0.42210531493507697
Heart	90	1	0.1221599803814149	0.14184966961806555	0.9178316445641108	0.9169743923354505	0.03770244899213127	-0.21559105488226663	0.2532935038743979	-0.10172839506172837	0.23908495716386913	0.36659693431793267
Pituitary	178	0	0.10964196734474385	0.1602131505909406	0.9029438512508368	0.8996558234264654	-0.11826916626423678	-0.5471924513793031	0.4289232851150663	-0.19656609014013382	0.0013417374801044752	0.0034288846713781034
Spinal_cord	139	1	0.1020490688384656	0.1520348886582474	0.8854462067216875	0.8883063081352088	-0.2218062682116239	-0.5751394100457389	0.35333314183411496	-0.29620620050722013	1.9665062153607262e-05	7.53827382554945e-05
Skeletal_muscle	174	2	0.1000278012620853	0.16499669503148864	0.9012786745503363	0.9087136366559205	-0.25066825487604366	-0.722036095152097	0.47136784027605333	-0.303540758356454	9.766411573699143e-07	5.615686654877007e-06
Cerebellum	407	1	0.0723665779895463	0.1676116365416516	0.8854462067216875	0.8874773428620888	-0.7176738291899901	-1.2117268551386766	0.4940530259486865	-0.46642599713852784	1.0785149804164722e-30	1.240292227478943e-29
Brain	204	1	0.06890146289656299	0.1662737758330007	0.906620737872101	0.9065550733680848	-0.7884627672976657	-1.2709541300642244	0.4824913627665587	-0.4186851211072664	2.5811162002061876e-13	1.9788557534914105e-12
