organ	macaque	mouse	opossum	chicken
Blood	0.033957562372742	0.1614402033874365	0.2502456120632132	0.3202198750326906
Brain	0.0083714719990277	0.037349836931277705	0.0814910329013682	0.1200200520832509
Cerebellum	0.00849780053962755	0.03995602010879995	0.0880555263845441	0.12191768195921546
Colon	0.023930840291716	0.1306285373985741	0.2162649663725026	0.3041352801939924
Heart	0.0156868463624799	0.0870248748375195	0.1359873787515648	0.20957531674255941
Kidney	0.0234778041877549	0.0997290878042995	0.1641355963394461	0.2571583496349057
Liver	0.03053862637278565	0.1341400743964234	0.2126673923544893	0.29887149919125955
Lung	0.0277706975226283	0.1605414123726745	0.2667819684201585	0.3483505262611597
Nerve_tibial	0.0136096731317115	0.08313939706501211	0.1594855725212511	0.2591787960922955
Pancreas	0.02962687580726535	0.1256152262783112	0.2002249116388942	0.2960208487914314
Pituitary	0.01245176192479165	0.0579851446193734	0.1323204405927754	0.17408304112102868
Skeletal_muscle	0.0135643045794231	0.060876132756934404	0.1139492310252203	0.1851472199856928
Skin	0.020076986954377	0.1138588828033462	0.2093878310106443	0.2788262315199342
Small_intestine	0.0284394261467202	0.1351270487354353	0.2162649663725026	0.2853864814299817
Spinal_cord	0.0121820576083259	0.0570064655055409	0.11573774912502224	0.1480581997003509
Spleen	0.03173453046588155	0.1635821014574396	0.2565321707889926	0.3365461427633816
Testis	0.0248333805132748	0.15192189083490776	0.2398931046130812	0.33745255919357653
