organ	macaque	mouse	opossum	chicken
Blood	0.3745335624936266	0.2335902601206091	0.1907302620972209	0.20771201669986267
Brain	0.105392269306406	0.06778871617988755	0.0785793884094702	0.0990119415628949
Cerebellum	0.1125708457047584	0.0715615553313958	0.08178421662091845	0.0954084843194158
Colon	0.26926329405823285	0.1762686629283797	0.178980586665039	0.2102495086045837
Heart	0.1796968763403141	0.1209501642997894	0.1092669336997491	0.1321582987797672
Kidney	0.2634309630197067	0.15544557285804034	0.1428312334829359	0.16950312504457588
Liver	0.30568564652639807	0.18466649642438854	0.1487326066940164	0.15778894122053427
Lung	0.3267618097663359	0.2357261924516225	0.2031911268284162	0.1745945806550272
Nerve_tibial	0.1729773407817348	0.13990581359593351	0.1493655478372753	0.2103040740405166
Pancreas	0.32075997122197725	0.1702446304153083	0.14312307727182416	0.1803280310529763
Pituitary	0.1618589528451795	0.1084422255035023	0.1149687720628857	0.1336473715934958
Skeletal_muscle	0.1676699234164972	0.09919612695466795	0.09757607169552229	0.12971045713199944
Skin	0.229044983864531	0.1741458488364094	0.1520305099811468	0.16388073268812298
Small_intestine	0.302606677950178	0.18958727104040551	0.17872187472712725	0.1711135794981738
Spinal_cord	0.1442020816516334	0.1018578575805211	0.10779003196083525	0.11363454380431906
Spleen	0.34377969652368595	0.2378975204084056	0.1854046942407211	0.2250769075121502
Testis	0.306352801224471	0.2110130229592524	0.1874793087465036	0.1848638730112755
