organ	n	median_delta	median_delta_centred	frac_human_faster	p_raw	n_matched	n_dropped	median_delta_matched_ctrl	matched_effect	p_matched	q_raw	q_matched
Adrenal	35	-0.017874601220221303	-0.010113575473518502	0.2571428571428571	0.03271226765355095						0.21808178435700634	
Thyroid	30	-0.0157865988198172	-0.008025573073114398	0.23333333333333334	0.20540969260036945						0.5135242315009236	
Pancreas	48	-0.012033018732824696	-0.004271992986121895	0.2916666666666667	0.23445907059869597	43.0	5.0	-0.006235088294836905	-0.003920892115290758	0.5804226131423844	0.521020156885991	0.7738968175231792
Testis	623	-0.0118992865210258	-0.004138260774322999	0.2841091492776886	4.634855345997474e-06	623.0	0.0	-0.008163715827622292	-0.0037355706934035088	0.04676738361170134	9.269710691994948e-05	0.3741390688936107
Heart	75	-0.010929277187300995	-0.0031682514405981937	0.28	0.06929193887981222	75.0	0.0	-0.0059519333302056054	-0.00497734385709539	0.22472133569709873	0.2771677555192489	0.5992568951922633
Blood	48	-0.010629567877876334	-0.002868542131173532	0.3125	0.277433181791892	48.0	0.0	-0.008577336750923648	-0.002052231126952686	0.8690449913786669	0.554866363583784	0.8690449913786669
Nerve_tibial	52	-0.010390245816349293	-0.0026292200696464915	0.28846153846153844	0.37703589672535043	51.0	1.0	-0.016930024330525095	0.0066074347101591074	0.19186631249723063	0.6855198122279099	0.5992568951922633
Skin	61	-0.009187143947970433	-0.0014261182012676316	0.39344262295081966	0.5203159701517799	61.0	0.0	-0.0040683427058454125	-0.005118801242125021	0.33061009808033903	0.8671932835862998	0.6612201961606781
Liver	141	-0.008767552272718304	-0.0010065265260155026	0.40425531914893614	0.8025450783332514	141.0	0.0	-0.0046325519080853	-0.004135000364633004	0.8311541402426503	0.9441706803920605	0.8690449913786669
Small_intestine	81	-0.008629416286149105	-0.0008683905394463037	0.4074074074074074	0.7257632002730814	81.0	0.0	-0.005695698712689601	-0.0029337175734595045	0.8433306646860087	0.9441706803920605	0.8690449913786669
Spleen	68	-0.007838224891079298	-7.719914437649689e-05	0.38235294117647056	0.9512767539456932	68.0	0.0	-0.007963846516740349	0.00012562162566105012	0.3852361122708562	0.9512767539456932	0.6848641995926332
Pituitary	127	-0.0074972603092546	0.0002637654374482018	0.2440944881889764	0.8662427886338744	127.0	0.0	-0.00796007406605978	0.00046281375680518044	0.8309258909722513	0.9512767539456932	0.8690449913786669
Lung	36	-0.007020233979441737	0.0007407917672610648	0.3888888888888889	0.6693764294905122						0.9441706803920605	
Stomach	37	-0.006749164947572994	0.0010118607991298073	0.35135135135135137	0.6871866595320171						0.9441706803920605	
Spinal_cord	108	-0.0058433572764942515	0.00191766847020855	0.3148148148148148	0.15230923608841904	107.0	1.0	-0.006230384428664602	0.00023518717251180127	0.5077259666098805	0.43516924596691153	0.7482734483815932
Kidney	83	-0.005695698712689601	0.0020653270340132007	0.37349397590361444	0.9168336012540236	83.0	0.0	-0.010037229140042792	0.004341530427353191	0.29240375116922557	0.9512767539456932	0.6612201961606781
Skeletal_muscle	142	-0.005230502845374796	0.0025305229013280056	0.3380281690140845	0.7967084570793556	140.0	2.0	-0.011294552251663002	0.006159597518809755	0.17005880562482534	0.9441706803920605	0.5992568951922633
Brain	160	-0.0050842336251402526	0.002676792121562549	0.29375	0.05771383952483475	160.0	0.0	-0.005020855969595402	-6.337765554485092e-05	0.5144379957623453	0.2771677555192489	0.7482734483815932
Cerebellum	320	-0.004853359975483092	0.00290766577121971	0.278125	0.019372704744514118	320.0	0.0	-0.01003163317427555	0.005178273198792459	0.003772275829709828	0.1937270474451412	0.06035641327535725
Colon	44	-0.0025484966205637505	0.005212529126139051	0.4318181818181818	0.09899713914114727	44.0	0.0	-0.005123071774038951	0.0025745751534752004	0.1010352803288649	0.32999046380382424	0.5388548284206128
