smiles,head,linker,tail,n_tails,mw,HeLa,lung,liver,spleen
CCCCCCOC(=O)CCN(CCC(=O)OCCCCCC)CCN(C)C,H1_DMAEA,ester,T1_C6,2,400.6,-0.12430373566380992,-0.0557362536628898,-0.09878759979925547,0.23011871822739707
CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC)CCN(C)C,H1_DMAEA,ester,T2_C8,2,456.7,0.014905129299947922,0.002147652216076934,-0.02915803057999594,0.24899381588353053
CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN(C)C,H1_DMAEA,ester,T3_C10,2,512.8,0.22542067423956577,0.0308783063152124,0.01690646488037396,0.22947190428914718
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN(C)C,H1_DMAEA,ester,T4_C12,2,568.9,0.2621814817554301,0.010123513550035662,0.0004389764575131627,0.145705305557083
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCN(C)C,H1_DMAEA,ester,T5_C14,2,625.0,0.2520378067750494,-0.02884481149908178,-0.04074592766474097,0.06347701767288395
CCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCN(C)C,H1_DMAEA,ester,T6_C16,2,681.1,0.23229475929363805,-0.06653926384397661,-0.09725807339826335,-0.011660940500976024
CCCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CCN(C)C,H1_DMAEA,ester,T7_C18,2,737.3,0.19433238369211195,-0.11436551641656056,-0.15240833886909882,-0.08021833646764488
CC(C)CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC(C)C)CCN(C)C,H1_DMAEA,ester,T10_C12i,2,597.0,0.33888368700668636,0.08220628650545628,0.09232999433533026,0.27787042757330455
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCN(C)C,H1_DMAEA,ester,T11_oleyl,2,733.2,0.49541822894101434,-0.03981716659739514,-0.07367061914085127,0.00810449637558155
CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCN(C)C,H1_DMAEA,ester,T12_linoleyl,2,729.2,0.6184086324938727,-0.028861537384473078,-0.06356383112387867,0.018835871288030947
CCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCC)CCN(C)C,H1_DMAEA,ester,T13_C9,2,484.8,0.1241084641711621,0.03434660524220355,0.00780399859075005,0.2666815638976108
CCSCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCSCC)CCN(C)C,H1_DMAEA,ester,T14_thioC8,2,577.0,0.17900765443799166,0.042293781187084475,0.009452204810178565,0.2532152367724615
CCOCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCOCC)CCN(C)C,H1_DMAEA,ester,T15_OC8,2,544.8,-0.06897410531818673,-0.08403816067381227,-0.13805311227812198,0.13727688348464234
CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN(C)C,H1_DMAEA,ester,T16_C11,2,540.9,0.2532382448756022,0.02313348010209934,0.012454340213998327,0.18730319148425437
CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC)CCN(C)C,H1_DMAEA,amide,T2_C8,2,454.7,-0.012570406842735266,0.07195117667253478,0.03653815696613716,0.37909362506872674
CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCC)CCN(C)C,H1_DMAEA,amide,T3_C10,2,510.9,0.37508992571009203,0.1464000470112365,0.14669015267318802,0.38862274250506906
CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(C)C,H1_DMAEA,amide,T4_C12,2,567.0,0.4999375388159176,0.12065189371475864,0.11532252209554464,0.2930312222724355
CCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCN(C)C,H1_DMAEA,amide,T5_C14,2,623.1,0.4742302817495375,0.07940163899976227,0.07442114557228625,0.19782804405667936
CCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCN(C)C,H1_DMAEA,amide,T6_C16,2,679.2,0.4130387146028268,0.035023102446858766,0.018693403803339375,0.11098756707695123
CCCCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCN(C)C,H1_DMAEA,amide,T7_C18,2,735.3,0.34105866323784484,-0.019967021544341358,-0.040671418457928675,0.03318112287632187
CC(C)CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC(C)C)CCN(C)C,H1_DMAEA,amide,T10_C12i,2,595.0,0.48292719612324697,0.1834633894895358,0.2047658298093514,0.4213256746898536
