smiles,pred_delivery,head,linker,tail,n_tails,mw
CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC,0.7809369772415978,H6_DAP,ester,T12_linoleyl,4,1356.2
CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC,0.7754866779548755,H6_DAP,amide,T12_linoleyl,4,1352.3
CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC,0.7426055825816029,H7_MePr,amide,T12_linoleyl,3,1046.8
CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCN1CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CC1,0.7393091643217963,H4_AEPZ,ester,T12_linoleyl,3,1090.8
CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCN1CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CC1,0.7385926102512788,H4_AEPZ,amide,T12_linoleyl,3,1087.8
CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC,0.732982230359384,H7_MePr,ester,T12_linoleyl,3,1049.7
CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCN(CC)CC,0.6591073748586126,H2_DEAEA,ester,T12_linoleyl,2,757.2
CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCN(C)C,0.652132618359309,H1_DMAEA,amide,T12_linoleyl,2,727.2
CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCN(CC)CC,0.6481699202453971,H2_DEAEA,amide,T12_linoleyl,2,755.3
CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCN(C)C,0.6364642310734643,H1_DMAEA,ester,T12_linoleyl,2,729.2
