smiles,ens_mean,ens_std,head,linker,tail,n_tails,mw,lite_pred,ens_rank,lite_rank
CCCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCCC)CCC(=O)NCCCCCCCCCC,1.3077027723037586,0.7748382367116277,H7_MePr,amide,T3_C10,3,722.2,0.2812385126208387,1,79
CCCCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC,1.2934656594814595,0.7528978598211211,H7_MePr,amide,T16_C11,3,764.3,0.2850149383175314,2,75
CCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC,1.2911622268489267,0.797549778783807,H7_MePr,amide,T13_C9,3,680.1,0.2772125908711357,3,81
CCCCCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,1.2498369071274276,0.7289123461414727,H7_MePr,amide,T4_C12,3,806.4,0.2883056435982001,4,71
CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC,1.2406386734652597,0.6705370962328286,H7_MePr,amide,T12_linoleyl,3,1046.8,0.7426055825816029,5,3
CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCC(=O)NCCCCCCCC/C=C\CCCCCCCC,1.231008111562169,0.7331344031415075,H7_MePr,amide,T11_oleyl,3,1052.8,0.3966626056052711,6,22
CCSCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCSCC)CCC(=O)NCCCCCCCCSCC,1.2056464671207026,0.7609051847325465,H7_MePr,amide,T14_thioC8,3,818.4,0.2606254686479552,7,91
CCCCCCCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCC,1.1081353690719564,0.6325658628993193,H7_MePr,amide,T5_C14,3,890.5,0.2946716601973804,8,63
CCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC,1.0603593934234108,1.1121560388512834,H6_DAP,amide,T13_C9,4,863.4,0.3101283449845107,9,47
CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC,1.0581312871833126,0.3640326371489091,H7_MePr,ester,T12_linoleyl,3,1049.7,0.732982230359384,10,6
CC(C)CCCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCCCC(C)C)CCC(=O)NCCCCCCCCCCC(C)C,1.0468588820197107,0.6827628102810601,H7_MePr,amide,T10_C12i,3,848.4,0.2841322097974278,11,77
CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC,0.9882728689631077,0.3165051895769691,H10_DMPDA,ester,T12_linoleyl,2,743.2,0.5980987929172742,12,14
CCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCC)CCC(=O)NCCCCCCCCCC)CCC(=O)NCCCCCCCCCC,0.974277667661523,1.092093938526003,H6_DAP,amide,T3_C10,4,919.5,0.314769569236013,13,44
CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCC/C=C\CCCCCCCC,0.961936408047151,0.523297773714664,H10_DMPDA,amide,T11_oleyl,2,745.3,0.2922381361660043,14,67
CCSCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCSCC)CCC(=O)NCCCCCCCCSCC)CCC(=O)NCCCCCCCCSCC,0.9478073491734047,1.0136808971676707,H6_DAP,amide,T14_thioC8,4,1047.8,0.2890063478137766,15,70
CCCCCCCCCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCCCC,0.9432399519835732,0.523505104668858,H7_MePr,amide,T6_C16,3,974.7,0.301257377466068,16,57
CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC,0.925781258747751,0.4951828382494687,H10_DMPDA,amide,T12_linoleyl,2,741.2,0.6007609240061467,17,13
CCCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC,0.8892660854971173,1.0651050239754207,H6_DAP,amide,T16_C11,4,975.6,0.3189511476942228,18,43
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCC/C=C\CCCCCCCC,0.8836140391531195,0.2817726568699921,H10_DMPDA,ester,T11_oleyl,2,747.2,0.2924218304182794,19,65
CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCN(CC)CC,0.8593156306946963,0.5193173275875852,H2_DEAEA,amide,T11_oleyl,2,759.3,0.3198222744720774,20,39
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCC(=O)OCCCCCCCC/C=C\CCCCCCCC,0.8436748495261333,0.32080238886867507,H7_MePr,ester,T11_oleyl,3,1055.8,0.3890637574054948,21,23
CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC,0.834776524806691,0.9620679045315226,H6_DAP,amide,T12_linoleyl,4,1352.3,0.7754866779548755,22,2
CC(C)CCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCCC(C)C)CCC(=O)NCCCCCCCCCCC(C)C)CCC(=O)NCCCCCCCCCCC(C)C,0.8184582654622012,0.7944072363390267,H6_DAP,amide,T10_C12i,4,1087.8,0.3026869113329759,23,55
CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCN(CC)CC,0.7974677176054923,0.48321228454394094,H2_DEAEA,amide,T12_linoleyl,2,755.3,0.6481699202453971,24,9
