head,linker,tail,n_tails,mw,smiles,degradable,disulfide
H1_DMAEA,ester,T1_C6,2,400.6,CCCCCCOC(=O)CCN(CCC(=O)OCCCCCC)CCN(C)C,False,False
H1_DMAEA,ester,T2_C8,2,456.7,CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC)CCN(C)C,False,False
H1_DMAEA,ester,T3_C10,2,512.8,CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN(C)C,False,False
H1_DMAEA,ester,T4_C12,2,568.9,CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN(C)C,False,False
H1_DMAEA,ester,T5_C14,2,625.0,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCN(C)C,False,False
H1_DMAEA,ester,T6_C16,2,681.1,CCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCN(C)C,False,False
H1_DMAEA,ester,T7_C18,2,737.3,CCCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CCN(C)C,False,False
H1_DMAEA,ester,T10_C12i,2,597.0,CC(C)CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC(C)C)CCN(C)C,False,False
H1_DMAEA,ester,T11_oleyl,2,733.2,CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCN(C)C,False,False
H1_DMAEA,ester,T12_linoleyl,2,729.2,CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCN(C)C,False,False
H1_DMAEA,ester,T13_C9,2,484.8,CCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCC)CCN(C)C,False,False
H1_DMAEA,ester,T14_thioC8,2,577.0,CCSCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCSCC)CCN(C)C,True,False
H1_DMAEA,ester,T15_OC8,2,544.8,CCOCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCOCC)CCN(C)C,True,False
