Lipid_name,Helper_lipid_ID,Cargo_type,Model_type,Delivery_target,Route_of_administration
cand_0,DOPE,mRNA,Mouse,spleen,intravenous
cand_1,DOPE,mRNA,Mouse,spleen,intravenous
cand_2,DOPE,mRNA,Mouse,spleen,intravenous
cand_3,DOPE,mRNA,Mouse,spleen,intravenous
cand_4,DOPE,mRNA,Mouse,spleen,intravenous
cand_5,DOPE,mRNA,Mouse,spleen,intravenous
cand_6,DOPE,mRNA,Mouse,spleen,intravenous
cand_7,DOPE,mRNA,Mouse,spleen,intravenous
cand_8,DOPE,mRNA,Mouse,spleen,intravenous
cand_9,DOPE,mRNA,Mouse,spleen,intravenous
cand_10,DOPE,mRNA,Mouse,spleen,intravenous
cand_11,DOPE,mRNA,Mouse,spleen,intravenous
cand_12,DOPE,mRNA,Mouse,spleen,intravenous
cand_13,DOPE,mRNA,Mouse,spleen,intravenous
cand_14,DOPE,mRNA,Mouse,spleen,intravenous
cand_15,DOPE,mRNA,Mouse,spleen,intravenous
cand_16,DOPE,mRNA,Mouse,spleen,intravenous
cand_17,DOPE,mRNA,Mouse,spleen,intravenous
cand_18,DOPE,mRNA,Mouse,spleen,intravenous
cand_19,DOPE,mRNA,Mouse,spleen,intravenous
cand_20,DOPE,mRNA,Mouse,spleen,intravenous
cand_21,DOPE,mRNA,Mouse,spleen,intravenous
cand_22,DOPE,mRNA,Mouse,spleen,intravenous
cand_23,DOPE,mRNA,Mouse,spleen,intravenous
cand_24,DOPE,mRNA,Mouse,spleen,intravenous
cand_25,DOPE,mRNA,Mouse,spleen,intravenous
cand_26,DOPE,mRNA,Mouse,spleen,intravenous
cand_27,DOPE,mRNA,Mouse,spleen,intravenous
cand_28,DOPE,mRNA,Mouse,spleen,intravenous
cand_29,DOPE,mRNA,Mouse,spleen,intravenous
cand_30,DOPE,mRNA,Mouse,spleen,intravenous
cand_31,DOPE,mRNA,Mouse,spleen,intravenous
cand_32,DOPE,mRNA,Mouse,spleen,intravenous
cand_33,DOPE,mRNA,Mouse,spleen,intravenous
cand_34,DOPE,mRNA,Mouse,spleen,intravenous
cand_35,DOPE,mRNA,Mouse,spleen,intravenous
cand_36,DOPE,mRNA,Mouse,spleen,intravenous
cand_37,DOPE,mRNA,Mouse,spleen,intravenous
