smiles,ens_mean,ens_std,head,linker,tail,n_tails,mw,degradable,disulfide,confidence
CCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC,0.5705877355425031,0.21141718713207883,H7_MePr,amide,T13_C9,3,680.1,False,False,high
CC(C)CCCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCCCC(C)C)CCC(=O)NCCCCCCCCCCC(C)C,0.5339684222914056,0.42857287116854514,H7_MePr,amide,T10_C12i,3,848.4,False,False,medium
CCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCC)CCC(=O)NCCCCCC,0.5319549744189173,0.3341045210368922,H7_MePr,amide,T1_C6,3,553.9,False,False,high
CCSCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCSCC)CCC(=O)NCCCCCCCCSCC,0.4899588904562967,0.21926578870675917,H7_MePr,amide,T14_thioC8,3,818.4,True,False,high
CCCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCCC)CCC(=O)NCCCCCCCCCC,0.47684618973413195,0.2481967636629664,H7_MePr,amide,T3_C10,3,722.2,False,False,high
CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN(CC)CC,0.4715226166439158,0.32044155375473493,H2_DEAEA,amide,T13_C9,2,510.9,False,False,high
CCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCC,0.4684570294229908,0.4583237595064158,H10_DMPDA,amide,T13_C9,2,496.8,False,False,medium
CCCCCCCCCNC(=O)CCN(CCCCN(C)C)CCC(=O)NCCCCCCCCC,0.4382516352018125,0.5260497584774797,H16_DMABA,amide,T13_C9,2,510.9,False,False,medium
CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN(C)C,0.4376333540080535,0.6354145092857357,H1_DMAEA,amide,T13_C9,2,482.8,False,False,medium
CC(C)CCCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCCCC(C)C,0.4364263594936947,0.5774332169356431,H10_DMPDA,amide,T10_C12i,2,609.0,False,False,medium
CCSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSCC)CCN(CC)CC,0.43546010344277,0.30334397073043234,H2_DEAEA,amide,T14_thioC8,2,603.0,True,False,high
CCSCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCSCC,0.43072089951526166,0.44637987636497345,H10_DMPDA,amide,T14_thioC8,2,589.0,True,False,medium
CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCC)CCN(CC)CC,0.43041998300942674,0.3083852378917813,H2_DEAEA,amide,T3_C10,2,538.9,False,False,high
CCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCC)CCC(=O)NCCCCCCCC,0.42728863321113053,0.26905489970060514,H7_MePr,amide,T2_C8,3,638.0,False,False,high
CCN(CC)CCN(CCC(=O)NCCCCCCCCCCC(C)C)CCC(=O)NCCCCCCCCCCC(C)C,0.4265776353852987,0.4162313566848637,H2_DEAEA,amide,T10_C12i,2,623.1,False,False,medium
CC(C)CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC(C)C)CCN(C)C,0.4213256746898536,0.6671925443941497,H1_DMAEA,amide,T10_C12i,2,595.0,False,False,medium
CCCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCCC,0.41342522545751714,0.4239038187864052,H10_DMPDA,amide,T3_C10,2,524.9,False,False,medium
CCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCC,0.4090627359727563,0.6338305124267983,H10_DMPDA,amide,T1_C6,2,412.7,False,False,medium
CC(C)CCCCCCCCCCNC(=O)CCN(CCCCN(C)C)CCC(=O)NCCCCCCCCCCC(C)C,0.408061775990814,0.5841029405553291,H16_DMABA,amide,T10_C12i,2,623.1,False,False,medium
CCSCCCCCCCCNC(=O)CCN(CCCCN(C)C)CCC(=O)NCCCCCCCCSCC,0.40653236874242865,0.5143998724483737,H16_DMABA,amide,T14_thioC8,2,603.0,True,False,medium
CCSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSCC)CCN(C)C,0.4046096011576714,0.6030799489186368,H1_DMAEA,amide,T14_thioC8,2,575.0,True,False,medium
