Interacting Partner,Gene Name,Protein Name,Subcellular Locality,AF_Score,RF_Score,DCA_Score,confident,Function,pdb
P01133,EGF,Pro-epidermal growth factor,Membrane,0.988,0.254,0.141,high,Growth factor,['P00533_S1__P01133_S2.pdb']
O75879,GATB,"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial",Mitochondrion,0.988,0.1761,0.18,high,"Ligase, Protein biosynthesis",['O75879_S0__P00533_S2.pdb']
P35070,BTC,Probetacellulin,"Cell membrane, Membrane, Secreted",0.983,0.5034,0.07,high,"Growth factor, Mitogen",['P00533_S1__P35070_S0.pdb']
Q8NB46,ANKRD52,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C,NA,0.9634,0.283,0.299,Not confident,NA,none
O14944,EREG,Proepiregulin,"Cell membrane, Membrane, Secreted",0.96,0.5312,0.049,high,"Angiogenesis, Developmental protein, Differentiation, Growth factor, Mitogen",['O14944_S0__P00533_S1.pdb']
Q92989,CLP1,Polyribonucleotide 5'-hydroxyl-kinase Clp1,Nucleus,0.959,0.3147,0.186,high,"Kinase, mRNA processing, Transferase, tRNA processing",['P00533_S2__Q92989_S0.pdb']
P15514,AREG,Amphiregulin,Membrane,0.94,0.1953,0.067,high,"Cytokine, Growth factor","['P00533_S1__P15514_S0.pdb', 'P00533_S2__P15514_S0.pdb']"
Q96I51,RCC1L,RCC1-like G exchanging factor-like protein,"Membrane, Mitochondrion, Mitochondrion inner membrane",0.932,0.1748,0.199,high,"Guanine-nucleotide releasing factor, RNA-binding, rRNA-binding",['P00533_S2__Q96I51_S0.pdb']
Q99570,PIK3R4,Phosphoinositide 3-kinase regulatory subunit 4,"Cytoplasmic vesicle, Endosome, Membrane",0.9165,0.2341,0.198,high,"Kinase, Serine/threonine-protein kinase, Transferase",['P00533_S2__Q99570_S1.pdb']
Q99675,CGRRF1,Cell growth regulator with RING finger domain protein 1,"Endoplasmic reticulum, Nucleus",0.9116,0.243,0.11,high,"Cell cycle, Growth arrest",['P00533_S2__Q99675_S0.pdb']
P57740,NUP107,Nuclear pore complex protein Nup107,"Centromere, Chromosome, Kinetochore, Membrane, Nuclear pore complex, Nucleus",0.9106,0.2009,0.175,high,"mRNA transport, Protein transport, Translocation, Transport",['P00533_S2__P57740_S2.pdb']
Q9NQX4,MYO5C,Unconventional myosin-Vc,NA,0.91,0.307,0.187,high,"Actin-binding, Calmodulin-binding, Motor protein, Myosin","['P00533_S1__Q9NQX4_S3.pdb', 'P00533_S2__Q9NQX4_S1.pdb', 'P00533_S2__Q9NQX4_S3.pdb']"
