Interacting Partner,Gene Name,Protein Name,Subcellular Locality,AF_Score,RF_Score,DCA_Score,confident,Function,pdb
Q9H1C7,CYSTM1,Cysteine-rich and transmembrane domain-containing protein 1,Membrane,0.7305,0.02104,0.065,high,NA,['P43220_S0__Q9H1C7_S0.pdb']
Q8N7P1,PLD5,Inactive phospholipase D5,Membrane,0.5845,0.3987,0.125,Not confident,NA,none
Q6ZSA7,LRRC55,Leucine-rich repeat-containing protein 55,"Cell membrane, Membrane",0.5186,0.5073,0.152,Not confident,"Ion channel, Ion transport, Transport",none
Q8N967,LRTM2,Leucine-rich repeat and transmembrane domain-containing protein 2,Membrane,0.518,0.4417,0.149,Not confident,NA,none
P80370,DLK1,Protein delta homolog 1,"Cytoplasm, Membrane",0.4949,0.448,0.166,Not confident,NA,none
P19021,PAM,Peptidyl-glycine alpha-amidating monooxygenase,"Cytoplasmic vesicle, Membrane, Secreted",0.4285,0.2229,0.105,Not confident,"Lipid metabolism, Lyase, Monooxygenase, Multifunctional enzyme, Oxidoreductase",none
Q9UIK5,TMEFF2,Tomoregulin-2,"Membrane, Secreted",0.4194,0.3367,0.148,Not confident,NA,none
Q9P283,SEMA5B,Semaphorin-5B,Membrane,0.3528,0.6084,0.129,Not confident,"Developmental protein, Differentiation, Neurogenesis",none
Q9HBL6,LRTM1,Leucine-rich repeat and transmembrane domain-containing protein 1,Membrane,0.335,0.3982,0.17,Not confident,NA,none
Q8TDF5,NETO1,Neuropilin and tolloid-like protein 1,"Cell membrane, Membrane, Postsynaptic cell membrane, Secreted, Synapse",0.3293,0.306,0.128,Not confident,Receptor,none
O00264,PGRMC1,Membrane-associated progesterone receptor component 1,"Endoplasmic reticulum, Membrane, Microsome, Mitochondrion, Mitochondrion outer membrane, Secreted",0.2815,0.0756,0.152,Not confident,Receptor,none
Q9BX67,JAM3,Junctional adhesion molecule C,"Cell junction, Cell membrane, Membrane, Secreted, Tight junction",0.278,0.3862,0.12,Not confident,"Angiogenesis, Cell adhesion, Differentiation, Spermatogenesis",none
P05981,HPN,Serine protease hepsin,"Cell membrane, Membrane",0.2725,0.19,0.104,Not confident,"Hydrolase, Protease, Serine protease",none
Q8N7C0,LRRC52,Leucine-rich repeat-containing protein 52,"Cell membrane, Membrane",0.2678,0.468,0.125,Not confident,"Ion channel, Ion transport, Transport",none
