Gene Name,Interacting Partner,AF_Score,RF_Score,confident,Subcellular Locality,Function
CYSTM1,Q9H1C7,0.7305,0.02104,high,Membrane,
PLD5,Q8N7P1,0.5845,0.3987,Not confident,Membrane,
LRRC55,Q6ZSA7,0.5186,0.5073,Not confident,"Cell membrane, Membrane","Ion channel, Ion transport, Transport"
LRTM2,Q8N967,0.518,0.4417,Not confident,Membrane,
DLK1,P80370,0.4949,0.448,Not confident,"Cytoplasm, Membrane",
PAM,P19021,0.4285,0.2229,Not confident,"Cytoplasmic vesicle, Membrane, Secreted","Lipid metabolism, Lyase, Monooxygenase, Multifunctional enzyme, Oxidoreductase"
TMEFF2,Q9UIK5,0.4194,0.3367,Not confident,"Membrane, Secreted",
SEMA5B,Q9P283,0.3528,0.6084,Not confident,Membrane,"Developmental protein, Differentiation, Neurogenesis"
LRTM1,Q9HBL6,0.335,0.3982,Not confident,Membrane,
NETO1,Q8TDF5,0.3293,0.306,Not confident,"Cell membrane, Membrane, Postsynaptic cell membrane, Secreted, Synapse",Receptor
PGRMC1,O00264,0.2815,0.0756,Not confident,"Endoplasmic reticulum, Membrane, Microsome, Mitochondrion, Mitochondrion outer membrane, Secreted",Receptor
JAM3,Q9BX67,0.278,0.3862,Not confident,"Cell junction, Cell membrane, Membrane, Secreted, Tight junction","Angiogenesis, Cell adhesion, Differentiation, Spermatogenesis"
HPN,P05981,0.2725,0.19,Not confident,"Cell membrane, Membrane","Hydrolase, Protease, Serine protease"
LRRC52,Q8N7C0,0.2678,0.468,Not confident,"Cell membrane, Membrane","Ion channel, Ion transport, Transport"
LRRC38,Q5VT99,0.2622,0.501,Not confident,"Cell membrane, Membrane","Ion channel, Ion transport, Transport"
DCUN1D3,Q8IWE4,0.2416,0.3433,Not confident,"Cell membrane, Cytoplasm, Membrane, Nucleus",
B4GALT2,O60909,0.2386,0.4153,Not confident,"Golgi apparatus, Membrane","Glycosyltransferase, Transferase"
LDLRAD3,Q86YD5,0.2356,0.4434,Not confident,"Cell membrane, Membrane","Host-virus interaction, Receptor"
TOMM6,Q96B49,0.2299,0.03317,Not confident,"Membrane, Mitochondrion, Mitochondrion outer membrane","Protein transport, Transport"
