AF_Score,BG,DCA_Score,Function,Gene Name,Interacting Partner,Protein Name,RF_Score,SP,Subcellular Locality,UP,confident,pdb,is_membrane,is_cell_surface,AF
1.0,N,2.965,"Dipeptidase, Hydrolase, Metalloprotease, Multifunctional enzyme, Protease",FOLH1B,Q9HBA9,Putative N-acetylated-alpha-linked acidic dipeptidase,0.519,N,Cytoplasm,N,Not confident,none,False,False,1.0
0.9995,Y,3.263,"Carboxypeptidase, Dipeptidase, Hydrolase, Metalloprotease, Multifunctional enzyme, Protease",NAALAD2,Q9Y3Q0,N-acetylated-alpha-linked acidic dipeptidase 2,0.3975,Y,"Cell membrane, Membrane",N,high,['Q04609_S0__Q9Y3Q0_S0.pdb'],True,True,0.9995
0.9976,N,2.665,"Aminopeptidase, Hydrolase, Metalloprotease, Protease",NAALADL1,Q9UQQ1,Aminopeptidase NAALADL1,0.3733,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.9976
0.8213,N,0.283,"Cell cycle, Cell division, Cilium biogenesis/degradation, Kinase, Mitosis, Serine/threonine-protein kinase, Transferase",MARK4,Q96L34,MAP/microtubule affinity-regulating kinase 4,0.3335,N,"Cell projection, Cytoplasm, Cytoskeleton",N,Not confident,none,False,False,0.8213
0.8184,N,0.103,"Cell adhesion, Developmental protein, Differentiation, Neurogenesis",L1CAM,P32004,Neural cell adhesion molecule L1,0.2515,N,"Cell membrane, Cell projection, Membrane",N,medium,['P32004_S2__Q04609_S0.pdb'],True,True,0.8184
0.8013,N,0.247,Hydrolase,GPN1,Q9HCN4,GPN-loop GTPase 1,0.4343,N,"Cytoplasm, Nucleus",N,Not confident,none,False,False,0.8013
0.7817,N,0.167,Cell cycle,STRADB,Q9C0K7,STE20-related kinase adapter protein beta,0.394,N,"Cytoplasm, Nucleus",N,Not confident,none,False,False,0.7817
0.7705,N,0.043,NA,SYNDIG1,Q9H7V2,Synapse differentiation-inducing gene protein 1,0.2225,N,"Cell membrane, Cell projection, Endosome, Membrane, Postsynaptic cell membrane, Synapse",N,Not confident,none,True,True,0.7705
0.7515,N,0.129,NA,LRRC19,Q9H756,Leucine-rich repeat-containing protein 19,0.3481,N,Membrane,N,Not confident,none,True,False,0.7515
0.734,N,0.235,"Acyltransferase, Transferase",ZDHHC14,Q8IZN3,Palmitoyltransferase ZDHHC14,0.3206,N,"Endoplasmic reticulum, Golgi apparatus, Membrane",N,Not confident,none,True,False,0.734
0.7246,N,0.055,Receptor,TNFRSF9,Q07011,Tumor necrosis factor receptor superfamily member 9,0.2478,Y,"Cell membrane, Membrane",N,Not confident,none,True,True,0.7246
