AF_Score,BG,DCA_Score,Function,Gene Name,Interacting Partner,Protein Name,RF_Score,SP,Subcellular Locality,UP,confident,pdb,is_membrane,is_cell_surface,AF
0.9995,Y,3.263,"Carboxypeptidase, Dipeptidase, Hydrolase, Metalloprotease, Multifunctional enzyme, Protease",NAALAD2,Q9Y3Q0,N-acetylated-alpha-linked acidic dipeptidase 2,0.3975,Y,"Cell membrane, Membrane",N,high,['Q04609_S0__Q9Y3Q0_S0.pdb'],True,True,0.9995
0.9976,N,2.665,"Aminopeptidase, Hydrolase, Metalloprotease, Protease",NAALADL1,Q9UQQ1,Aminopeptidase NAALADL1,0.3733,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.9976
0.8184,N,0.103,"Cell adhesion, Developmental protein, Differentiation, Neurogenesis",L1CAM,P32004,Neural cell adhesion molecule L1,0.2515,N,"Cell membrane, Cell projection, Membrane",N,medium,['P32004_S2__Q04609_S0.pdb'],True,True,0.8184
0.7705,N,0.043,NA,SYNDIG1,Q9H7V2,Synapse differentiation-inducing gene protein 1,0.2225,N,"Cell membrane, Cell projection, Endosome, Membrane, Postsynaptic cell membrane, Synapse",N,Not confident,none,True,True,0.7705
0.7515,N,0.129,NA,LRRC19,Q9H756,Leucine-rich repeat-containing protein 19,0.3481,N,Membrane,N,Not confident,none,True,False,0.7515
0.734,N,0.235,"Acyltransferase, Transferase",ZDHHC14,Q8IZN3,Palmitoyltransferase ZDHHC14,0.3206,N,"Endoplasmic reticulum, Golgi apparatus, Membrane",N,Not confident,none,True,False,0.734
0.7246,N,0.055,Receptor,TNFRSF9,Q07011,Tumor necrosis factor receptor superfamily member 9,0.2478,Y,"Cell membrane, Membrane",N,Not confident,none,True,True,0.7246
0.698,N,0.234,Developmental protein,LRIG3,Q6UXM1,Leucine-rich repeats and immunoglobulin-like domains protein 3,0.3057,N,"Cell membrane, Cytoplasmic vesicle, Membrane",N,Not confident,none,True,True,0.698
0.6978,N,0.219,"Hydrolase, Lipid degradation, Lipid metabolism, Transducer",PLCH2,O75038,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2",0.3313,N,"Cell membrane, Cytoplasm, Membrane",N,Not confident,none,True,True,0.6978
0.675,N,0.223,NA,REM2,Q8IYK8,GTP-binding protein REM 2,0.5166,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.675
