den_no,product_name,product_code,classification_name,classification_def,specialty,decision_date,tier_note,fda_link
DEN000007,QUANTA LITE ASCA (S. CEREVISIAE) IGG ELISA,NBT,"Antibodies, Saccharomyces Cerevisiae (S.Cerevisiae)",,IM,2000-08-16,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN000007
DEN000010,TRIAGE B-TYPE NATRIURETIC PEPTIDE (BNP) TEST,NBC,"Test, Natriuretic Peptide",,CH,2000-11-20,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN000010
DEN030001,NIOX ARTICLE NO: 02-1000,MXA,"System, Test, Breath Nitric Oxide",,TX,2003-04-30,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN030001
DEN030002,ENDOTOXIN ACTIVITY ASSAY (EAA) DEVICE,NGS,"Assay, Endotoxin Activity, Chemiluminescent",,MI,2003-06-16,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN030002
DEN030004,WEST NILE VIRUS IGM CAPTURE ELISA,NOP,"Elisa, Antibody, West Nile Virus",The West Nile Virus ELISA is intended for the detection of IgG and IgM antibodies to West Nile Virus. Specimens may be serum or cerebral spinal fluid from symptomatic patients.,MI,2003-07-08,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN030004
DEN030005,FACTOR V LEIDEN KIT,NPQ,"Test, Factor V Leiden Mutations, Genomic Dna Pcr","In vitro diagnostic test to detect the Factor V Leiden mutation in genomic DNA, as an aid to diagnosis in the evaluation of patients with suspected thrombophilia.",PA,2003-12-17,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN030005
DEN040001,CELLSEARCH EPITHELIAL CELL ENRICHMENT KIT; CELLSPOTTER SYSTEM,NQI,"System, Immunomagnetic, Circulating Cancer Cell, Enumeration",In vitro diagnostic device to aid in the enumeration of immunomagnetically selected and fluorescently identified circulating tumor cells of epithelial origin in whole blood for prediction of cancer progression and survival.,PA,2004-01-21,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN040001
DEN040002,"NEOGRAM AMINO ACIDS AND ACYLCARNITINES TANDEM MASS SPECTROMETRY KIT, MODEL MS-8970",NQL,"System, Test, Amino Acids, Free Carnitines And Acylcarnitines Tandem Mass Spectrometry","Amino acids, free carnitines and acylcarnitines test system is intended for the measurement and evaluation of amino acid, free carnitine and acylcarnitine concentrations from newborn whole blood filter paper samples. The quantitative analysis of the amino acids, free carnitines and acylcarnitines and their relationship with each other is intended to provide analyte concentration profiles that should aid in identifying elevated levels of these metabolites for screening newborns for one or more of several metabolic disorders.",CH,2004-08-24,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN040002
DEN040003,GLUCATELL,NQZ,"Antigen, Invasive Fungal Pathogens","Invasive fungal pathogen assays are devices that consist of antigens, antisera, or proteases used in serological assays for the presumptive diagnosis of fungal infection in serum or plasma.  The assay is indicated for use in patients with symptoms of, or medical conditions predisposing the patient to invasive fungal infection.  The device can be used as an aid in the diagnosis of deep seated mycoses and fungemias.  A positive result does not indicate which class of fungi may be causing infection. The assays should be used in conjunction with other diagnostic procedures, such as microbiological culture, histological examination of biopsy samples and radiological examination.",MI,2004-05-21,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN040003
DEN040008,CEDIA SIROLIMUS ASSAY,NRP,Sirolimus Test System,Sirolimus test systems are intended for the quantitative measurement of sirolimus in whole blood as an aid in management of transplant patients taking this sirolimus.,CH,2004-07-28,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN040008
DEN040010,VYSIS AUTOVYSION SYSTEM,NTH,"System, Automated Scanning Microscope And Image Analysis For Fluorescence In Situ Hybridization (Fish) Assays",,PA,2004-12-13,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN040010
DEN040011,"AMPLICHIP CYP450 TEST, MODEL 04381866190",NTI,Drug Metabolizing Enzyme Genotyping Systems,Intended to identify the presence or absence of human genotypic markers encoding drug metaboizing enzymes using dna originating from clinical samples. This type of assay can be used as an aid determining treatment choice and individualizing treatment dose for therapeutics that are metabolized primarily by the specific enzyme tested by the system.,CH,2004-12-23,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN040011
DEN040012,AFFYMETRIX GENECHIP MICROARRAY INSTRUMENTATION SYSTEM,NSU,Instrumentation For Clinical Multiplex Test Systems,"Instrumentation for clinical multiplex test systems is a device that is intended to measure and sort multiple signals generated by an assay from a clinical sample.  The generated signals from multiple probes or other ligands may be measured by fluorescence, luminescence, or other physical or chemical properties.  The device may integrate scanning, reagent handling, hybridization, washing, dedicated instrument control, data acquisition software, raw data storage mechanisms and other essential hardware components along with the signal reader unit.  This instrumentation is used with specific assays to comprise an assay test system to measure multiple analytes of a similar chemical nature for de",TX,2004-12-23,配套器械／软件／质控：不计作独立marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN040012
DEN050002,"LBA AFP-L3, AFP-L3 CALIBRATOR SET, AFP-L3 CONTROL SET AND LIBASYS",NSF,"Test, Alpha Fetoprotein L3 Subfraction (Afp-L3%), For Hepatocellular Carcinoma Risk Assessment",In vitro diagnostic test intended as a risk assessment test for the development of hepatocellular carcinoma (hcc) in patients with chronic liver diseases (cld).  Elevated afpl3% values (= 10%) have been shown to be associated with a nine-fold increase in the risk of developing hcc in the next 6-12 months.  Patients with elevated serum afpl3% should be more intensely evaluated for evidence of hcc according to the existing hcc practice guidelines in oncology.,IM,2005-05-19,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN050002
DEN050003,PAXGENE BLOOD RNA SYSTEM,NTW,"System, Blood Collection, Rna Stabilization, Rna Purification, Rt-Pcr Molecular Diagnostic Test","System for collection, storage, and transport of whole blood and stabilization of intracellular rna with subsequent isolation and purification of host rna for rt-pcr used in molecular diagnostic testing",PA,2005-04-18,配套器械／软件／质控：不计作独立marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN050003
DEN050004,TAG-IT CYSTIC FIBROSIS KIT,NUA,"System, Cystic Fibrosis Transmembrane Conductance Regulator, Gene Mutation Detection","The cftr gene mutation detection system is a device used to simultaneously detect and identify a panel of mutations and variants in the cftr gene.  It is intended as an aid in confirmatory diagnostic testing of individuals with suspected cystic fibrosis (cf), carrier identification, and newborn screening.  This device is not intended for stand-alone diagnostic purposes, prenatal diagnostic, pre-implantation or population screening.",PA,2005-05-09,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN050004
DEN060001,PHICAL TEST,NXO,"Calprotectin, Fecal","The device is used for the measurement, in human stool, of fecal calprotectin, a neutrophilic protein that is a marker of mucosal inflammation.  The device can be used as an aid in the diagnosis of inflammatory bowel disease (ibd), crohn's disease and ulcerative colitis and to differentiate ibd from irritable bowel syndrome.",IM,2006-04-26,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN060001
DEN060007,INTROL CF PANEL I CONTROL,NZB,"Quality Control Material, Genetics, Dna",Dna quality control material for genetic testing is a device intended for medical purposes for use in a test system to estimate test precision and to detect systematic analytical deviations that may arise from reagent or analytical instrument variation.  This type of device includes synthetic dna controls and cell-line based controls.,PA,2006-10-12,配套器械／软件／质控：不计作独立marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN060007
DEN060008,INFLUENZA A/H5 (ASIAN LINEAGE) VIRUS REAL-TIME RT-PCR PRIMER AND PROBE SET,NXD,"Nucleic Acid Amplification, Novel Influenza A Virus, A/H5 (Asian Lineage) Rna","Novel influenza a virus reagents are used in nucleic acid amplification tests to directly detect and differentiate novel influenza a virus specific rna gene segments in human respiratory specimens or viral cultures. Detection and differentiation of specific rna gene segments aids in the diagnosis of influenza caused by novel influenza a viruses in patients with clinical and epidemiological risk of infection with these viruses. They also aid in the presumptive identification of specific novel influenza a viruses and provide epidemiological information on influenza. These reagents are primers and probes, along with a specific novel influenza virus control.",MI,2006-02-03,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN060008
DEN070001,NON-VARIOLA ORTHOPOXVIRUS REAL-TIME PCR PRIMER AND PROBE SET,PBK,Non-Variola Orthopoxvirus Real-Time Pcr Primer And Probe Set,In vitro qualitative detection of non-variola Orthopoxvirus nucleic acids extracted from human specimens or viral culture.,MI,2018-09-21,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN070001
DEN070004,"XPERT EV, MODEL GXEV-100N-10; GENEXPERT DX SYSTEM, MODELS P/N 900-0144, 900-0145, 900-0146, 900-0065",OAI,"Assay, Enterovirus Nucleic Acid","Consists of primers, probes, enzymes and controls for the amplification and detection of enterovirus RNA in cerebrospinal fluid (CSF) from individuals who have signs and symptoms consistent with meningitis or meningoencephalitis.  The detection of enterovirus RNA, in conjunction with other laboratory tests, aids in the clinical laboratory diagnosis of viral meningitis caused by enterovirus.",MI,2007-03-16,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN070004
DEN070006,"BINAX NOW MALARIA TEST; MODEL 660-000, 660-XXX",OAX,Plasmodium Spp. Detection Reagents,For the detection of plasmodium spp. Antigens in venous or capillary whole blood.  To aid in the diagnosis of human malaria infections and/or to aid in the differential diagnosis of plasmodium falciparum infections from other less virulent plasmodium species.,MI,2007-06-13,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN070006
DEN070009,MAMMAPRINT,NYI,"Classifier, Prognostic, Recurrence Risk Assessment, Rna Gene Expression, Breast Cancer","A device which uses a gene expression profile of a breast cancer tumor, from patients stage i or stage ii lymph node negative, with a tumor size of <5.0 cm, to provide a risk assessment for distant recurrence of breast cancer.  The result is indicated for use only as a prognostic marker by physicians along with a number of other factors to assess the risk of recurrence of breast cancer.",PA,2007-02-06,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN070009
DEN070013,ID-TAG RESPIRATORY VIRAL PANEL,OCC,Respiratory Virus Panel Nucleic Acid Assay System,"A respiratory viral panel multiplex nucleic acid assay is a qualitative in vitro diagnostic device intended to simultaneously detect and identify multiple viral nucleic acids extracted from human respiratory specimens or viral culture.  The detection and identification of a specific viral nucleic acid from individuals exhibiting signs and symptoms of respiratory infection aids in the diagnosis of respiratory viral infection when used in conjunction with other clinical and laboratory findings.  The device is intended for detection and identification of a combination of the following viruses:  Influenza A and Influenza B, Influenza A subtype H1 and Influenza A subtype H3, Respiratory Syncytial Virus subtype A and Respiratory Syncytial Virus subtype B, Parainfluenza 1, Parainfluenza 2, and Parainfluenza 3 virus, Human Metapneumovirus, Rhinovirus, and Adenovirus.",MI,2008-01-03,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN070013
DEN080007,ALLOMAP MOLECULAR EXPRESSION TESTING,OJQ,Cardiac Allograft Gene Expression Profiling Test System,"In vitro diagnostic multivariate index assay (ivdmia) test service, performed in a single laboratory, for assessing the gene expression profile of rna isolated from peripheral blood mononuclear cells (pbmc) and indicated for use to aid in the identification of heart transplant recipients with stable allograft function who have a low probability of moderate/severe acute cellular rejection (acr) at the time of testing in conjunction with standard clinical assessment.",CH,2008-08-26,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN080007
DEN090004,OVA1 TEST,ONX,Ovarian Adnexal Mass Assessment Score Test System,"An ovarian/adnexal mass assessment test is a devicem that measures one or more proteins in serum.  It yields a single result for the likelihood that an adnexal pelvic mass in a woman, for whom surgery is planned, is malignant.  The test isn for adjunctive use, in teh context of a negative primary clinical and radiological evaluation, to augmrent the identification of patienets whose gynecologic surgery requires oncology expertise and resources.",IM,2009-09-11,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN090004
DEN100020,DENV DETECT IGM CAPTURE ELISA,OSU,Dengue Serological Reagents,"Dengue virus serological reagents are devices that consist of antigens and antisera for the detection of anti-dengue antibodies, individuals that have signs and symptoms consistent with dengue. The detection aids in the clinical laboratory diagnosis of dengue fever or dengue hemorrhagic fever caused by dengue  virus. The device is intended for use in the presumptive diagnosis of patients in conjunction with other clinical and laboratory findings.",MI,2011-04-08,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN100020
