marker_id,category_cn,label,tier,n_510k,n_denovo,n_pma,link_status,ex_510k,ex_denovo,ex_pma,clia_analyte_id,n_clia,clia_doc_examples,notes,official_link,source
M0001,临床生化,"1,25-Dihydroxyvitamin D (1,25-(OH)2D)",分析物／抗原／病原体标签,4,0,0,已关联历史获准记录（目录／数据库级）,K014030; K042519; K051110,,,810,8,CDC000197; CR140189; CR220412; CR260395; K014030,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K014030,catalog_v1
M0002,临床生化,"1,5-Anhydroglucitol",分析物／抗原／病原体标签,1,0,0,已关联历史获准记录（目录／数据库级）,K031604,,,465,9,CR160715; CR170242; CR180033; CR190431; K031604,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K031604,catalog_v1
M0003,临床生化,1-Methylhistidine,分析物／抗原／病原体标签,2,0,0,已关联历史获准记录（目录／数据库级）,K925093; K943978,,,552,2,K925093; K943978,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K925093,catalog_v1
M0004,内分泌与生殖,17 alpha-OH Progesterone,分析物／抗原／病原体标签,8,0,0,已关联历史获准记录（目录／数据库级）,K050960; K060452; K062534,,,510,10,CR150494; E990024; K050960; K060452; K062534,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K050960,catalog_v1
M0005,内分泌与生殖,17 Ketosteroid,分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,818,1,CDC000246,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0006,内分泌与生殖,17 OH progesterone,分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,748,5,CDC000090; CDC000091; CR250637; CR260395; CR260396,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0007,内分泌与生殖,"17 OH progesterone, neonatal",分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,749,2,CDC000090; CDC000325,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0008,免疫与自身免疫,21-hydroxylase antibody (21-OHAb),抗体／免疫反应性,1,0,0,已关联历史获准记录（目录／数据库级）,K121046,,,1000,2,CR180183; K121046,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K121046,catalog_v1
M0009,内分泌与生殖,25-hydroxyvitamin D (25-OH-D),分析物／抗原／病原体标签,17,0,0,已关联历史获准记录（目录／数据库级）,K012367; K021163; K032844,,,380,74,CR140081; CR140119; CR140128; CR140154; CR140328,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K012367,catalog_v1
M0010,临床生化,2’-deoxyadenosine (D-ADO),分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,1111,2,CR170626; CR190676,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
