record_id,use_or_organism,product_name,manufacturer,submission_no,pathway,status_note,fda_link
NAT001,Acute Myeloid Leukemia,Vysis D7S486/CEP 7 FISH Probe Kit,Abbott Molecular Inc.,K131508,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K131508
NAT002,Acute Myeloid Leukemia,Vysis EGR1 FISH Probe Kit,Abbott Molecular Inc.,K091960; K123951,510(k); 历史K号：路径待核对,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K091960
NAT003,Acute Myeloid Leukemia,LeukoStrat CDx FLT3 Mutation Assay,"INVIVOSCRIBE TECHNOLOGIES, INC",P160040,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P160040
NAT004,Acute Myeloid Leukemia,Abbott RealTime IDH2,"ABBOTT MOLECULAR, INC.",P170005,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P170005
NAT005,Acute Myeloid Leukemia,Abbott RealTime IDH1,"ABBOTT MOLECULAR, INC.",P170041,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P170041
NAT006,Acute Myeloid Leukemia or Myelodysplastic Syndrome,VYSIS EGR1 FISH PROBE KIT - SC (SPECIMEN CHARACTERIZATION,"ABBOTT MOLECULAR, INC.",DEN130010,De Novo,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN130010
NAT007,Aggressive Systemic Mastocytosi,KIT D816V ASSAY,ARUP LABARATORIES,H140006,,HDE：范围外,https://www.fda.gov/medical-devices/in-vitro-diagnostics/nucleic-acid-based-tests
NAT008,Autosomal Recessive Carrier Screening,23ANDME PERSONAL GENOME SERVICE,23andMe,DEN140044,De Novo,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN140044
NAT009,B-cell chronic lymphocytic leukemia,VYSIS CLL FISH PROBE KIT,"ABBOTT MOLECULAR, INC",K100015,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K100015
NAT010,B-cell chronic lymphocytic leukemia,VYSIS CLL FISH PROBE KIT,"ABBOTT MOLECULAR, INC",P150041,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P150041
