pma_no,product_name,generic_name,product_code,classification_def,decision_date,decision_code,n_records,status_note,approval_order_excerpt,fda_link
P000010,AMPLICOR HEPATITIS C VIRUS (HCV) TEST VERSION 2.0,"Assay, hybridization and/or nucleic acid amplification for detection of hepatitis c rna,hepatitis c virus",MZP,,2001-07-05,APWD,23,存在原始PMA撤回记录,"APPROVAL FOR THE AMPLICOR HEPATITIS C VIRUS (HCV) TEST, V2.0.  THE DEVICE IS INDICATED FOR: THE QUALITATIVE DETECTION OF HCV RNA IN HUMAN SERUM OR PLASMA FROM BLOOD COLLECTED IN EDTA (EDTA PLASMA).  THE TEST DETECTS BY REVERSE-TRANSCRIBING TARGET HCV RNA INTO CDNA, AMPLIFYING CDNA BY POLYMERASE CHAIN REACTION (PCR), HYBRIDIZING AMPLIFIED CDNA WITH AN OLIGONUCLEOTIDE PROBE THAT BINDS ENZYME, AND CATALYZING CONVERSION OF SUBSTRATE TO A COLORED PRODUCT THAT IS RECOGNIZED BY A MICROWELL PLATE READER.  THE AMPLICOR HCV TEST, V2.0 IS INDICATED FOR PATIENTS WHO HAVE EVIDENCE OF LIVER DISEASE AND ANTIBODY EVIDENCE OF HCV INFECTION, AND WHO ARE SUSPECTED TO BE ACTIVELY INFECTED WITH HCV.  DETECTION OF HCV RNA INDICATES  THAT THE VIRUS IS REPLICATING AND THEREFORE IS EVIDENCE OF ACTIVE INFECTION.",https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P000010
P000012,"COBAS AMPLICOR (TM) HEPATITIS C VIRUS (HCV) TEST, V2.0","Assay, hybridization and/or nucleic acid amplification for detection of hepatitis c rna,hepatitis c virus",MZP,,2001-07-03,APWD,52,存在原始PMA撤回记录,"APPROVAL FOR THE COBAS AMPLICOR HEPATITIS C VIRUS (HCV) TEST, V2.0.  THE DEVICE IS INDICATED FOR: THE QUALITATIVE DETECTION OF HCV RNA IN HUMAN SERUM OR PLASMA FROM BLOOD COLLECTED IN EDTA (EDTA PLASMA).  THE TEST DETECTS BY REVERSE-TRANSCRIBING TARGET HCV RNA INTO CDNA, AMPLIFYING CDNA BY POLYMERASE CHAIN REACTION (PCR), HYBRIDIZING AMPLIFIED CDNA WITH AN OLIGONUCLEOTIDE PROBE THAT BINDS ENZYME, AND CATALYZING CONVERSION OF SUBSTRATE TO A COLORED PRODUCT THAT IS RECOGNIZED BY THE COBAS AMPLICOR ANALYZER.  THE COBAS AMPLICOR HCV TEST, V2.0 IS INDICATED FOR PATIENTS WHO HAVE EVIDENCE OF LIVER DISEASE AND ANTIBODY EVIDENCE OF HCV INFECTION, AND WHO ARE SUSPECTED TO BE ACTIVELY INFECTED WITH HCV.  DETECTION OF HCV RNA INDICATES THAT THE VIRUS IS REPLICATING AND THEREFORE IS EVIDENCE OF ACTIVE HCV INFECTION.",https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P000012
P000014,VITROS IMMUNODIAGNOSTIC PRODUCTS:ANTI-HBS REAGENT PACK/ANTI-HBS CALIBRATORS,Qualitative and Quantitative Hepatitis B Virus Antibody assays,SEI,In vitro diagnostic devices intended for use in the detection of antibodies to HBV. These devices are intended to aid in the diagnosis of HBV infection in persons with signs and symptoms of hepatitis and in persons at risk for HBV infection. Anti-HBs assay results may be used as an aid in the determination of susceptibility to HBV infection in individuals prior to or following HBV vaccination or when vaccination status is unknown.,2000-09-29,APRL,37,历史记录；未核实当前销售状态,"APPROVAL FOR THE VITROS IMMUNODIAGNOSTIC PRODUCTS ANTI-HBS REAGENT PACK AND CALIBRATORS.  THE DEVICE IS INDICATED FOR:  THE QUALITATIVE IN VITRO DETERMINATION OF TOTAL ANTIBODY TO HEPATITIS B SURFACE ANTIGEN (ANTI-HBS) IN HUMAN SERUM USING THE VITROS ECI IMMUNODIAGNOSTIC SYSTEM.  ASSAY RESULTS MAY BE USED AS AN AID IN THE DETERMINATINO OF SUSCEPTIBILITY TO HEPATITIS B VIRUS (HBV) INFECTION FOR INDIVIDUALS PRIOR TO OR FOLLOWING HBV VACCINATION, OR WHERE VACCINATION STATUS IS UNKNOWN.  ASSAY RESULTS MAY BE USED WITH OTHER HBV SEROLOGICAL MARKERS FOR THE LABORATORY DIAGNOSIS OF HBV DISEASE ASSOCIATED WITH HBV INFECTION.  A REACTIVE ASSAY RESULT WILL ALLOW A DIFFERENTIAL DIAGNOSIS IN INDIVIDUALS DISPLAYING SIGNS AND SYMPTOMS OF HEPATITIS IN WHOM ETIOLOGY IS UNKNOWN.",https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P000014
P000021,DIMENSION(R) RXL PSA FLEX(R) REAGENT CARTRIDGE,PROSTATE-SPECIFIC ANTIGEN (PSA) FOR MANAGEMENT OF PROSTATE CANCERS,LTJ,,2001-07-05,APPR,46,历史记录；未核实当前销售状态,APPROVAL FOR THE DIMENSION(R) RXL PSA FLEX(R) REAGENT CARTRIDGE.  THE DEVICE IS INDICATED FOR THE FOLLOWING:  THE PSA METHOD FOR THE DIMENSION(R) CLINICAL CHEMISTRY SYSTEM WITH THE HETEROGENEOUS IMMUNOASSAY MODULE IS AN IN VITRO DIAGNOSTIC TEST INTENDED TO QUANTITATIVELY MEASURE PROSTATE SPECIFIC ANTIGEN (PSA) IN HUMAN SERUM:  1) AS AN AID IN THE DETECTION OF PROSTATE CANCER WHEN USED IN CONJUNCTION WITH DIGITAL RECTAL EXAM (DRE) IN MEN AGED 50 YEARS OR OLDER.  PROSTATE BIOPSY IS REQUIRED FOR THE DIAGNOSIS OF CANCER.  2) AS AN AID IN THE MANAGEMENT (MONITORING) OF PROSTATE CANCER PATIENTS.,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P000021
P000027,ELECSYS FREE PSA IMMUNOASSAY/CALSET/CALCHECK,PROSTATE-SPECIFIC ANTIGEN (PSA) FOR MANAGEMENT OF PROSTATE CANCERS,LTJ,,2000-12-12,APPR,43,历史记录；未核实当前销售状态,"APPROVAL FOR THE ELECSYS(R) FREE PSA IMMUNOASSAY FOR ELECSYS 1010 AND 2010 IMMUNOASSAY ANALYZERS.  THE DEVICE IS INDICATED FOR: THE IN VITRO QUANTITATIVE DETERMINATION OF FREE PROSTATE-SPECIFIC ANTIGEN IN HUMAN SERUM AND PLASMA.  THE ELECSYS FREE PSA IMMUNOASSAY IS INDICATED FOR MEASUREMENT OF FPSA IN CONJUNCTION WITH THE ELECSYS TOTAL PSA ASSAY TO DEVELOP A RATIO (% FPSA) OF FPSA TO TPSA.  THIS RATIO IS USEFUL WHEN USED IN CONJUNCTION WITH THE ELECSYS TOTAL PSA TEST AS AN AID IN DISTINGUISHING PROSTATE CANCER FROM BENIGN PROSTATIC CONDITIOND IN MEN AGE 50 YEARS OR OLDER WHO HAVE A DIGITAL RECTOAL EXAMINATION (DRE) THAT IS NOT SUSPICIOUS FOR PROSTATE CANCER AND AN ELECSYS TOTAL PSA VALUE IN THE RANGE 4 NG/ML TO 10 NG/ML.  PROSTATE BIOPSY IS REQUIRED FOR THE DIAGNOSIS OF PROSTATE CANCER.  THE ELECTROCHEMILUMINESCENE IMMUNOASSAY ""ECLIA"" IS INTENDED FOR USE ON THE ROCHE ELECSYS 1010 AND 2010 IMMUNOASSAY ANALYZERS.",https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P000027
P000044,"VITROS IMMUNODIAGNOSTIC PRODUCTS/HBSAG REAGENT PACK,VITROS IMMUNODIAGNOSTIC PRODUCTS CONFIRMATORY KIT, AND VITROS IMMUNR","Test, Hepatitis B (B Antigen, B Surface Antigen, Be Antigen)",LOM,In vitro diagnostic device intended for aid in the diagnosis of chronic or acute HBV infection. HBV surface antigen (HbsAg) is also used for screening of HBV infection in pregnant women to identify neonates who are at risk of acquiring hepatitis B during perinatal period.,2001-04-27,APRL,41,历史记录；未核实当前销售状态,"APPROVAL FOR THE VITROS IMMUNODIAGNOSTIC PRODUCTS HBSAG REAGENT PACK, VITROS IMMUNODIAGNOSTIC PRODUCTS CONFIRMATORY KIT, AND VITROS IMMUNODIAGNOSTIC PRODUCTS CALIBRATOR.  THE VITROS IMMUNODIAGNOSTICS HBSAG REAGENT PACK IS INDICATED FOR THE IN VITRO QUALITATIVE DETECTION OF HEPATITIS B SURFACE ANTIGEN (HBSAG) IN HUMAN SERUM AND PLASMA (HEPARIN, EDTA, AND SODIUM CITRATE) USING THE VITROS ECI IMMUNODIAGNOSTIC SYSTEM.  ASSAY RESULTS, IN CONJUNCTION WITH OTHER SEROLOGICAL AND CLINICAL INFORMATION, MAY BE USED FOR THE LABORATORY DIAGNOSIS OF INDIVIDUALS WITH ACUTE OR CHRONIC HEPATITIS B.  IN ADDITION, THIS ASSAY MAY BE USED TO SCREEN FOR HEPATITIS B INFECTION IN PREGNANT WOMEN TO IDENTIFY NEONATES WHO ARE AT HIGH RISK OF ACQUIRING HBV DURING THE PERINATAL PERIOD.  THE VITROS IMMUNODIAGNOSTIC PRODUCTS HBSAG CALIBRATOR IS INDICATED FOR USE IN THE CALIBRATION OF THE VITROS IMMUNODIAGNOSTIC SYSTEM FOR THE QUALITATIVE IN VITRO DETERMINATION OF HEPATITIS B SURFACE ANTIGEN (HBSAG) IN HUMAN SERUM OR〔节选〕",https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P000044
P010007,IMMULITE/IMMULITE 1000 AFP AND IMMULITE 2000/IMMULITE 2500 AFP,"KIT, TEST, ALPHA-FETOPROTEIN FOR NEURAL TUBE DEFECTS",LOK,,2001-11-09,APPR,22,历史记录；未核实当前销售状态,APPROVAL FOR IMMULITE AFP FOR USE WITH THE IMMULITE ANALYZER  AND IMMULITE 2000 AFP FOR USE WITH THE IMMULITE 2000 ANALYZER.  THESE DEVICES ARE INDICATED FOR IN VITRO DIAGNOSTIC USE FOR THE QUANTITATIVE MEASUREMENT OF ALPHA-FETOPROTEIN (AFP) IN EITHER OF TWO CONTEXTS:  A)  SERIAL MEASUREMENTS IN HUMAN SERUM TO AID IN THE MANAGEMENT OF PATIENTS WITH NONSEMINOMATOUS TESTICULAR CANCER: OR  B) MEASUREMENT IN MATERNAL SERUM AND AMNIOTIC FLUID DURING GESTATIONAL WEEKS 15 THROUGH 20 - USED IN CONJUNCTION WITH ULTRASONOGRAPHY OR AMNIOGRAPHY - TO AID IN DETECTION OF FETAL OPEN NEURAL TUBE DEFECTS.,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P010007
P010021,VITROS IMMUNODIAGNOSTIC PRODUCTS ANTI-HCV REAGENT PACK AND CALIBRATOR,"Assay, enzyme linked immunosorbent, hepatitis c virus",MZO,,2001-08-30,APRL,33,历史记录；未核实当前销售状态,"APPROVAL FOR THE VITROS IMMUNODIAGNOSTIC PRODUCTS ANTI-HCV REAGENT PACK AND VITROS IMMUNODIAGNOSTIC PRODUCTS ANTI-HCV CALIBRATOR.  THESE DEVICES ARE INDICATED FOR: THE VITROS IMMUNODIAGNOSTIC PRODUCTS ANTI-HCV REAGENT PACK IS INDICATED FOR THE IN VITRO QUALITATIVE DETECTION OF IMMUNOGLOBULIN G ANTIBODY TO HEPATITIS C VIRUS (ANTI-HCV) IN HUMAN SERUM AND PLASMA (HEPARIN, EDTA AND SODIUM CITRATE) USING THE VITROS ECI IMMUNODIAGNOSTIC SYSTEM.  THREE RECOMBINANT HEPATITIS C VIRUS ENCODED ANTIGENS ARE USED.  ASSAY RESULTS, IN CONJUNCTION WITH OTHER LABORATORY RESULTS AND CLINICAL INFORMATION, MAY BE USED TO PROVIDE PRESUMPTIVE EVIDENCE OF INFECTION WITH HEPATITIS C VIRUS (STATE OR ASSOCIATED DISEASE NOT DETERMINED) IN PERSONS WITH SIGNS OR SYMPTOMS OF HEPATITIS AND IN PERSONS AT RISK FOR HEPATITIS C INFECTION. THE VITROS IMMUNODIAGNOSTIC PRODUCTS ANTI-HCV CALIBRATOR IS INDICATED FOR USE IN THE CALIBRATION OF THE VITROS ECI IMMUNODIAGNOSTIC SYSTEM FOR THE IN VITRO QUALITATIVE DETECTION OF IMM〔节选〕",https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P010021
P010033,QUANTTFERON-TB GOLD AND TB GOLD-IN-THE-TUBE,"TEST, IMMUNITY, CELL MEDIATED, MYCOBACTERIUM TUBERCULOSIS",NCD,,2001-11-28,APPR,49,历史记录；未核实当前销售状态,APPROVAL FOR THE CELLESTIS QUANTIFERON-TB.  THE DEVICE IS INDICATED FOR USE AS AN AID IN THE DETECTION OF INFECTION WITH MYCOBACTERIUM TUBERCULOSIS.,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P010033
P010050,IMMULITE 2000 XPI HBSAG,"Test, Hepatitis B (B Antigen, B Surface Antigen, Be Antigen)",LOM,In vitro diagnostic device intended for aid in the diagnosis of chronic or acute HBV infection. HBV surface antigen (HbsAg) is also used for screening of HBV infection in pregnant women to identify neonates who are at risk of acquiring hepatitis B during perinatal period.,2002-07-26,APRL,21,历史记录；未核实当前销售状态,"APPROVAL FOR THE IMMULITE HBSAG, IMMULITE 2000 HBSAG AND IMMULITE HBSAG CONFIRMATORY KIT.  THESE DEVICES ARE INDICATED FOR:  IMMULITE HBSAG:  IMMULITE HBSAG IS A SOLID-PHASED CHEMILUMINESCENT ENZYME IMMUNOASSAY DESIGNED FOR IN VITRO USE WITH THE IMMULITE AUTOMATED IMMUNOASSAY ANALYZER FOR THE QUALITATIVE DETECTION OF HEPATITIS B SURFACE ANTIGEN (HBSAG) IN HUMAN SERUM OR PLASMA (EDTA, HEPARINIZED, CITRATE).  IT IS INTENDED FOR IN VITRO DIAGNOSTIC USE FOR THE LABORATORY DIAGNOSIS OF ACUTE AND CHRONIC HEPATITIS B VIRUS INFECTIONS IN CONJUNCTION WITH OTHER SEROLOGICAL AND CLINICAL INFORMATION.  IN ADDITION, THIS ASSAY MAY BE USED TO SCREEN FOR HEPATITIS B INFECTION IN PREGNANT WOMEN TO IDENTIFY NEONATES WHO ARE AT HIGH RISK OF ACQUIRING HBV DURING THE PERINATAL PERIOD.  IMMULITE. 2000 HBSAG: IMMULITE 2000 HBSAG IS A SOLID-PHASE CHEMILUMINESCENT ENZYME IMMUNOASSAY DESIGNED FOR IN VITRO USE WITH THE IMMULITE 2000 AUTOMATED IMMUNOASSAY ANALYZER FOR THE QUALITATIVE DETECTION OF HEPATITIS B SUR〔节选〕",https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P010050
