product_code,device_name,regulation_number,device_class,medical_specialty,review_panel,n_510k_total,definition
CAR,"Monitor, Spinal-Fluid Pressure, Electrically Powered",880.2460,2,General Hospital,HO,3,
CDA,"Acid, Nitrous And Nitrosonaphthol, 5-Hydroxyindole Acetic Acid/Serotonin",862.1390,1,Clinical Chemistry,CH,3,
CDD,"Radioassay, Vitamin B12",862.1810,2,Clinical Chemistry,CH,78,
CDF,"Acid, Vanilmandelic, Diazo, P-Nitroaniline/Vanillin",862.1795,1,Clinical Chemistry,CH,12,
CDM,"Diazonium Colorimetry, Urobilinogen (Urinary, Non-Quant.)",862.1785,1,Clinical Chemistry,CH,9,
CDN,"Urease, Photometric, Urea Nitrogen",862.1770,2,Clinical Chemistry,CH,16,
CDO,"Acid, Uric, Uricase (U.V.)",862.1775,1,Clinical Chemistry,CH,31,
CDP,"Radioimmunoassay, Total Triiodothyronine",862.1710,2,Clinical Chemistry,CH,144,
CDQ,"Urease And Glutamic Dehydrogenase, Urea Nitrogen",862.1770,2,Clinical Chemistry,CH,117,
CDR,"1-Nitroso-2-Naphthol (Fluorometric), Free Tyrosine",862.1730,1,Clinical Chemistry,CH,1,
CDS,"Electrode, Ion Specific, Urea Nitrogen",862.1770,2,Clinical Chemistry,CH,15,
CDT,"Lipase Hydrolysis/Glycerol Kinase Enzyme, Triglycerides",862.1705,1,Clinical Chemistry,CH,151,
CDW,"Diacetyl-Monoxime, Urea Nitrogen",862.1770,2,Clinical Chemistry,CH,21,
CDX,"Radioimmunoassay, Total Thyroxine",862.1700,2,Clinical Chemistry,CH,121,
CDZ,"Radioimmunoassay, Testosterones And Dihydrotestosterone",862.1680,1,Clinical Chemistry,CH,89,
CEC,"Radioimmunoassay, Free Thyroxine",862.1695,2,Clinical Chemistry,CH,92,
CEE,"Radioimmunoassay, Thyroxine-Binding Globulin",862.1685,2,Clinical Chemistry,CH,25,
CEF,"Electrophoretic, Protein Fractionation",862.1630,1,Clinical Chemistry,CH,29,
CEI,"Uranyl Acetate/Zinc Acetate, Sodium",862.1665,2,Clinical Chemistry,CH,4,
CEJ,"Tetraphenyl Borate, Colorimetry, Potassium",862.1600,2,Clinical Chemistry,CH,16,
CEK,"Biuret (Colorimetric), Total Protein",862.1635,2,Clinical Chemistry,CH,116,
CEM,"Electrode, Ion Specific, Potassium",862.1600,2,Clinical Chemistry,CH,89,
CEN,"Dye-Indicator, Ph (Urinary, Non-Quantitative)",862.1550,1,Clinical Chemistry,CH,11,
CEO,"Phosphomolybdate (Colorimetric), Inorganic Phosphorus",862.1580,1,Clinical Chemistry,CH,105,
CEP,"Radioimmunoassay, Luteinizing Hormone",862.1485,1,Clinical Chemistry,CH,143,
CET,"Olive Oil Emulsion (Turbidimetric), Lipase",862.1465,1,Clinical Chemistry,CH,15,
CEW,"Radioimmunoassay, Parathyroid Hormone",862.1545,2,Clinical Chemistry,CH,86,
CFE,"Electrophoretic, Lactate Dehydrogenase Isoenzymes",862.1445,2,Clinical Chemistry,CH,28,
CFF,"Immunoelectrophoretic, Immunoglobulins, (G, A, M)",866.5510,2,Immunology,IM,29,
CFG,"Oil Emulsion/Thymolphthalein (Titrimetric), Lipase",862.1465,1,Clinical Chemistry,CH,2,
CFH,"Tetrazolium Int Dye-Diaphorase, Lactate Dehydrogenase",862.1440,2,Clinical Chemistry,CH,13,
CFJ,"Nad Reduction/Nadh Oxidation, Lactate Dehydrogenase",862.1440,2,Clinical Chemistry,CH,111,
CFL,"Radioimmunoassay, Human Growth Hormone",862.1370,1,Clinical Chemistry,CH,36,
CFM,"Bathophenanthroline, Colorimetry, Iron (Non-Heme)",862.1410,1,Clinical Chemistry,CH,21,
CFN,"Method, Nephelometric, Immunoglobulins (G, A, M)",866.5510,2,Immunology,IM,61,
CFP,"Radioimmunoassay, Immunoreactive Insulin",862.1405,1,Clinical Chemistry,CH,27,
CFQ,"Radioimmunoassay, Immunoglobulins (G, A, M)",866.5510,2,Immunology,IM,12,
CFR,"Hexokinase, Glucose",862.1345,2,Clinical Chemistry,CH,145,
CFT,"Radioimmunoassay, Prolactin (Lactogen)",862.1625,1,Clinical Chemistry,CH,80,
CGA,"Glucose Oxidase, Glucose",862.1345,2,Clinical Chemistry,CH,401,
CGC,"Radioimmunoassay, Gastrin",862.1325,1,Clinical Chemistry,CH,10,
CGF,"Radioimmunoassay, Estrone",862.1280,1,Clinical Chemistry,CH,4,
CGI,"Radioimmunoassay, Estriol",862.1265,1,Clinical Chemistry,CH,42,
CGJ,"Radioimmunoassay, Follicle-Stimulating Hormone",862.1300,1,Clinical Chemistry,CH,88,
CGL,"Electrode, Ion Based, Enzymatic, Creatinine",862.1225,2,Clinical Chemistry,CH,8,
CGN,"Acid, Folic, Radioimmunoassay",862.1295,2,Clinical Chemistry,CH,64,
CGR,"Radioimmunoassay, Cortisol",862.1205,2,Clinical Chemistry,CH,84,
CGS,"Nad Reduction/Nadh Oxidation, Cpk Or Isoenzymes",862.1215,2,Clinical Chemistry,CH,123,
CGX,"Alkaline Picrate, Colorimetry, Creatinine",862.1225,2,Clinical Chemistry,CH,159,
CGZ,"Electrode, Ion-Specific, Chloride",862.1170,2,Clinical Chemistry,CH,38,
