# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      3.78e+01    3.85e+01      6.43e-01    7.52e-01      1.20e+00    1.22e+00    1.0e-03
    100      3.40e+01    3.41e+01      2.59e-01    1.76e-01      1.08e+00    1.08e+00    1.0e-03
    200      3.62e+01    3.67e+01      1.36e-01    2.15e-01      1.14e+00    1.16e+00    1.0e-03
    300      3.70e+01    3.64e+01      4.64e-01    5.65e-01      1.17e+00    1.15e+00    1.0e-03
    400      4.01e+01    3.63e+01      7.01e-02    2.57e-01      1.27e+00    1.15e+00    1.0e-03
    500      3.67e+01    3.68e+01      9.37e-01    1.01e+00      1.16e+00    1.16e+00    1.0e-03
    600      2.84e+01    2.80e+01      2.71e-02    4.23e-02      1.17e+00    1.15e+00    5.9e-04
    700      2.78e+01    3.08e+01      3.59e-02    5.82e-02      1.14e+00    1.26e+00    5.9e-04
    800      2.77e+01    2.84e+01      1.52e-01    1.39e-01      1.14e+00    1.17e+00    5.9e-04
    900      2.74e+01    2.78e+01      5.99e-02    1.44e-01      1.13e+00    1.14e+00    5.9e-04
   1000      2.58e+01    2.79e+01      5.67e-02    4.36e-02      1.06e+00    1.15e+00    5.9e-04
