# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      3.21e+01    3.78e+01      6.30e-01    7.50e-01      1.02e+00    1.20e+00    1.0e-03
    100      3.77e+01    3.14e+01      5.31e-01    4.70e-01      1.19e+00    9.94e-01    1.0e-03
    200      4.00e+01    3.35e+01      4.40e-01    3.86e-01      1.27e+00    1.06e+00    1.0e-03
    300      3.75e+01    3.77e+01      6.79e-01    7.65e-01      1.19e+00    1.19e+00    1.0e-03
    400      2.93e+01    3.76e+01      3.19e-02    5.59e-02      9.26e-01    1.19e+00    1.0e-03
    500      3.82e+01    4.00e+01      1.16e-02    5.62e-03      1.21e+00    1.27e+00    1.0e-03
    600      3.00e+01    2.68e+01      1.79e-02    1.84e-02      1.04e+00    9.24e-01    8.4e-04
    700      2.65e+01    3.43e+01      2.13e-02    3.10e-02      9.14e-01    1.18e+00    8.4e-04
    800      2.79e+01    3.44e+01      8.87e-02    5.65e-02      9.63e-01    1.19e+00    8.4e-04
    900      3.46e+01    3.67e+01      1.31e-01    1.26e-01      1.19e+00    1.27e+00    8.4e-04
   1000      3.67e+01    3.66e+01      1.08e-02    3.98e-02      1.27e+00    1.26e+00    8.4e-04
   1100      2.54e+01    2.38e+01      2.64e-02    3.70e-02      9.57e-01    8.96e-01    7.0e-04
   1200      3.17e+01    3.14e+01      3.81e-04    1.63e-02      1.19e+00    1.18e+00    7.0e-04
   1300      2.43e+01    2.72e+01      7.90e-02    4.12e-02      9.17e-01    1.03e+00    7.0e-04
   1400      2.68e+01    3.10e+01      6.94e-02    4.84e-02      1.01e+00    1.17e+00    7.0e-04
   1500      3.18e+01    3.15e+01      1.53e-02    2.41e-03      1.20e+00    1.19e+00    7.0e-04
   1600      2.35e+01    2.84e+01      4.37e-02    2.35e-02      9.68e-01    1.17e+00    5.9e-04
   1700      2.50e+01    2.88e+01      2.50e-02    9.51e-03      1.03e+00    1.18e+00    5.9e-04
   1800      3.07e+01    2.44e+01      4.52e-02    2.64e-02      1.26e+00    1.00e+00    5.9e-04
   1900      2.84e+01    3.08e+01      2.48e-03    7.70e-03      1.17e+00    1.27e+00    5.9e-04
   2000      2.49e+01    2.85e+01      3.55e-02    4.73e-02      1.02e+00    1.17e+00    5.9e-04
   2100      2.61e+01    2.32e+01      2.04e-03    1.45e-02      1.17e+00    1.04e+00    5.0e-04
   2200      2.63e+01    2.82e+01      3.16e-03    5.28e-04      1.18e+00    1.27e+00    5.0e-04
   2300      2.64e+01    2.26e+01      3.07e-02    2.57e-02      1.18e+00    1.01e+00    5.0e-04
   2400      2.19e+01    2.64e+01      6.94e-02    6.70e-02      9.80e-01    1.19e+00    5.0e-04
   2500      2.16e+01    2.52e+01      2.37e-02    7.75e-03      9.69e-01    1.13e+00    5.0e-04
   2600      2.07e+01    2.39e+01      1.47e-02    9.81e-03      1.01e+00    1.17e+00    4.2e-04
   2700      2.44e+01    2.58e+01      1.20e-02    4.12e-02      1.19e+00    1.26e+00    4.2e-04
   2800      2.07e+01    2.05e+01      1.02e-02    9.57e-03      1.01e+00    1.00e+00    4.2e-04
   2900      2.11e+01    2.13e+01      3.69e-02    3.32e-02      1.03e+00    1.04e+00    4.2e-04
   3000      2.42e+01    2.42e+01      1.43e-02    2.25e-02      1.18e+00    1.19e+00    4.2e-04
