cluster,rank,gene,t_stat
0,1,IL1B,114.66
0,2,S100A9,113.56
0,3,S100A8,112.9
0,4,TREM1,112.85
0,5,LYZ,112.05
0,6,CD14,111.24
0,7,NOISE15,1.63
0,8,NOISE23,1.35
1,1,TIMP1,122.87
1,2,COL1A1,121.18
1,3,COL3A1,115.16
1,4,PDGFRB,103.08
1,5,NOISE19,2.26
1,6,NOISE20,1.99
1,7,NOISE27,1.57
1,8,NOISE13,1.17
2,1,MZB1,124.96
2,2,MS4A1,124.32
2,3,CD79A,122.97
2,4,IGHG1,122.05
2,5,NOISE0,1.76
2,6,NOISE11,1.54
2,7,NOISE38,1.39
2,8,NOISE23,1.3
3,1,KRT18,114.48
3,2,KRT8,114.37
3,3,BEST4,108.66
3,4,EPCAM,108.45
3,5,NOISE7,2.7
3,6,NOISE16,2.06
3,7,NOISE30,2.06
3,8,NOISE3,1.7
4,1,CD3E,119.18
4,2,IL17A,118.85
4,3,CD3D,118.43
4,4,CD8A,113.53
4,5,NOISE6,2.5
4,6,NOISE9,2.37
4,7,NOISE26,2.07
4,8,NOISE29,2.03
5,1,IL13RA2,106.15
5,2,CXCL10,105.64
5,3,CXCL13,105.37
5,4,TNF,104.17
5,5,TNFRSF11B,104.11
5,6,OSM,104.01
5,7,IL11,103.03
5,8,CXCL9,102.67
