gene	assoc	centrality	meas	attribution	rwr	in_m1_core	in_rwr_top
TARDBP	0.844	0.496	0.30	0.217	0.0916	1	1
FUS	0.840	0.406	0.30	0.206	0.0769	1	1
SOD1	0.887	0.267	0.30	0.201	0.0735	1	1
UBQLN2	0.831	0.281	0.30	0.192	0.0312	1	1
TBK1	0.828	0.215	0.30	0.184	0.0568	1	1
SQSTM1	0.818	0.219	0.30	0.183	0.0277	1	1
OPTN	0.784	0.267	0.30	0.181	0.0689	1	1
VCP	0.801	0.225	0.30	0.180	0.0240	1	1
VAPB	0.796	0.213	0.30	0.178	0.0244	1	1
DCTN1	0.805	0.168	0.30	0.175	0.0190	1	1
CHMP2B	0.779	0.196	0.30	0.172	0.0190	1	1
ALS2	0.781	0.191	0.30	0.172	0.0234	1	1
SETX	0.794	0.150	0.30	0.171	0.0193	1	1
FIG4	0.794	0.148	0.30	0.170	0.0163	1	0
C9orf72	0.658	0.370	0.30	0.167	0.0735	1	1
MATR3	0.735	0.151	0.30	0.159	0.0161	1	0
ATXN2	0.683	0.247	0.30	0.159	0.0583	1	1
HNRNPA1	0.679	0.148	0.30	0.148	0.0178	1	1
TIA1	0.669	0.107	0.30	0.142	0.0125	1	0
NEFH	0.491	0.138	0.30	0.110	0.0223	1	1
GRN	0.474	0.080	0.30	0.101	0.0096	0	0
UNC13A	0.483	0.000	0.30	0.094	0.0000	0	0
PRPH	0.468	0.027	0.30	0.094	0.0106	0	0
CHCHD10	0.415	0.110	0.30	0.093	0.0108	0	0
TNIP1	0.433	0.027	0.30	0.087	0.0059	0	0
TMEM106B	0.402	0.053	0.30	0.084	0.0065	0	0
NEFL	0.142	0.053	0.30	0.033	0.0487	0	1
SMN1	0.121	0.054	0.30	0.029	0.0077	0	0
HTT	0.084	0.120	0.30	0.029	0.0172	0	1
STMN2	0.107	0.000	0.30	0.021	0.0000	0	0
HNRNPA3	0.052	0.080	0.30	0.019	0.0096	0	0
ENSP00000478249	0.000	0.152	0.30	0.016	0.0189	0	1
MATR3-2	0.000	0.152	0.30	0.016	0.0163	0	0
CAPRIN1	0.037	0.067	0.30	0.014	0.0083	0	0
TIAL1	0.017	0.080	0.30	0.012	0.0099	0	0
SMCR8	0.022	0.054	0.30	0.010	0.0097	0	0
RB1CC1	0.000	0.087	0.30	0.009	0.0137	0	0
TANK	0.000	0.067	0.30	0.007	0.0118	0	0
TBKBP1	0.000	0.040	0.30	0.004	0.0073	0	0
PPP3R2	0.000	0.027	0.30	0.003	0.0051	0	0
