node	rwr_score	rwr_rank	in_rwr_top13	in_s19_core	agreement
GDF15	0.090669	1	True	True	shared
ACVR2B	0.088768	2	True	True	shared
GFRAL	0.077216	3	True	True	shared
ACVR1C	0.074208	4	True	False	rwr_only
MSTN	0.071480	5	True	True	shared
INHBE	0.056812	6	True	False	rwr_only
RET	0.038833	7	True	True	shared
ACVR2A	0.037137	8	True	False	rwr_only
PSPN	0.024576	9	True	False	rwr_only
FST	0.022419	10	True	True	shared
NODAL	0.021800	11	True	False	rwr_only
ACVR1B	0.019920	12	True	False	rwr_only
ACVR1	0.018799	13	True	True	shared
TGFBR2	0.018686	14	False	False	neither
SMAD2	0.017920	15	False	False	neither
HJV	0.016739	16	False	False	neither
TGFBR1	0.016635	17	False	False	neither
SMAD4	0.016092	18	False	False	neither
SMAD3	0.015771	19	False	True	s19_only
BMPR1B	0.014656	20	False	False	neither
HAMP	0.013242	21	False	False	neither
BMP4	0.012654	22	False	False	neither
TMPRSS6	0.011811	23	False	False	neither
BMP6	0.011573	24	False	False	neither
INHBA	0.011391	25	False	True	s19_only
INHBB	0.010954	26	False	False	neither
GDF11	0.010746	27	False	True	s19_only
TDGF1	0.010593	28	False	False	neither
GDF2	0.009218	29	False	False	neither
TSPAN4	0.009199	30	False	False	neither
GDF1	0.009197	31	False	False	neither
ACVRL1	0.008649	32	False	False	neither
SMAD9	0.008255	33	False	False	neither
INHBC	0.007238	34	False	True	s19_only
LEFTY2	0.007228	35	False	False	neither
GDF3	0.006887	36	False	False	neither
LEFTY1	0.006368	37	False	False	neither
CFC1	0.005400	38	False	False	neither
BMP5	0.005314	39	False	False	neither
FSTL3	0.005160	40	False	False	neither
BMP10	0.004773	41	False	False	neither
WFIKKN1	0.004533	42	False	False	neither
GDF5	0.004513	43	False	False	neither
WFIKKN2	0.004505	44	False	False	neither
ZIC3	0.004502	45	False	False	neither
INHA	0.004390	46	False	False	neither
IGHV3-16	0.004352	47	False	False	neither
IGHV3-43D	0.004352	48	False	False	neither
BMP8A	0.003934	49	False	True	s19_only
BMP8B	0.003862	50	False	False	neither
GDF6	0.002849	51	False	False	neither
GDF7	0.002839	52	False	False	neither
MYF5	0.002714	53	False	False	neither
LTBP3	0.002661	54	False	False	neither
BMP3	0.002597	55	False	False	neither
FNDC5	0.002414	56	False	False	neither
