gene	assoc	centrality	meas	attribution	rwr	in_m1_core	in_rwr_top
KEAP1	0.694	0.615	0.30	0.200	0.0631	1	1
KRAS	0.834	0.015	0.30	0.164	0.0316	1	1
NFE2L2	0.475	0.304	0.30	0.125	0.0784	1	1
GCLC	0.304	0.413	0.30	0.103	0.0643	1	1
LZTR1	0.383	0.262	0.30	0.102	0.0331	1	1
GSR	0.268	0.275	0.30	0.081	0.0262	1	1
CUL3	0.250	0.287	0.30	0.079	0.0487	1	1
TXNRD1	0.319	0.154	0.30	0.078	0.0195	1	1
GPX2	0.123	0.248	0.30	0.050	0.0247	1	1
GPX8	0.083	0.302	0.30	0.048	0.0223	1	1
NQO1	0.111	0.233	0.30	0.046	0.0544	1	1
HMOX1	0.097	0.185	0.30	0.038	0.0227	1	1
TXN	0.104	0.169	0.30	0.038	0.0478	1	1
GLS	0.119	0.139	0.30	0.038	0.0406	1	1
KBTBD7	0.077	0.215	0.30	0.038	0.0120	1	0
GCLM	0.000	0.319	0.30	0.033	0.0597	1	1
ENC1	0.000	0.262	0.30	0.028	0.0147	1	0
SLC7A11	0.121	0.015	0.30	0.025	0.0332	1	1
GPX7	0.000	0.239	0.30	0.025	0.0223	1	1
GGT5	0.000	0.220	0.30	0.023	0.0187	1	1
GGT6	0.000	0.218	0.30	0.023	0.0188	1	1
GGT1	0.000	0.215	0.30	0.023	0.0191	1	1
GGT7	0.000	0.215	0.30	0.023	0.0188	0	1
KBTBD6	0.000	0.215	0.30	0.023	0.0120	0	0
KBTBD8	0.000	0.215	0.30	0.023	0.0121	0	0
KCTD17	0.000	0.215	0.30	0.023	0.0120	0	0
KLHL13	0.000	0.215	0.30	0.023	0.0121	0	0
KLHL21	0.000	0.215	0.30	0.023	0.0120	0	0
KLHL25	0.000	0.215	0.30	0.023	0.0120	0	0
KLHL3	0.000	0.215	0.30	0.023	0.0121	0	0
KLHL8	0.000	0.215	0.30	0.023	0.0119	0	0
KLHL9	0.000	0.215	0.30	0.023	0.0121	0	0
TNFAIP1	0.000	0.215	0.30	0.023	0.0119	0	0
NEIL2	0.078	0.031	0.30	0.018	0.0034	0	0
GSS	0.000	0.169	0.30	0.018	0.0148	0	0
GGCT	0.000	0.139	0.30	0.015	0.0132	0	0
OPLAH	0.000	0.138	0.30	0.015	0.0139	0	0
GLS2	0.000	0.123	0.30	0.013	0.0122	0	0
SRXN1	0.000	0.109	0.30	0.011	0.0151	0	1
CRYZ	0.000	0.092	0.30	0.010	0.0126	0	0
