chembl_id,pref_name,max_phase,molecule_type,first_approval,withdrawn_flag,smiles,std_smiles,scaffold,mw
CHEMBL1098319,2-MERCAPTOETHANESULFONIC ACID,4.0,Small molecule,1988.0,False,O=S(=O)(O)CCS,O=S(=O)(O)CCS,O=S(=O)(O)CCS,142.201
CHEMBL291338,"3,3',4',5-TETRACHLOROSALICYLANILIDE",4.0,Small molecule,,True,O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O,O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O,O=C(Nc1ccccc1)c1ccccc1,351.0160000000001
CHEMBL1380,ABACAVIR,4.0,Small molecule,1998.0,False,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1,C1=CC(n2cnc3c(NC4CC4)ncnc32)CC1,286.33900000000006
CHEMBL2205807,ABAMETAPIR,4.0,Small molecule,2020.0,False,Cc1ccc(-c2ccc(C)cn2)nc1,Cc1ccc(-c2ccc(C)cn2)nc1,c1ccc(-c2ccccn2)nc1,184.242
CHEMBL3301610,ABEMACICLIB,4.0,Small molecule,2017.0,False,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc(CN3CCNCC3)cn2)n1,506.6050000000003
CHEMBL254328,ABIRATERONE,4.0,Small molecule,,False,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12,C1=C2CCCCC2C2CCC3C(c4cccnc4)=CCC3C2C1,349.51800000000003
CHEMBL271227,ABIRATERONE ACETATE,4.0,Small molecule,2011.0,False,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1,CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(c4cccnc4)=CCC32)C1,C1=C2CCCCC2C2CCC3C(c4cccnc4)=CCC3C2C1,391.5550000000001
CHEMBL3655081,ABROCITINIB,4.0,Small molecule,2021.0,False,CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,CCCS(=O)(=O)NC1CC(N(C)c2ncnc3[nH]ccc23)C1,c1nc(NC2CCC2)c2cc[nH]c2n1,323.4220000000001
CHEMBL3707348,ACALABRUTINIB,4.0,Small molecule,2017.0,False,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,CC#CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,O=C(Nc1ccccn1)c1ccc(-c2nc(C3CCCN3)n3ccncc23)cc1,465.5170000000001
CHEMBL1201293,ACAMPROSATE,4.0,Small molecule,2004.0,False,CC(=O)NCCCS(=O)(=O)O,CC(=O)NCCCS(=O)(=O)O,CC(=O)NCCCS(=O)(=O)O,181.213
CHEMBL642,ACEBUTOLOL,4.0,Small molecule,1984.0,False,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,c1ccccc1,336.4320000000001
CHEMBL70246,ACEFYLLINE,4.0,Small molecule,,False,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,238.20299999999997
CHEMBL189171,ACEMETACIN,4.0,Small molecule,,False,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,O=C(c1ccccc1)n1ccc2ccccc21,415.82900000000006
CHEMBL397420,ACENOCOUMAROL,4.0,Small molecule,,False,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,O=c1oc2ccccc2cc1Cc1ccccc1,353.33000000000004
CHEMBL112,ACETAMINOPHEN,4.0,Small molecule,1968.0,False,CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,c1ccccc1,151.165
CHEMBL269644,ACETANILIDE,4.0,Small molecule,,True,CC(=O)Nc1ccccc1,CC(=O)Nc1ccccc1,c1ccccc1,135.16599999999997
CHEMBL1330792,ACETARSONE,4.0,Small molecule,,True,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,c1ccccc1,275.092
CHEMBL20,ACETAZOLAMIDE,4.0,Small molecule,1953.0,False,CC(=O)Nc1nnc(S(N)(=O)=O)s1,CC(=O)Nc1nnc(S(N)(=O)=O)s1,c1nncs1,222.251
CHEMBL539,ACETIC ACID,4.0,Small molecule,1982.0,False,CC(=O)O,CC(=O)O,CC(=O)O,60.05200000000001
CHEMBL1589,ACETOHEXAMIDE,4.0,Small molecule,1964.0,False,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,O=C(NC1CCCCC1)NS(=O)(=O)c1ccccc1,324.4020000000001
CHEMBL734,ACETOHYDROXAMIC ACID,4.0,Small molecule,1983.0,False,CC(=O)NO,CC(=O)NO,CC(=O)NO,75.067
CHEMBL1085,ACETOPHENAZINE,4.0,Small molecule,1961.0,False,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1,411.5710000000001
CHEMBL1201045,ACETRIZOATE SODIUM,4.0,Small molecule,1982.0,False,CC(=O)Nc1c(I)cc(I)c(C(=O)[O-])c1I.O.[Na+],CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,c1ccccc1,556.863
CHEMBL667,ACETYLCHOLINE,4.0,Small molecule,1973.0,False,CC(=O)OCC[N+](C)(C)C,CC(=O)OCC[N+](C)(C)C,CC(=O)OCC[N+](C)(C)C,146.21
CHEMBL600,ACETYLCYSTEINE,4.0,Small molecule,1963.0,False,CC(=O)N[C@@H](CS)C(=O)O,CC(=O)NC(CS)C(=O)O,CC(=O)NC(CS)C(=O)O,163.198
CHEMBL6068327,ACETYLCYSTEINE LYSINE,4.0,Small molecule,2024.0,False,CC(=O)N[C@@H](CS)C(=O)O.NCCCC[C@H](N)C(=O)O,NCCCCC(N)C(=O)O,NCCCCC(N)C(=O)O,146.19
CHEMBL345714,ACIPIMOX,4.0,Small molecule,,False,Cc1cnc(C(=O)O)c[n+]1[O-],Cc1cnc(C(=O)O)c[n+]1[O-],c1c[nH+]ccn1,154.12499999999997
CHEMBL1131,ACITRETIN,4.0,Small molecule,1996.0,False,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,c1ccccc1,326.4360000000001
CHEMBL1194325,ACLIDINIUM,4.0,Small molecule,2012.0,False,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,O=C(OC1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,O=C(OC1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(c1cccs1)c1cccs1,484.66300000000024
CHEMBL3940890,ACORAMIDIS,4.0,Small molecule,2024.0,False,Cc1n[nH]c(C)c1CCCOc1cc(C(=O)O)ccc1F,Cc1n[nH]c(C)c1CCCOc1cc(C(=O)O)ccc1F,c1ccc(OCCCc2cn[nH]c2)cc1,292.31
CHEMBL1201038,ACRISORCIN,4.0,Small molecule,1982.0,False,CCCCCCc1ccc(O)cc1O.Nc1c2ccccc2nc2ccccc12,CCCCCCc1ccc(O)cc1O,c1ccccc1,194.274
CHEMBL1224,ACRIVASTINE,4.0,Small molecule,1994.0,False,Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,Cc1ccc(C(=CCN2CCCC2)c2cccc(C=CC(=O)O)n2)cc1,C(CN1CCCC1)=C(c1ccccc1)c1ccccn1,348.446
CHEMBL184,ACYCLOVIR,4.0,Small molecule,1982.0,False,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,O=c1[nH]cnc2[nH]cnc12,225.20799999999997
CHEMBL1200380,ACYCLOVIR SODIUM,4.0,Small molecule,1982.0,False,Nc1nc([O-])c2ncn(COCCO)c2n1.[Na+],Nc1nc(O)c2ncn(COCCO)c2n1,c1ncc2nc[nH]c2n1,225.20799999999994
CHEMBL4594350,ADAGRASIB,4.0,Small molecule,2022.0,False,C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N,C=C(F)C(=O)N1CCN(c2nc(OCC3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)CC1CC#N,c1ccc2c(N3CCc4c(nc(OCC5CCCN5)nc4N4CCNCC4)C3)cccc2c1,604.1299999999999
CHEMBL1265,ADAPALENE,4.0,Small molecule,1996.0,False,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,c1cc(-c2ccc3ccccc3c2)cc(C23CC4CC(CC(C4)C2)C3)c1,412.5290000000003
CHEMBL922,ADEFOVIR DIPIVOXIL,4.0,Small molecule,2002.0,False,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,c1ncc2nc[nH]c2n1,501.47700000000026
CHEMBL477,ADENOSINE,4.0,Small molecule,1989.0,False,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,c1ncc2ncn(C3CCCO3)c2n1,267.245
CHEMBL752,ADENOSINE PHOSPHATE,4.0,Small molecule,,True,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,c1ncc2ncn(C3CCCO3)c2n1,347.224
CHEMBL1173655,AFATINIB,4.0,Small molecule,2013.0,False,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1,c1ccc(Nc2ncnc3cc(OC4CCOC4)ccc23)cc1,485.94700000000023
CHEMBL10878,AGOMELATINE,4.0,Small molecule,2009.0,False,COc1ccc2cccc(CCNC(C)=O)c2c1,COc1ccc2cccc(CCNC(C)=O)c2c1,c1ccc2ccccc2c1,243.30599999999995
CHEMBL1201197,ALATROFLOXACIN,4.0,Small molecule,1997.0,True,C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21,CC(N)C(=O)NC(C)C(=O)NC1C2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)CC21,O=c1ccn(-c2ccccc2)c2nc(N3CC4CC4C3)ccc12,558.5170000000002
CHEMBL1483,ALBENDAZOLE,4.0,Small molecule,1996.0,False,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,c1ccc2[nH]cnc2c1,265.33799999999997
CHEMBL714,ALBUTEROL,4.0,Small molecule,1981.0,False,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,c1ccccc1,239.315
CHEMBL1201747,ALCAFTADINE,4.0,Small molecule,2010.0,False,CN1CCC(=C2c3ccccc3CCn3c(C=O)cnc32)CC1,CN1CCC(=C2c3ccccc3CCn3c(C=O)cnc32)CC1,c1ccc2c(c1)CCn1ccnc1C2=C1CCNCC1,307.39700000000005
CHEMBL94081,ALCLOFENAC,4.0,Small molecule,,True,C=CCOc1ccc(CC(=O)O)cc1Cl,C=CCOc1ccc(CC(=O)O)cc1Cl,c1ccccc1,226.659
CHEMBL1200989,ALCLOMETASONE DIPROPIONATE,4.0,Small molecule,1982.0,False,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@H](C)C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@@]21C)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl,CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3C(Cl)CC4=CC(=O)C=CC4(C)C3C(O)CC21C,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,521.0500000000003
CHEMBL545,ALCOHOL,4.0,Small molecule,1982.0,False,CCO,CCO,CCO,46.069
CHEMBL1738797,ALECTINIB,4.0,Small molecule,2015.0,False,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,O=C1c2ccc(N3CCC(N4CCOCC4)CC3)cc2Cc2[nH]c3ccccc3c21,482.62800000000027
CHEMBL675,ALENDRONATE SODIUM,4.0,Small molecule,1995.0,False,NCCCC(O)(P(=O)([O-])O)P(=O)(O)O.[Na+],NCCCC(O)(P(=O)(O)O)P(=O)(O)O,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,249.096
