molecule_chembl_id,pAffinity,n_meas,std_smiles,scaffold,mw,assay_group,types,n_assays,inter_assay_range
CHEMBL1097107,6.035,2,CC1=C(C)C(=O)OC(C(C)(O)C2(O)CCC3(O)C4CC5OC56CC=CC(=O)C6(C)C4CCC32C)C1,O=C1C=CCC(CC2CCC3C2CCC2C3CC3OC34CC=CC(=O)C24)O1,486.60500000000036,binding,IC50,2,0.4299999999999997
CHEMBL112,3.6,2,CC(=O)Nc1ccc(O)cc1,c1ccccc1,151.165,binding,Kd,2,0.0
CHEMBL1230189,4.41,5,CN1Cc2ccccc2NC1=O,O=C1NCc2ccccc2N1,162.19199999999995,binding,IC50|Kd,5,0.7799999999999994
CHEMBL1232461,7.17,67,CCNC(=O)CC1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,c1ccc(C2=NCc3nncn3-c3ccccc32)cc1,423.90400000000017,binding,IC50|Kd|Ki,63,1.5899999999999999
CHEMBL1233528,6.92,9,CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCC(N5CCN(CC6CC6)CC5)CC4)cc3OC)nc2N1C(C)C,O=C1CNc2nc(Nc3ccc(C(=O)NC4CCC(N5CCN(CC6CC6)CC5)CC4)cc3)ncc2N1,618.8270000000002,binding,IC50|Kd,9,1.1400000000000006
CHEMBL1241674,5.77,1,CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,c1ccc2[nH]c(-c3n[nH]c4ncncc34)cc2c1,308.345,binding,Kd,1,0.0
CHEMBL12543,2.4000000000000004,2,CN1CCCC1=O,O=C1CCCN1,99.133,binding,IC50,2,0.3599999999999999
CHEMBL1287853,6.54,5,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,c1ccc(Nc2ccnc(Nc3ccc(OCCN4CCCC4)cc3)n2)cc1,524.6910000000001,binding,IC50|Kd,5,0.8499999999999996
CHEMBL1313432,5.18,1,COc1cc(C(=O)NCCOc2ccccc2)cc(OC)c1OC,O=C(NCCOc1ccccc1)c1ccccc1,331.36800000000017,binding,IC50,1,0.0
CHEMBL1317563,7.09,1,Cn1c(=O)cc(OCCCC(=O)Nc2ccc(F)cc2)c2ccccc21,O=C(CCCOc1cc(=O)[nH]c2ccccc12)Nc1ccccc1,354.38100000000003,binding,IC50,1,0.0
CHEMBL1344420,4.81,1,Cc1ccccc1NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2C,O=C1Nc2ccc(S(=O)(=O)Nc3ccccc3)c3cccc1c23,352.4150000000001,binding,IC50,1,0.0
CHEMBL1360858,4.07,1,CC(=O)N1CCC(c2c[nH]c3ccccc23)CC1,c1ccc2c(C3CCNCC3)c[nH]c2c1,242.32199999999997,binding,Kd,1,0.0
CHEMBL1361298,5.03,1,Cc1cc(Br)ccc1NC(=O)COc1cc(=O)n(C)c2ccccc12,O=C(COc1cc(=O)[nH]c2ccccc12)Nc1ccccc1,401.26000000000016,binding,IC50,1,0.0
CHEMBL1361699,7.0,1,Oc1ccc(Cn2ccnc2)c2cccnc12,c1cc(Cn2ccnc2)c2cccnc2c1,225.251,binding,IC50,1,0.0
CHEMBL1362741,5.07,1,COC(=O)C(CC(C)C)NC(=O)c1cc(OC)c(OC)c(OC)c1,c1ccccc1,339.3880000000001,binding,IC50,1,0.0
CHEMBL1363184,5.04,1,O=c1cc(N2CCNCC2)oc2c(-c3ccccc3)cccc12,O=c1cc(N2CCNCC2)oc2c(-c3ccccc3)cccc12,306.36500000000007,binding,IC50,1,0.0
CHEMBL1381011,4.96,1,COc1ccc(C=C(NC(=O)c2ccc(C)cc2)C(=O)NCCCn2ccnc2)cc1,O=C(NCCCn1ccnc1)C(=Cc1ccccc1)NC(=O)c1ccccc1,418.4970000000001,binding,IC50,1,0.0
CHEMBL13880,5.54,1,Cc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1C,c1ccc(Oc2nccc(-c3c(-c4ccccc4)ncn3C3CCNCC3)n2)cc1,443.52600000000024,binding,IC50,1,0.0
CHEMBL14212,5.6,1,Cc1cccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1C,c1ccc(Oc2nccc(-c3c(-c4ccccc4)ncn3C3CCNCC3)n2)cc1,443.52600000000024,binding,IC50,1,0.0
CHEMBL1424006,4.4,1,CCN(CC)S(=O)(=O)c1cc(NC(=O)CN2C(=O)NC(C)(c3ccccc3)C2=O)ccc1C,O=C(CN1C(=O)NC(c2ccccc2)C1=O)Nc1ccccc1,472.56700000000023,binding,IC50,1,0.0
CHEMBL1438894,5.78,1,Cn1c(=O)cc(OCCCC(=O)NCc2ccc(F)cc2Cl)c2ccccc21,O=C(CCCOc1cc(=O)[nH]c2ccccc12)NCc1ccccc1,402.85300000000007,binding,IC50,1,0.0
CHEMBL1440525,6.2,1,COc1cccc(NC(=O)CCCOc2cc(=O)n(C)c3ccccc23)c1,O=C(CCCOc1cc(=O)[nH]c2ccccc12)Nc1ccccc1,366.41700000000003,binding,IC50,1,0.0
CHEMBL1443641,4.15,1,CC(=O)c1cn(C)c(=O)c2ccccc12,O=c1[nH]ccc2ccccc12,201.225,binding,IC50,1,0.0
CHEMBL1444120,5.6,2,Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)n(C)c(=O)n3C)c(C)c1,O=c1[nH]c2ccc(NS(=O)(=O)c3ccccc3)cc2[nH]1,345.42400000000015,binding,IC50,2,0.0
CHEMBL1452711,5.68,1,CCCOCc1ccc(O)c2ncccc12,c1ccc2ncccc2c1,217.268,binding,IC50,1,0.0
CHEMBL1454910,6.01,3,O=[N+]([O-])c1ccc(O)c2ncccc12,c1ccc2ncccc2c1,190.158,binding,IC50,3,0.0
CHEMBL14682,4.62,1,Cc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,c1ccc(Oc2nccc(-c3c(-c4ccccc4)ncn3C3CCNCC3)n2)cc1,429.4990000000002,binding,IC50,1,0.0
CHEMBL1480862,5.27,1,COc1ccc(C2=NN(C(=O)CCCC(=O)O)C(c3cn(-c4ccccc4)nc3-c3ccccc3)C2)cc1,c1ccc(C2=NNC(c3cn(-c4ccccc4)nc3-c3ccccc3)C2)cc1,508.57800000000015,binding,IC50,1,0.0
CHEMBL1481742,5.32,1,Oc1ccc(CNc2cccc(C(F)(F)F)c2)c2cccnc12,c1ccc(NCc2cccc3ncccc23)cc1,318.298,binding,IC50,1,0.0
CHEMBL1485571,6.0,1,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccccc4)ccc1c23,O=C1Nc2ccc(S(=O)(=O)Nc3ccccc3)c3cccc1c23,352.415,binding,IC50,1,0.0
