molecule_chembl_id,pAffinity,n_meas,std_smiles,scaffold,mw,assay_group,types,n_assays,inter_assay_range
CHEMBL100095,6.22,1,COCC(=O)C(CCc1ccccc1)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1,O=C(CNC(=O)OCc1ccccc1)NCCCc1ccccc1,454.5670000000003,binding,Ki,1,0.0
CHEMBL100428,6.0,1,CC(C)CC(NC(=O)OCc1ccccc1)C(=O)NC(CCc1ccccc1)C(=O)COCc1ccccc1,O=C(CNC(=O)OCc1ccccc1)NC(CCc1ccccc1)C(=O)COCc1ccccc1,530.6650000000003,binding,Ki,1,0.0
CHEMBL100482,7.52,1,CC(C)CC(NC(=O)c1ccc(CN)cc1)C(=O)NC(CCc1ccccc1)C(=O)CO,O=C(CNC(=O)c1ccccc1)NCCCc1ccccc1,439.5560000000002,binding,Ki,1,0.0
CHEMBL100563,8.64,5,CC(C)CC(NC(=O)OCc1ccccc1)C(=O)NC1CN(C(=O)C(CC(C)C)NC(=O)OCc2ccccc2)CC1=O,O=C(CNC(=O)OCc1ccccc1)NC1CN(C(=O)CNC(=O)OCc2ccccc2)CC1=O,594.7090000000003,binding,Ki,5,0.05999999999999872
CHEMBL100972,5.82,1,COc1cc(C(=O)CN2CCCCC2C(=O)NC(C=Cc2ccccc2)CC(C)C)cc(OC)c1OC,O=C(CN1CCCCC1C(=O)NCC=Cc1ccccc1)c1ccccc1,508.6590000000003,binding,IC50,1,0.0
CHEMBL101160,6.55,1,CCC(C)C(C=Cc1ccccc1)NC(=O)C1CCCCN1CC(=O)c1ccc(Cl)cc1,O=C(CN1CCCCC1C(=O)NCC=Cc1ccccc1)c1ccccc1,453.0260000000003,binding,IC50,1,0.0
CHEMBL101237,6.13,1,CCC(C)C(C=Cc1ccc(C)cc1)NC(=O)C1CCCCN1CC(=O)c1ccccc1,O=C(CN1CCCCC1C(=O)NCC=Cc1ccccc1)c1ccccc1,432.6080000000003,binding,IC50,1,0.0
CHEMBL101614,6.23,1,CCC(C)C(C=Cc1ccccc1)NC(=O)C1CCCCN1CC(=O)c1ccc2c(c1)OCO2,O=C(CN1CCCCC1C(=O)NCC=Cc1ccccc1)c1ccc2c(c1)OCO2,462.5900000000004,binding,IC50,1,0.0
CHEMBL101756,6.08,1,CC(C)CC(C=Cc1ccccc1)NC(=O)C1CCCCN1CC(=O)c1ccccc1,O=C(CN1CCCCC1C(=O)NCC=Cc1ccccc1)c1ccccc1,418.58100000000024,binding,IC50,1,0.0
CHEMBL103402,6.11,1,CC(C)C(C=Cc1ccccc1)NC(=O)C1CCCCN1CC(=O)c1ccccc1,O=C(CN1CCCCC1C(=O)NCC=Cc1ccccc1)c1ccccc1,404.55400000000014,binding,IC50,1,0.0
CHEMBL1077001,8.16,1,CCCCC(NC(=O)OC1CN(C(=O)c2ccc(-c3ccccc3)cc2)CC1(C)C)C(=O)C(=O)NC(C)c1ccccc1,O=C(NCC(=O)C(=O)NCc1ccccc1)OC1CCN(C(=O)c2ccc(-c3ccccc3)cc2)C1,583.7290000000003,binding,IC50,1,0.0
CHEMBL1077002,7.24,1,CCCCC(NC(=O)OC1CN(C(=O)Oc2ccc3ccccc3c2)CC1(C)C)C(=O)C(=O)NC(C)c1ccccc1,O=C(NCC(=O)C(=O)NCc1ccccc1)OC1CCN(C(=O)Oc2ccc3ccccc3c2)C1,573.6900000000004,binding,IC50,1,0.0
CHEMBL1077003,8.3,1,CCCCC(NC(=O)OC1CN(C(=O)Oc2ccc(-c3ccccc3)cc2)CC1(C)C)C(=O)C(=O)NC(C)c1ccccc1,O=C(NCC(=O)C(=O)NCc1ccccc1)OC1CCN(C(=O)Oc2ccc(-c3ccccc3)cc2)C1,599.7280000000003,binding,IC50,1,0.0
CHEMBL1077004,8.68,1,CCCCC(NC(=O)OC1CN(C(=O)OCc2ccc(-c3ccccc3)cc2)CC1(C)C)C(=O)C(=O)NC(C)c1ccccc1,O=C(NCC(=O)C(=O)NCc1ccccc1)OC1CCN(C(=O)OCc2ccc(-c3ccccc3)cc2)C1,613.7550000000002,binding,IC50,1,0.0
CHEMBL1077193,7.96,2,CCCc1cc(-c2cccc(C(C)(C)C)c2)nc(C#N)n1,c1ccc(-c2ccncn2)cc1,279.38699999999994,binding,IC50,2,0.0
CHEMBL1077194,7.96,1,CCCc1cc(C2CCCCCCC2)nc(C#N)n1,c1cc(C2CCCCCCC2)ncn1,257.3809999999999,binding,IC50,1,0.0
CHEMBL1077304,5.7,1,CCCn1c(=O)c(C#N)nn(-c2cccc(C(F)(F)F)c2)c1=O,O=c1cnn(-c2ccccc2)c(=O)[nH]1,324.262,binding,IC50,1,0.0
CHEMBL1077338,5.96,1,CCCn1c(=O)c(C#N)nn(CC2CCCCC2)c1=O,O=c1cnn(CC2CCCCC2)c(=O)[nH]1,276.3399999999999,binding,IC50,1,0.0
CHEMBL1077366,5.98,2,CCCc1cc(-c2ccccc2)nc(C#N)n1,c1ccc(-c2ccncn2)cc1,223.279,binding,IC50,2,0.05999999999999961
CHEMBL1078869,5.46,1,CCCn1c(=O)c(C#N)nn(-c2cccc(C)c2)c1=O,O=c1cnn(-c2ccccc2)c(=O)[nH]1,270.292,binding,IC50,1,0.0
CHEMBL1078870,7.14,1,CCCn1c(=O)c(C#N)nn(-c2cccc(C(C)C)c2)c1=O,O=c1cnn(-c2ccccc2)c(=O)[nH]1,298.346,binding,IC50,1,0.0
CHEMBL1078871,6.54,1,CCCn1c(=O)c(C#N)nn(-c2cccc(C(C)(C)C)c2)c1=O,O=c1cnn(-c2ccccc2)c(=O)[nH]1,312.37300000000005,binding,IC50,1,0.0
CHEMBL1078975,6.06,1,CCCn1c(=O)c(C#N)nn(C2CCCC2)c1=O,O=c1cnn(C2CCCC2)c(=O)[nH]1,248.28599999999992,binding,IC50,1,0.0
CHEMBL1078992,6.71,1,CCCn1c(=O)c(C#N)nn(C2CCCCC2)c1=O,O=c1cnn(C2CCCCC2)c(=O)[nH]1,262.31299999999993,binding,IC50,1,0.0
CHEMBL1078993,7.42,1,CCCn1c(=O)c(C#N)nn(C2CCCCCC2)c1=O,O=c1cnn(C2CCCCCC2)c(=O)[nH]1,276.3399999999999,binding,IC50,1,0.0
CHEMBL1078994,5.13,1,CCCCn1c(=O)c(C#N)nn(-c2cccc(C(F)(F)F)c2)c1=O,O=c1cnn(-c2ccccc2)c(=O)[nH]1,338.28900000000004,binding,IC50,1,0.0
