molecule_chembl_id,pAffinity,n_meas,std_smiles,scaffold,mw,assay_group,types,n_assays,inter_assay_range
CHEMBL154745,7.1,1,Nc1nccc2c1ncn2C1C=C(CO)C(O)C1O,C1=CC(n2cnc3cnccc32)CC1,262.269,binding,IC50,1,0.0
CHEMBL1570401,6.06,1,O=C(O)C1Nc2ccc([N+](=O)[O-])cc2C2C=CCC12,C1=CC2c3ccccc3NCC2C1,260.24899999999997,binding,IC50,1,0.0
CHEMBL1602143,4.65,1,COc1ccc2nc(Nc3nc(O)cc(CSc4nnnn4-c4ccccc4)n3)nc(C)c2c1,c1ccc(-n2nnnc2SCc2ccnc(Nc3ncc4ccccc4n3)n2)cc1,473.52200000000016,binding,IC50,1,0.0
CHEMBL1608462,5.8149999999999995,6,Cc1cc(C)c(CNC(=O)c2cc(C3CC3)nc3c2cnn3C(C)C)c(O)n1,O=C(NCc1cccnc1)c1cc(C2CC2)nc2[nH]ncc12,379.46400000000006,binding,IC50|Ki,6,1.1900000000000004
CHEMBL1895209,4.62,2,COc1cc2nc(N3CCN(C)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC,c1ccc(CN2CCC(Nc3nc(N4CCNCC4)nc4ccccc34)CC2)cc1,476.62500000000034,binding,IC50,2,0.0
CHEMBL2204995,5.54,8,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccnc(N3CCN(C)CC3)c2)cc2c1cnn2C(C)C,O=C(NCc1ccc[nH]c1=O)c1cc(-c2ccnc(N3CCNCC3)c2)cc2[nH]ncc12,541.7000000000003,binding,IC50,8,4.22
CHEMBL2204996,5.7,1,Cc1cc(C)c(CNC(=O)c2cc(-c3ccnc(N4CCN(C)CC4)c3)cc3c2cnn3C(C)C)c(=O)[nH]1,O=C(NCc1ccc[nH]c1=O)c1cc(-c2ccnc(N3CCNCC3)c2)cc2[nH]ncc12,513.6460000000004,binding,IC50,1,0.0
CHEMBL2204997,7.1,1,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(C)CC3)nc2)cc2c1cnn2C(C)C,O=C(NCc1ccc[nH]c1=O)c1cc(-c2ccc(N3CCNCC3)nc2)cc2[nH]ncc12,541.7000000000003,binding,IC50,1,0.0
CHEMBL2204998,5.92,2,Cc1cc(C)c(CNC(=O)c2cc(-c3ccc(N4CCN(C)CC4)nc3)cc3c2cnn3C(C)C)c(=O)[nH]1,O=C(NCc1ccc[nH]c1=O)c1cc(-c2ccc(N3CCNCC3)nc2)cc2[nH]ncc12,513.6460000000003,binding,IC50,2,1.1400000000000006
CHEMBL2204999,5.6,1,Cc1cc(C)c(CNC(=O)c2cc(C3CC3)cc3c2cnn3C(C)C)c(=O)[nH]1,O=C(NCc1ccc[nH]c1=O)c1cc(C2CC2)cc2[nH]ncc12,378.47600000000006,binding,IC50,1,0.0
CHEMBL2441082,5.3,1,COc1cc2c(NC3CCN(C(C)C)CC3)nc(N3CCC(F)(F)CC3)nc2cc1OCCCN1CCCC1,c1cc2c(NC3CCNCC3)nc(N3CCCCC3)nc2cc1OCCCN1CCCC1,546.7070000000002,binding,IC50,1,0.0
CHEMBL244695,6.4,1,O=C(O)c1ccc2c(c1)C1C=CCC1C(C(=O)O)N2,C1=CC2c3ccccc3NCC2C1,259.26099999999997,binding,IC50,1,0.0
CHEMBL3188597,7.22,1,O=C(O)CCNc1cc(N2CCc3ccccc3CC2)nc(-c2ccccn2)n1,c1ccc(-c2nccc(N3CCc4ccccc4CC3)n2)nc1,389.4590000000001,binding,IC50,1,0.0
CHEMBL3264749,4.29,2,CC1(C)CC(NC(=O)c2ccc(Oc3ccccc3)cc2)CC(C)(C)N1,O=C(NC1CCNCC1)c1ccc(Oc2ccccc2)cc1,352.4780000000001,binding,IC50,2,0.0
CHEMBL3264750,4.32,1,CC1(C)CC(NC(=O)c2ccc(COc3ccccc3)cc2)CC(C)(C)N1,O=C(NC1CCNCC1)c1ccc(COc2ccccc2)cc1,366.5050000000001,binding,IC50,1,0.0
CHEMBL3264752,4.48,1,CC1(C)CC(NC(=O)c2ccc(Sc3ccccc3)cc2)CC(C)(C)N1,O=C(NC1CCNCC1)c1ccc(Sc2ccccc2)cc1,368.5460000000001,binding,IC50,1,0.0
CHEMBL3264755,4.24,1,CC1(C)CC(NC(=O)c2ccc(C(=O)c3ccccc3)cc2)CC(C)(C)N1,O=C(NC1CCNCC1)c1ccc(C(=O)c2ccccc2)cc1,364.4890000000001,binding,IC50,1,0.0
CHEMBL3264762,4.32,1,Cc1ccccc1Oc1ccc(C(=O)NC2CC(C)(C)NC(C)(C)C2)cc1,O=C(NC1CCNCC1)c1ccc(Oc2ccccc2)cc1,366.5050000000001,binding,IC50,1,0.0
CHEMBL3264763,4.21,1,Cc1cccc(Oc2ccc(C(=O)NC3CC(C)(C)NC(C)(C)C3)cc2)c1,O=C(NC1CCNCC1)c1ccc(Oc2ccccc2)cc1,366.5050000000001,binding,IC50,1,0.0
CHEMBL3264765,4.54,1,CC1(C)CC(NC(=O)c2ccc(Oc3ccccc3Cl)cc2)CC(C)(C)N1,O=C(NC1CCNCC1)c1ccc(Oc2ccccc2)cc1,386.9230000000001,binding,IC50,1,0.0
CHEMBL3264766,4.23,1,COc1ccccc1Oc1ccc(C(=O)NC2CC(C)(C)NC(C)(C)C2)cc1,O=C(NC1CCNCC1)c1ccc(Oc2ccccc2)cc1,382.50400000000013,binding,IC50,1,0.0
CHEMBL3264767,5.44,1,CC1(C)CC(NC(=O)c2ccc(Oc3ccccc3OCc3ccccc3)cc2)CC(C)(C)N1,O=C(NC1CCNCC1)c1ccc(Oc2ccccc2OCc2ccccc2)cc1,458.6020000000002,binding,IC50,1,0.0
CHEMBL3264768,5.1,1,CC1(C)CC(NC(=O)c2ccc(Oc3ccccc3C(C)(C)C)cc2)CC(C)(C)N1,O=C(NC1CCNCC1)c1ccc(Oc2ccccc2)cc1,408.5860000000002,binding,IC50,1,0.0
CHEMBL3264769,4.72,1,C#Cc1ccccc1Oc1ccc(C(=O)NC2CC(C)(C)NC(C)(C)C2)cc1,O=C(NC1CCNCC1)c1ccc(Oc2ccccc2)cc1,376.5000000000001,binding,IC50,1,0.0
CHEMBL3264770,5.47,1,CC1(C)CC(NC(=O)c2ccc(Oc3ccccc3C#N)cc2)CC(C)(C)N1,O=C(NC1CCNCC1)c1ccc(Oc2ccccc2)cc1,377.4880000000001,binding,IC50,1,0.0
CHEMBL3264771,4.82,1,CC1(C)CC(NC(=O)c2ccc(Oc3ccccc3C#N)cc2F)CC(C)(C)N1,O=C(NC1CCNCC1)c1ccc(Oc2ccccc2)cc1,395.4780000000001,binding,IC50,1,0.0
CHEMBL3264772,4.43,1,CC1(C)CC(NC(=O)c2ccc(Oc3ccccc3C#N)cc2Cl)CC(C)(C)N1,O=C(NC1CCNCC1)c1ccc(Oc2ccccc2)cc1,411.93300000000016,binding,IC50,1,0.0
