molecule_chembl_id,pAffinity,n_meas,std_smiles,scaffold,mw,assay_group,types,n_assays,inter_assay_range
CHEMBL100035,5.7,3,CC(=Cc1ccc(NS(=O)(=O)c2ccccc2)cc1)C(=O)NO,O=S(=O)(Nc1ccccc1)c1ccccc1,332.38100000000003,binding,IC50,3,0.0
CHEMBL1076794,6.24,1,Cc1ccccc1NC(=O)CCCCC(=O)NO,c1ccccc1,250.29799999999994,binding,IC50,1,0.0
CHEMBL1076939,8.3,1,COc1cc(-n2cc(-c3cccc(NC(=O)CCCCCCC(=O)NO)c3)nn2)ccc1F,c1ccc(-c2cn(-c3ccccc3)nn2)cc1,455.4900000000002,binding,IC50,1,0.0
CHEMBL1078178,7.4,1,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,414.4690000000002,binding,IC50,1,0.0
CHEMBL1080580,7.1,1,Cc1ccc(NC(=O)c2ccc(C=CC(=O)NO)cc2)cc1Nc1nc(-c2cccnc2)cs1,O=C(Nc1cccc(Nc2nc(-c3cccnc3)cs2)c1)c1ccccc1,471.54200000000014,binding,IC50,1,0.0
CHEMBL1082955,6.29,2,O=C(CCCCCNC(=O)NC(=O)c1ccc(-c2cncnc2)cc1)NO,c1ccc(-c2cncnc2)cc1,371.39700000000005,binding,IC50,2,2.58
CHEMBL1083086,7.89,3,O=C(CCCCCNC(=O)NC(=O)c1ccc(Br)cc1)NO,c1ccccc1,372.219,binding,IC50|Ki,2,1.9349999999999996
CHEMBL1083087,6.359999999999999,2,O=C(CCCCCNC(=O)NC(=O)c1cccc(Br)c1)NO,c1ccccc1,372.219,binding,IC50,2,1.7199999999999998
CHEMBL1083088,7.08,2,O=C(CCCCCNC(=O)NC(=O)c1ccc(I)cc1)NO,c1ccccc1,419.219,binding,IC50,2,2.04
CHEMBL1083100,6.93,2,Nc1cc(C(=O)NC(=O)NCCCCCC(=O)NO)ccc1Cl,c1ccccc1,342.783,binding,IC50,2,2.0599999999999996
