molecule_chembl_id,pAffinity,n_meas,std_smiles,scaffold,mw,assay_group,types,n_assays,inter_assay_range
CHEMBL109480,6.51,25,C=CCNC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O,O=C1C=C2CCCCCCC=CCCC=CC=CC(=O)NC(=C1)C2=O,585.6980000000002,binding,IC50|Kd|Ki,25,4.33
CHEMBL1098875,6.36,1,O=C1c2cc(F)ccc2-n2c1nc1ccccc1c2=O,O=C1c2ccccc2-n2c1nc1ccccc1c2=O,266.231,binding,IC50,1,0.0
CHEMBL1195136,7.42,1,CC1(C)CC(=O)c2c(C(F)(F)F)nn(-c3ccc(C(N)=O)c(NC4CCC(OC(=O)CN)CC4)c3)c2C1,O=C1CCCc2c1cnn2-c1cccc(NC2CCCCC2)c1,521.5400000000003,binding,IC50,1,0.0
CHEMBL1213891,5.85,1,C#CCCCCn1c(Sc2cc3c(cc2Br)OCO3)nc2c(N)ncnc21,c1ncc2nc(Sc3ccc4c(c3)OCO4)[nH]c2n1,446.3300000000002,binding,IC50,1,0.0
CHEMBL1213898,6.31,1,Nc1ncnc2c1nc(Sc1cc3c(cc1Br)OCO3)n2CCCc1cn(CCCO)nn1,c1ncc2nc(Sc3ccc4c(c3)OCO4)n(CCCc3c[nH]nn3)c2n1,533.4120000000003,binding,IC50,1,0.0
CHEMBL1213899,6.29,1,Nc1ncnc2c1nc(Sc1cc3c(cc1Br)OCO3)n2CCCCc1cn(CCCO)nn1,c1ncc2nc(Sc3ccc4c(c3)OCO4)n(CCCCc3c[nH]nn3)c2n1,547.4390000000003,binding,IC50,1,0.0
CHEMBL1214827,7.785,6,CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O,O=C(c1ccccc1)N1Cc2ccc(CN3CCNCC3)cc2C1,409.5300000000002,binding,IC50|Kd,6,0.71
CHEMBL1215467,5.26,1,CC(C)c1cc(C(=O)N2Cc3ccccc3C2)c(O)cc1O,O=C(c1ccccc1)N1Cc2ccccc2C1,297.354,binding,IC50,1,0.0
CHEMBL1230584,9.33,2,COc1c(C)cnc(Cn2cc(C#CCC(C)(C)O)c3c(Cl)nc(N)nc32)c1C,c1ccc(Cn2ccc3cncnc32)nc1,413.9090000000001,binding,IC50|Ki,2,0.7399999999999984
CHEMBL1232461,7.875,2,CCNC(=O)CC1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,c1ccc(C2=NCc3nncn3-c3ccccc32)cc1,423.90400000000017,binding,IC50|Kd,2,0.35000000000000053
CHEMBL1235128,5.145,2,CCCNC(=O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O,c1ncc2ncn(C3CCCO3)c2n1,322.32500000000005,functional,Kd|Ki,1,0.0
CHEMBL1236713,5.92,1,COc1ccccc1-c1cc(Cl)nc(N)n1,c1ccc(-c2ccncn2)cc1,235.67399999999998,binding,Ki,1,0.0
CHEMBL1236930,5.82,1,Cc1n[nH]c(-c2ccco2)c1CCCCN(C)c1ncnc2nc[nH]c12,c1coc(-c2[nH]ncc2CCCCNc2ncnc3nc[nH]c23)c1,351.41399999999993,binding,IC50,1,0.0
CHEMBL1254575,6.39,1,CC(C)c1cc(C(=O)N2Cc3ccccc3C2)ccc1O,O=C(c1ccccc1)N1Cc2ccccc2C1,281.355,binding,IC50,1,0.0
CHEMBL1300605,4.99,1,CCOC(=O)c1ccc(-c2ccc(C=O)o2)cc1,c1ccc(-c2ccco2)cc1,244.24599999999998,binding,IC50,1,0.0
CHEMBL1301125,5.43,1,COC(=O)CC1(C(=O)OC)CN(C#N)N(c2ccc(Cl)cc2)C12c1ccccc1-c1ccccc12,c1ccc(N2NCCC23c2ccccc2-c2ccccc23)cc1,487.94300000000015,binding,IC50,1,0.0
CHEMBL1304017,6.18,1,COc1ccccc1NC(=O)c1coc(=O)c(Br)c1,O=C(Nc1ccccc1)c1ccc(=O)oc1,324.13,binding,IC50,1,0.0
CHEMBL1308342,5.2,1,CN(C)c1ccc(C2Nc3cccc4cccc(c34)N2)cc1,c1ccc(C2Nc3cccc4cccc(c34)N2)cc1,289.38199999999995,binding,IC50,1,0.0
CHEMBL1310221,6.49,1,CCOC(=O)C1=C(c2ccc(OC)cc2)C(=O)c2ccccc2C1=O,O=C1C=C(c2ccccc2)C(=O)c2ccccc21,336.3430000000001,binding,IC50,1,0.0
CHEMBL1310341,5.61,1,CCCCOc1ccc(-c2cc(C(=O)NN=C(S)NCC)c3ccccc3n2)cc1,c1ccc(-c2ccc3ccccc3n2)cc1,422.5540000000001,binding,IC50,1,0.0
CHEMBL1311354,5.56,1,O=c1oc2ccc(Cl)cc2nc1C=C(O)c1ccco1,O=c1oc2ccccc2nc1C=Cc1ccco1,289.67400000000004,binding,IC50,1,0.0
CHEMBL1318777,5.6,1,CS(=O)(=O)c1ccc(-c2cn3cc(C(=O)O)ccc3n2)cc1,c1ccc(-c2cn3ccccc3n2)cc1,316.338,binding,IC50,1,0.0
CHEMBL1320096,5.37,1,[O-][N+](=Cc1ccco1)c1ccc(Cl)cc1,C(=[NH+]c1ccccc1)c1ccco1,221.643,binding,IC50,1,0.0
CHEMBL1320669,6.97,1,CC(=O)Nc1ccccc1OCC(=O)c1cc(C)n(Cc2cccs2)c1C,O=C(COc1ccccc1)c1ccn(Cc2cccs2)c1,382.48500000000007,binding,IC50,1,0.0
CHEMBL1321622,5.38,1,O=C(CN1C(=O)c2ccccc2S1(=O)=O)c1ccccc1Cl,O=C(CN1C(=O)c2ccccc2S1(=O)=O)c1ccccc1,335.76800000000003,binding,IC50,1,0.0
