molecule_chembl_id,pAffinity,n_meas,std_smiles,scaffold,mw,assay_group,types,n_assays,inter_assay_range
CHEMBL105,4.6,2,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,O=C1C=CC(=O)C2=C1CC1C3NC3CN21,334.33200000000005,binding,Ki,2,0.0
CHEMBL106562,6.14,1,COC1=CC(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,188.182,binding,IC50,1,0.0
CHEMBL1089,4.85,1,NNCCc1ccccc1,c1ccccc1,136.19799999999998,binding,IC50,1,0.0
CHEMBL1098826,6.26,2,O=C1c2ccccc2-n2c1nc1ncccc1c2=O,O=C1c2ccccc2-n2c1nc1ncccc1c2=O,249.22899999999998,binding,IC50,1,0.0
CHEMBL1098875,6.27,7,O=C1c2cc(F)ccc2-n2c1nc1ccccc1c2=O,O=C1c2ccccc2-n2c1nc1ccccc1c2=O,266.231,binding,IC50|Kd|Ki,6,3.3099999999999996
CHEMBL1201196,5.25,2,Clc1ccc(C(Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1,c1ccc(C(Cn2ccnc2)OCc2csc3ccccc23)cc1,437.7790000000001,binding,IC50,2,0.33999999999999986
CHEMBL1213045,5.77,1,CC(=O)C=C1C(=O)Nc2ccccc21,C=C1C(=O)Nc2ccccc21,187.198,binding,IC50,1,0.0
CHEMBL1221,5.19,1,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,c1ccc(CSC(Cn2ccnc2)c2ccccc2)cc1,397.75800000000015,binding,IC50,1,0.0
CHEMBL1221412,7.1,1,CN1C(=O)N(C)C2(Oc3c(O)cc4c(c3C3=C2C(=O)c2c(CCN)c[nH]c2C3=O)C(O)C[N+]4(C)C)C1=O,O=C1NC(=O)C2(N1)Oc1ccc3c(c1C1=C2C(=O)c2cc[nH]c2C1=O)CC[NH2+]3,508.51100000000037,binding,Ki,1,0.0
CHEMBL1221472,7.39,1,CN1C(=O)N(C)C2(Oc3c(O)cc4c(c3C3=C2C(=O)c2c(CCN)c[nH]c2C3=O)CC[N+]4(C)C)C1=O,O=C1NC(=O)C2(N1)Oc1ccc3c(c1C1=C2C(=O)c2cc[nH]c2C1=O)CC[NH2+]3,492.5120000000004,binding,Ki,1,0.0
CHEMBL1221473,7.1,1,CN(C)CCc1ccc(O)c(O)c1C1=C(C2C(=O)N(C)C(=O)N2C)C(=O)c2c(CCN)c[nH]c2C1=O,O=C1NC(=O)C(C2=C(c3ccccc3)C(=O)c3[nH]ccc3C2=O)N1,495.53600000000034,binding,Ki,1,0.0
CHEMBL1224309,4.21,1,N=C(N)SCc1ccccc1,c1ccccc1,166.249,binding,IC50,1,0.0
CHEMBL1224310,5.16,2,N=C(N)SCc1ccccc1Cl,c1ccccc1,200.694,binding,IC50,2,0.3200000000000003
CHEMBL1224311,5.595,2,N=C(N)SCc1cccc(Cl)c1,c1ccccc1,200.694,binding,IC50,2,0.5099999999999998
CHEMBL1224312,5.9399999999999995,2,N=C(N)SCc1ccc(Cl)cc1,c1ccccc1,200.694,binding,IC50,2,0.5599999999999996
CHEMBL1224313,5.295,2,N=C(N)SCc1ccc(F)cc1,c1ccccc1,184.23899999999998,binding,IC50,2,0.8100000000000005
CHEMBL1224314,5.994999999999999,2,N=C(N)SCc1ccc(Br)cc1,c1ccccc1,245.14499999999998,binding,IC50,2,0.20999999999999996
CHEMBL1224315,4.845,2,Cc1ccc(CSC(=N)N)cc1,c1ccccc1,180.27600000000004,binding,IC50,2,0.6500000000000004
CHEMBL1224390,5.199999999999999,2,CCc1ccc(CSC(=N)N)cc1,c1ccccc1,194.303,binding,IC50,2,0.7999999999999998
CHEMBL1224393,5.75,2,N=C(N)SCc1ccc(C(F)(F)F)cc1,c1ccccc1,234.24599999999995,binding,IC50,2,0.33999999999999986
CHEMBL1224394,4.640000000000001,2,COc1ccc(CSC(=N)N)cc1,c1ccccc1,196.275,binding,IC50,2,0.7199999999999998
CHEMBL1224395,5.15,2,N#Cc1ccc(CSC(=N)N)cc1,c1ccccc1,191.25900000000001,binding,IC50,2,0.8600000000000003
CHEMBL1224396,5.3100000000000005,2,N=C(N)SCc1ccc([N+](=O)[O-])cc1,c1ccccc1,211.24599999999998,binding,IC50,2,0.7000000000000002
CHEMBL1224483,6.18,2,N=C(N)SCc1ccc(Cl)cc1Cl,c1ccccc1,235.13899999999998,binding,IC50,2,0.4400000000000004
CHEMBL1224484,4.955,2,N=C(N)SCc1ccc(Cl)c(Cl)c1,c1ccccc1,235.13899999999998,binding,IC50,2,0.3700000000000001
CHEMBL1224487,4.24,1,N=C(N)SCCc1ccc(Cl)cc1,c1ccccc1,214.721,binding,IC50,1,0.0
CHEMBL1224488,4.68,1,CN=C(NC)SCc1ccc(Cl)cc1,c1ccccc1,228.74800000000002,binding,IC50,1,0.0
CHEMBL1224552,4.0,1,NC(=S)NCCc1ccc(Cl)cc1,c1ccccc1,214.721,binding,IC50,1,0.0
CHEMBL1224555,5.73,2,SCc1ccc(Cl)cc1,c1ccccc1,158.653,binding,IC50,2,0.45999999999999996
CHEMBL1224556,5.37,2,SCc1ccccc1Cl,c1ccccc1,158.65299999999996,binding,IC50,2,1.0999999999999996
CHEMBL1224557,5.33,2,SCc1ccccc1,c1ccccc1,124.20799999999996,binding,IC50,2,0.8799999999999999
CHEMBL1224558,5.734999999999999,2,Fc1ccc(CS)cc1,c1ccccc1,142.19800000000004,binding,IC50,2,0.03000000000000025
CHEMBL1224559,5.54,2,Cc1ccc(CS)cc1,c1ccccc1,138.235,binding,IC50,2,0.6999999999999993
CHEMBL1224560,5.4399999999999995,2,COc1ccc(CS)cc1,c1ccccc1,154.234,binding,IC50,2,0.8199999999999994
CHEMBL1224561,5.46,3,SCc1ccc(Cl)cc1Cl,c1ccccc1,193.09799999999998,binding,IC50,3,0.1200000000000001
CHEMBL1224626,7.0,3,SCc1ccc(Cl)c(Cl)c1,c1ccccc1,193.09799999999998,binding,IC50,3,1.04
CHEMBL1229058,6.4,1,N=C(N)SCc1ccc(Cl)cc1Cl,c1ccccc1,235.13899999999998,binding,IC50,1,0.0
CHEMBL1229062,4.24,1,N=C(N)SCCc1ccc(Cl)cc1,c1ccccc1,214.721,binding,IC50,1,0.0
CHEMBL1229095,5.0,1,N=C(N)SCc1ccccc1Cl,c1ccccc1,200.694,binding,IC50,1,0.0
CHEMBL1231544,4.15,1,NNCc1ccccc1,c1ccccc1,122.17099999999995,binding,IC50,1,0.0
CHEMBL1240901,5.3,1,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C2OC21,O=C1C2=C(C(=O)c3ccccc31)C1OC1CO2,256.257,binding,IC50,1,0.0
CHEMBL1241911,6.06,1,CC1=C(SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C(=O)c2c(O)cccc2C1=O,O=C1C=CC(=O)c2ccccc21,493.49400000000026,binding,IC50,1,0.0
CHEMBL1262,4.55,1,Clc1ccc(CON=C(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,c1ccc(CON=C(Cn2ccnc2)c2ccccc2)cc1,429.1340000000001,binding,IC50,1,0.0
CHEMBL1276265,4.31,6,O=C1c2ccc(Cl)cc2-n2c1nc1ccccc1c2=O,O=C1c2ccccc2-n2c1nc1ccccc1c2=O,282.68600000000004,binding,IC50|Ki,5,2.6100000000000003
CHEMBL1330951,4.45,1,COc1c(O)ccc2c1CN1CCc3cc4c(cc3C1C2)OCO4,c1ccc2c(c1)CC1c3cc4c(cc3CCN1C2)OCO4,325.36400000000003,binding,IC50,1,0.0
CHEMBL1342570,7.31,1,CC(=O)Nc1ccc(S(=O)(=O)NNc2cccc(C)c2)cc1,O=S(=O)(NNc1ccccc1)c1ccccc1,319.3860000000001,binding,IC50,1,0.0
CHEMBL1345047,3.83,1,O=C(C=CN1CCOCC1)c1coc2ccccc12,O=C(C=CN1CCOCC1)c1coc2ccccc12,257.28900000000004,binding,Kd,1,0.0
CHEMBL1346056,5.02,6,Oc1ccccc1-c1nc2c3ccccc3c3ccccc3c2[nH]1,c1ccc(-c2nc3c4ccccc4c4ccccc4c3[nH]2)cc1,310.35600000000005,binding,IC50,6,1.2000000000000002
CHEMBL1351007,5.365,6,Oc1nccc(SCc2ccc(Cl)cc2Cl)n1,c1ccc(CSc2ccncn2)cc1,287.171,binding,IC50,6,2.0
CHEMBL1358724,5.89,1,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)C(C)CO1,O=C1C(=O)c2c(ccc3ccccc23)C2=C1CCO2,278.307,binding,IC50,1,0.0
CHEMBL1367036,4.5,1,CC(=O)OCCn1c2nc(=O)[nH]c(=O)c-2nc2cc(C)c(C)cc21,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,328.32800000000015,binding,IC50,1,0.0
CHEMBL1371773,4.12,1,O=[N+]([O-])c1ccc(Nc2ccccc2)c2nonc12,c1ccc(Nc2cccc3nonc23)cc1,256.221,binding,IC50,1,0.0
CHEMBL1374439,5.52,3,O=C1CC(c2c[nH]c3ccccc23)C(=O)N1,O=C1CC(c2c[nH]c3ccccc23)C(=O)N1,214.22400000000002,binding,IC50,3,0.0
CHEMBL1377301,5.09,1,c1ccc(NCCSc2nc3ccccc3s2)cc1,c1ccc(NCCSc2nc3ccccc3s2)cc1,286.425,binding,IC50,1,0.0
CHEMBL139935,4.83,1,O=[N+]([O-])c1cc(F)c2cccnc2c1O,c1ccc2ncccc2c1,208.148,binding,IC50,1,0.0
CHEMBL1403970,4.34,1,Nc1cccc2c([As](=O)(O)O)cccc12,c1ccc2ccccc2c1,267.11600000000004,binding,IC50,1,0.0
CHEMBL1404630,4.45,1,COc1c(NC(C)=O)c2ccccc2c2ccccc12,c1ccc2c(c1)ccc1ccccc12,265.312,binding,IC50,1,0.0
CHEMBL1407756,4.59,1,COc1ccc2c(c1)c1ccc3c(c1n2C)C(=O)C=CC3=O,O=C1C=CC(=O)c2c1ccc1c2[nH]c2ccccc21,291.30600000000004,binding,IC50,1,0.0
CHEMBL1414365,4.3,1,Nc1ccc2c(c1)N1CCN=C1S2,c1ccc2c(c1)SC1=NCCN12,191.25900000000001,binding,IC50,1,0.0
CHEMBL14145,4.32,17,c1ccc(-c2c[nH]cn2)cc1,c1ccc(-c2c[nH]cn2)cc1,144.177,binding,IC50|Ki,17,1.21
CHEMBL1429182,4.5,1,c1ccc2c(c1)Nc1ccncc1S2,c1ccc2c(c1)Nc1ccncc1S2,200.266,binding,IC50,1,0.0
CHEMBL1441489,5.22,1,ONCc1ccccc1,c1ccccc1,123.15499999999996,binding,IC50,1,0.0
CHEMBL1442185,6.09,1,Cc1ccccc1Cn1nnc2c1C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2c1nnn2Cc1ccccc1,303.3210000000001,binding,IC50,1,0.0
CHEMBL1444619,3.03,1,NC(S)=NNC(=O)Nc1ccc(Cl)c(Cl)c1,c1ccccc1,279.15200000000004,binding,Kd,1,0.0
CHEMBL1445913,4.35,1,NNC(=O)CNc1cccc(Br)c1,c1ccccc1,244.09199999999998,binding,IC50,1,0.0
CHEMBL1487639,5.36,1,O=Cc1ccc(O)c2ncccc12,c1ccc2ncccc2c1,173.171,binding,IC50,1,0.0
CHEMBL1489368,4.45,1,Cc1cccc2c1c1ccc3c(c1n2C)C(=O)C=CC3=O,O=C1C=CC(=O)c2c1ccc1c2[nH]c2ccccc21,275.307,binding,IC50,1,0.0
CHEMBL1501761,5.5600000000000005,2,Sc1nc(-c2ccc(Cl)cc2)cs1,c1ccc(-c2cscn2)cc1,227.74099999999999,binding,IC50,1,0.0
CHEMBL15192,6.36,7,CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O,O=C1C(=O)c2ccccc2C2=C1CCCO2,242.274,binding,IC50|Ki,7,1.0
CHEMBL1528603,4.82,1,NN=C(S)Nc1cccc(Cl)c1,c1ccccc1,201.682,binding,IC50,1,0.0
CHEMBL1537588,5.34,1,Cc1cccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)c1,O=C1c2ccccc2C(=O)c2c1nnn2Cc1ccccc1,303.3210000000001,binding,IC50,1,0.0
CHEMBL1548961,4.27,1,O=S(=O)(NCc1cccnc1)c1ccc2ccccc2c1,O=S(=O)(NCc1cccnc1)c1ccc2ccccc2c1,298.3670000000001,binding,Kd,1,0.0
CHEMBL1557295,4.51,1,O=c1oc2ccccc2n1Cc1cccc(F)c1,O=c1oc2ccccc2n1Cc1ccccc1,243.23699999999994,binding,IC50,1,0.0
CHEMBL1558216,4.33,1,Cc1ccc2c(c1)c1ccc3c(c1n2C)C(=O)C=CC3=O,O=C1C=CC(=O)c2c1ccc1c2[nH]c2ccccc21,275.307,binding,IC50,1,0.0
CHEMBL1558960,5.23,2,Cc1ccc(-c2csc(S)n2)cc1,c1ccc(-c2cscn2)cc1,207.32300000000004,binding,IC50,1,0.0
CHEMBL1562612,5.984999999999999,2,N=C(N)SCc1nc(-c2ccc(Cl)cc2)no1,c1ccc(-c2ncon2)cc1,268.72900000000004,binding,IC50,2,0.1299999999999999
CHEMBL157101,4.55,2,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,c1ccc(C2(Cn3ccnc3)OCC(COc3ccc(N4CCNCC4)cc3)O2)cc1,531.4399999999999,binding,IC50,2,0.09999999999999964
CHEMBL1571863,4.64,1,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,c1ccc(COC(Cn2ccnc2)c2ccccc2)cc1,416.1350000000001,binding,IC50,1,0.0
CHEMBL1597646,4.93,1,COc1cccc(NC(S)=Nc2ccc(O)cc2)c1,C(=Nc1ccccc1)Nc1ccccc1,274.345,binding,IC50,1,0.0
CHEMBL1600105,5.35,5,Clc1ccc(SCNc2ccccc2Cl)cc1,c1ccc(NCSc2ccccc2)cc1,284.211,binding,IC50,5,0.8599999999999994
CHEMBL162783,4.36,1,CC1Oc2cc3c(-c4c(O)cc(O)c5c(O)c6c(cc45)OC(C)C(C)C6=O)c(O)cc(O)c3c(O)c2C(=O)C1C,O=C1CCOc2cc3c(-c4cccc5cc6c(cc45)OCCC6=O)cccc3cc21,546.5280000000002,binding,IC50,1,0.0
